depth,instances,alpha,mean_discord,std_discord,sem_discord,mean_tau_abs,mean_gap_relative_rms
2,64,0.5,0.0906723433470328,0.004009579130524061,0.0005011973913155077,0.022587431692693144,0.48061400669313803
2,64,1.0,0.5311057887745918,0.019432199171470366,0.002429024896433796,0.022587431692693144,0.48061400669313803
4,64,0.5,0.0905014671197214,0.00296255989928793,0.00037031998741099127,0.030464324346441345,0.4461245758132399
4,64,1.0,0.5309921030402833,0.01541938970635019,0.0019274237132937738,0.030464324346441345,0.4461245758132399
8,64,0.5,0.09164909623874518,0.0018260382010892825,0.0002282547751361603,0.026766162645195886,0.4227866807947651
8,64,1.0,0.5376651048585002,0.009344824873449393,0.001168103109181174,0.026766162645195886,0.4227866807947651
16,64,0.5,0.09185238103824833,0.0019719755858568643,0.00024649694823210803,0.03114557722858855,0.41309072212220893
16,64,1.0,0.537775166517011,0.01005960986695284,0.001257451233369105,0.03114557722858855,0.41309072212220893
32,64,0.5,0.09153500606196768,0.001990725658067396,0.0002488407072584245,0.030804214716215316,0.4226880929662037
32,64,1.0,0.5366711053384885,0.009845443949668978,0.0012306804937086222,0.030804214716215316,0.4226880929662037
