generator,instance,phase_index,eigenphase
qr_haar,0,0,0.22314693759169615
qr_haar,0,1,0.2940829878353257
qr_haar,0,2,0.5226843723881495
qr_haar,0,3,0.7829558802017728
qr_haar,0,4,0.9134802495535336
qr_haar,0,5,1.0139266853119087
qr_haar,0,6,1.311725829561276
qr_haar,0,7,1.5396596500362891
qr_haar,0,8,1.6585647831608703
qr_haar,0,9,1.7609148332334654
qr_haar,0,10,2.1924902545843987
qr_haar,0,11,2.331591011215708
qr_haar,0,12,2.6346211186374577
qr_haar,0,13,2.7353861368655976
qr_haar,0,14,2.9155660232229943
qr_haar,0,15,3.1024910822051996
qr_haar,0,16,3.223324175180307
qr_haar,0,17,3.4450821108403473
qr_haar,0,18,3.688952524492522
qr_haar,0,19,3.7776782866255805
qr_haar,0,20,3.9443101057435417
qr_haar,0,21,4.199422071478743
qr_haar,0,22,4.415881378163965
qr_haar,0,23,4.658363988274735
qr_haar,0,24,4.863268318325578
qr_haar,0,25,5.047759218581389
qr_haar,0,26,5.268177413392429
qr_haar,0,27,5.478150737534924
qr_haar,0,28,5.65451740974413
qr_haar,0,29,5.8646401575896965
qr_haar,0,30,6.075446984457346
qr_haar,0,31,6.233529184635281
qr_haar,1,0,0.11462324065986026
qr_haar,1,1,0.1937995404334653
qr_haar,1,2,0.5176777543806994
qr_haar,1,3,0.6911051750895746
qr_haar,1,4,0.9229141680661241
qr_haar,1,5,1.1557694604144693
qr_haar,1,6,1.2846762868319925
qr_haar,1,7,1.4001887307705163
qr_haar,1,8,1.6472761088181442
qr_haar,1,9,1.78666674268602
qr_haar,1,10,1.9980945951641729
qr_haar,1,11,2.177981808051905
qr_haar,1,12,2.3360055127160155
qr_haar,1,13,2.5782811097992546
qr_haar,1,14,2.7999239907771156
qr_haar,1,15,2.990332772798274
qr_haar,1,16,3.1466570731730337
qr_haar,1,17,3.274006856527034
qr_haar,1,18,3.5107968905001337
qr_haar,1,19,3.599036055236029
qr_haar,1,20,3.7530909245384643
qr_haar,1,21,4.002398027246606
qr_haar,1,22,4.329774123245548
qr_haar,1,23,4.683868513944822
qr_haar,1,24,4.750401455823146
qr_haar,1,25,4.915929396567375
qr_haar,1,26,5.22932615875971
qr_haar,1,27,5.455602353697257
qr_haar,1,28,5.616485996533745
qr_haar,1,29,5.6636160743925945
qr_haar,1,30,5.899242725224651
qr_haar,1,31,6.2001952442917805
qr_haar,2,0,0.011752513890652407
qr_haar,2,1,0.1846978228976678
qr_haar,2,2,0.33748163351195265
qr_haar,2,3,0.47457281783849514
qr_haar,2,4,0.6797572168857373
qr_haar,2,5,0.8114055970461059
qr_haar,2,6,1.0162000777068936
qr_haar,2,7,1.2374182081789038
qr_haar,2,8,1.4762546119662618
qr_haar,2,9,1.8586751474718386
qr_haar,2,10,1.935659457893865
qr_haar,2,11,2.1063169535785864
qr_haar,2,12,2.417982758383716
qr_haar,2,13,2.586657200963652
qr_haar,2,14,2.7114504806929265
qr_haar,2,15,2.8945205034747192
qr_haar,2,16,3.0372101940104432
qr_haar,2,17,3.145653124423585
qr_haar,2,18,3.4225880853995356
qr_haar,2,19,3.6251580099150797
qr_haar,2,20,3.7281771266869095
qr_haar,2,21,4.068586197353364
qr_haar,2,22,4.149893254560527
qr_haar,2,23,4.472231379837066
qr_haar,2,24,4.677902553659135
qr_haar,2,25,4.837722699691431
qr_haar,2,26,5.107940374388329
qr_haar,2,27,5.328209384120683
qr_haar,2,28,5.535533119895583
qr_haar,2,29,5.634481828269557
qr_haar,2,30,5.878986195123554
qr_haar,2,31,6.15877599834549
qr_haar,3,0,0.11795521006380424
qr_haar,3,1,0.14882325979198832
qr_haar,3,2,0.5911882164088432
qr_haar,3,3,0.6561971634947559
qr_haar,3,4,0.9880557878676733
qr_haar,3,5,1.2925207857722754
qr_haar,3,6,1.5358234428458024
qr_haar,3,7,1.6848425826205873
qr_haar,3,8,1.805578658929537
qr_haar,3,9,1.9599988560727997
qr_haar,3,10,2.227815549051121
qr_haar,3,11,2.3924470302318
qr_haar,3,12,2.4225924267856658
qr_haar,3,13,2.7162656993392895
qr_haar,3,14,2.960087625033406
qr_haar,3,15,3.1578957187563166
qr_haar,3,16,3.285077286195329
