alpha_index,alpha,analytic_discord,qr_haar_mean,qr_haar_std,qr_haar_sem,qr_haar_ci95_low,qr_haar_ci95_high,qr_haar_mean_minus_analytic,independent_brickwork_mean,independent_brickwork_std,independent_brickwork_sem,independent_brickwork_ci95_low,independent_brickwork_ci95_high,independent_brickwork_mean_minus_analytic,generator_mean_difference
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.025,0.0002254504599193277,0.00021665288089729983,4.698881139628328e-06,2.1014035292801243e-07,0.0002162410133738624,0.00021706474842073727,-8.797579022027865e-06,0.0002164574431376298,4.7429340674499074e-06,2.121104597523513e-07,0.00021604171427577098,0.00021687317199948865,-8.993016781697885e-06,-1.954377596700193e-07
2,0.05,0.000902154545169883,0.0008669535818232444,1.8801225188388493e-05,8.408163516303591e-07,0.0008653056120564365,0.0008686015515900523,-3.520096334663867e-05,0.0008661717357359713,1.897757205110311e-05,8.487028230833333e-07,0.0008645083087691505,0.0008678351627027921,-3.5982809433911765e-05,-7.818460872730968e-07
3,0.07500000000000001,0.0020311732925063046,0.0019519311096309303,4.2324163599317866e-05,1.8927941379779384e-06,0.0019482213012903449,0.0019556409179715155,-7.924218287537433e-05,0.0019501715974505824,4.272145030402889e-05,1.910561339543753e-06,0.001946426966034822,0.0019539162288663425,-8.100169505572221e-05,-1.7595121803478785e-06
4,0.1,0.0036142848890521806,0.003473309989378915,7.529638102738818e-05,3.3673565287393086e-06,0.00346671009185948,0.00347990988689835,-0.00014097489967326545,0.003470181086203144,7.600392934093618e-05,3.3989990512684815e-06,0.003463519170479172,0.0034768430019271163,-0.0001441038028490364,-3.1289031757709626e-06
5,0.125,0.005653999567234728,0.005433524760544144,0.00011775830215135387,5.26631137050774e-06,0.005423202979926575,0.005443846541161712,-0.00022047480669058414,0.005428634069381804,0.00011886639569221516,5.315866820163625e-06,0.005418215161867672,0.005439052976895936,-0.00022536549785292376,-4.8906911623396165e-06
6,0.15000000000000002,0.008153580877798838,0.007835740456231609,0.00016976242594343,7.592006488695667e-06,0.007820860396943371,0.007850620515519846,-0.00031784042156722883,0.007828694802218969,0.00017136247305518632,7.663562770877453e-06,0.007813674495194788,0.00784371510924315,-0.0003248860755798687,-7.045654012639846e-06
7,0.17500000000000002,0.011117073779768696,0.010683880202752473,0.00023137345559182492,1.0347335497846987e-05,0.010663599797840739,0.010704160607664206,-0.0004331935770162231,0.010674285404669505,0.00023355842503059704,1.0445050301724067e-05,0.010653813482261416,0.010694757327077593,-0.0004427883750991908,-9.59479808296769e-06
8,0.2,0.014549340139681868,0.013982659452119796,0.00030266900970801454,1.3535769607793286e-05,0.01395612983118549,0.014009189073054103,-0.0005666806875620715,0.013970120377608548,0.0003055338105556656,1.366388739654022e-05,0.013943339650422519,0.013996901104794577,-0.00057921976207332,-1.2539074511248513e-05
9,0.225,0.01845610240923872,0.01773762841476944,0.00038373966828370205,1.7161359678911557e-05,0.017703992767873034,0.017771264061665844,-0.000718473994469282,0.01772174869580647,0.00038738144323965766,1.7324224806117016e-05,0.017687793839126404,0.017755703552486537,-0.0007343537134322509,-1.5879718962968914e-05
