qubits,instance,alpha,first_group,first_group_dimension,second_group_dimension,negativity,realignment_trace_norm
2,0,0.25,0,2,4,0.0,0.4729655415730754
2,0,0.25,0-1,4,2,0.0,0.4726133572866654
2,0,0.25,0-2,4,2,0.0,0.47445865717293845
2,0,0.5,0,2,4,0.0,0.5931173563776306
2,0,0.5,0-1,4,2,0.0,0.5974425359129829
2,0,0.5,0-2,4,2,0.0,0.5986562242831575
2,0,1.0,0,2,4,4.5902451488116795e-17,0.8348577803743554
2,0,1.0,0-1,4,2,0.05600890266977354,0.8626447921932998
2,0,1.0,0-2,4,2,0.056008902669773375,0.8563263351954543
2,1,0.25,0,2,4,0.0,0.47609393469069566
2,1,0.25,0-1,4,2,0.0,0.4921667539673252
2,1,0.25,0-2,4,2,0.0,0.47650736675811506
2,1,0.5,0,2,4,0.0,0.5989519553109225
2,1,0.5,0-1,4,2,0.0,0.6339524482343297
2,1,0.5,0-2,4,2,0.0,0.6066831771514316
2,1,1.0,0,2,4,2.808446753717044e-17,0.8452645223469398
2,1,1.0,0-1,4,2,0.0854818317104345,0.9264806603420059
2,1,1.0,0-2,4,2,0.08548183171043451,0.8860079272100189
2,2,0.25,0,2,4,0.0,0.4710265729396391
2,2,0.25,0-1,4,2,0.0,0.49228485521540266
2,2,0.25,0-2,4,2,0.0,0.48419560611769447
2,2,0.5,0,2,4,0.0,0.5889463136461311
2,2,0.5,0-1,4,2,0.0,0.6353145594738844
2,2,0.5,0-2,4,2,0.0,0.6213197536090618
2,2,1.0,0,2,4,1.5058723026894778e-17,0.8256967050780952
2,2,1.0,0-1,4,2,0.09283643075379605,0.9332624340331782
2,2,1.0,0-2,4,2,0.092836430753796,0.9128160547602852
3,0,0.25,0,2,8,0.0,0.33779617717297505
3,0,0.25,0-1,4,4,0.0,0.406028808079247
3,0,0.25,0-2,4,4,0.0,0.4073885530916175
3,0,0.25,0-3,4,4,0.0,0.40800714785502795
3,0,0.25,0-1-2,8,2,0.0,0.347487162465785
3,0,0.25,0-1-3,8,2,0.0,0.3424212507382296
3,0,0.25,0-2-3,8,2,0.0,0.3399211193965635
3,0,0.5,0,2,8,0.0,0.425680999598402
3,0,0.5,0-1,4,4,0.0,0.5628543392109382
3,0,0.5,0-2,4,4,0.0,0.5654164982091534
3,0,0.5,0-3,4,4,0.0,0.5668963965528225
3,0,0.5,0-1-2,8,2,0.0,0.44795560890659253
3,0,0.5,0-1-3,8,2,0.0,0.4390666385242966
3,0,0.5,0-2-3,8,2,0.0,0.43466581951850447
3,0,1.0,0,2,8,5.64098511298337e-17,0.6016074573411799
3,0,1.0,0-1,4,4,0.07120521802662366,0.8784037515612497
3,0,1.0,0-2,4,4,0.06786157258252776,0.8828576763111464
3,0,1.0,0-3,4,4,0.07949713659461856,0.8867687112625526
3,0,1.0,0-1-2,8,2,0.07949713659461856,0.6571506664665056
3,0,1.0,0-1-3,8,2,0.06786157258252778,0.6436976318763317
3,0,1.0,0-2-3,8,2,0.07120521802662363,0.6369152168853295
3,1,0.25,0,2,8,0.0,0.3380846014155249
3,1,0.25,0-1,4,4,0.0,0.41093163554472684
3,1,0.25,0-2,4,4,0.0,0.4090039333983184
3,1,0.25,0-3,4,4,0.0,0.41371006826183104
3,1,0.25,0-1-2,8,2,0.0,0.34634693773462927
3,1,0.25,0-1-3,8,2,0.0,0.3437497980190755
3,1,0.25,0-2-3,8,2,0.0,0.3472585301687539
3,1,0.5,0,2,8,0.0,0.42618375902097094
3,1,0.5,0-1,4,4,0.0,0.5724558333114502
3,1,0.5,0-2,4,4,0.0,0.5686845524209245
3,1,0.5,0-3,4,4,0.0,0.5779229101771377
3,1,0.5,0-1-2,8,2,0.0,0.4461361282522687
3,1,0.5,0-1-3,8,2,0.0,0.4412804619843271
3,1,0.5,0-2-3,8,2,0.0,0.4475737485638551
3,1,1.0,0,2,8,1.2002939953330837e-16,0.6024076466155966
3,1,1.0,0-1,4,4,0.07035652859122912,0.8968433787677736
3,1,1.0,0-2,4,4,0.0667749730847818,0.88963722497631
3,1,1.0,0-3,4,4,0.07213392806799236,0.9074749944411747
3,1,1.0,0-1-2,8,2,0.07213392806799247,0.6551383372817356
3,1,1.0,0-1-3,8,2,0.06677497308478167,0.6466047533137048
3,1,1.0,0-2-3,8,2,0.07035652859122915,0.6566548999335239
3,2,0.25,0,2,8,0.0,0.33684409471547777
3,2,0.25,0-1,4,4,0.0,0.4071815002211751
3,2,0.25,0-2,4,4,0.0,0.4035204393059466
3,2,0.25,0-3,4,4,0.0,0.411651462925668
3,2,0.25,0-1-2,8,2,0.0,0.346147661058821
3,2,0.25,0-1-3,8,2,0.0,0.3441783928798252
3,2,0.25,0-2-3,8,2,0.0,0.3478556855498496
3,2,0.5,0,2,8,0.0,0.42385331229686546
3,2,0.5,0-1,4,4,0.0,0.565283256975859
3,2,0.5,0-2,4,4,0.0,0.5583030548009089
3,2,0.5,0-3,4,4,0.0,0.5740289930525064
3,2,0.5,0-1-2,8,2,0.0,0.4457670276734143
3,2,0.5,0-1-3,8,2,0.0,0.4421901232673707
3,2,0.5,0-2-3,8,2,0.0,0.4487277034592404
3,2,1.0,0,2,8,8.782720319634213e-17,0.5981795722080798
3,2,1.0,0-1,4,4,0.08281027453713313,0.8838769654305236
3,2,1.0,0-2,4,4,0.07167700002780192,0.8708872236333763
3,2,1.0,0-3,4,4,0.07192460320110786,0.9005089013274918
3,2,1.0,0-1-2,8,2,0.07192460320110783,0.6545031460731346
3,2,1.0,0-1-3,8,2,0.07167700002780192,0.6486053101141176
3,2,1.0,0-2-3,8,2,0.0828102745371333,0.6588194945433282
4,0,0.25,0,2,16,0.0,0.23888104617037226
4,0,0.25,0-1,4,8,0.0,0.2991810583739708
4,0,0.25,0-2,4,8,0.0,0.29823951298458595
4,0,0.25,0-3,4,8,0.0,0.29918934843294465
4,0,0.25,0-4,4,8,0.0,0.29907438037985445
4,0,0.25,0-1-2,8,4,0.0,0.33196423165133926
4,0,0.25,0-1-3,8,4,0.0,0.3346662459155092
4,0,0.25,0-1-4,8,4,0.0,0.3341852551901543
4,0,0.25,0-2-3,8,4,0.0,0.33354546603267915
