qubits,dimension,alpha,unitary_stage_exponent,reconstruction_frobenius_residual,minimum_product_factor_eigenvalue,control_register_negativity,reconstructed_trace_error
2,4,0.0,0.0,1.5923312373279192e-16,-6.080283316663421e-17,0.0,1.110233095085308e-16
2,4,0.0,0.25,2.588939208820484e-16,-9.046974653423213e-17,0.0,4.441141135657119e-16
2,4,0.0,0.5,3.320856845140528e-16,-1.0125391274230916e-16,0.0,4.441039494959663e-16
2,4,0.0,0.75,2.3951222657425567e-16,-7.65083917117605e-17,0.0,2.2209063162370645e-16
2,4,0.0,1.0,2.5626261910782067e-16,-1.2467894013667935e-16,0.0,4.440974996958684e-16
2,4,0.25,0.0,1.7704480364137815e-16,-6.080283316663421e-17,0.0,1.110233095085308e-16
2,4,0.25,0.25,2.6894007567860485e-16,-9.046974653423213e-17,0.0,4.441141135657119e-16
2,4,0.25,0.5,3.484106510301803e-16,-1.0125391274230916e-16,0.0,4.441039494959663e-16
2,4,0.25,0.75,2.6077806736633144e-16,-7.65083917117605e-17,0.0,2.2209063162370645e-16
2,4,0.25,1.0,2.7215484855918767e-16,-1.2467894013667935e-16,0.0,4.440974996958684e-16
2,4,0.5,0.0,2.2206730264617693e-16,-6.080283316663421e-17,0.0,1.110233095085308e-16
2,4,0.5,0.25,2.9704691618499227e-16,-9.046974653423213e-17,0.0,4.441141135657119e-16
2,4,0.5,0.5,3.933411006081049e-16,-1.0125391274230916e-16,0.0,4.441039494959663e-16
2,4,0.5,0.75,3.1610517496808373e-16,-7.65083917117605e-17,0.0,2.2209063162370645e-16
2,4,0.5,1.0,3.1505786217946957e-16,-1.2467894013667935e-16,0.0,4.440974996958684e-16
2,4,1.0,0.0,3.4812351908063767e-16,-6.080283316663421e-17,2.6704276819641996e-16,1.110233095085308e-16
2,4,1.0,0.25,3.897041119246938e-16,-9.046974653423213e-17,2.792936342232062e-16,4.441141135657119e-16
2,4,1.0,0.5,5.366807059443075e-16,-1.1102230246251568e-16,2.9352557602677866e-16,4.441039494959663e-16
2,4,1.0,0.75,4.770656207805573e-16,-7.65083917117605e-17,1.8983813166261915e-16,2.2209063162370645e-16
2,4,1.0,1.0,4.47251871128999e-16,-2.220446049250313e-16,3.4730459106519114e-16,4.440974996958684e-16
3,8,0.0,0.0,1.8336167829753562e-16,-2.0458439000442012e-16,0.0,2.220519214967838e-16
3,8,0.0,0.25,4.558440702200549e-16,-2.238015794399764e-16,0.0,1.1102279818394438e-15
3,8,0.0,0.5,3.0104392980905557e-16,-1.5373156106846388e-16,0.0,3.701384218465745e-18
3,8,0.0,0.75,2.50519961229236e-16,-1.4655164401075635e-16,0.0,2.220501679618152e-16
