qubits,instance,alpha,partition,solver,cvxpy_version,solver_status,feasible,duplicate_group,other_group,duplicate_dimension,other_dimension,extension_dimension,runtime_seconds,solver_iterations,solver_epsilon,acceptance_tolerance,certificate_passed,minimum_extension_eigenvalue,marginal_residual_fro,swap_residual_fro,minimum_ppt_duplicate_eigenvalue,minimum_ppt_other_eigenvalue
2,0,0.25,0,SCS,1.9.2,optimal,True,[0],"[1, 2]",2,4,16,0.05167354200966656,25,1e-06,5e-05,True,0.031250001724523635,8.034293834099439e-09,1.130505821568751e-09,0.03125000172452376,0.031250001724523344
2,0,0.25,"0,1",SCS,1.9.2,optimal,True,[2],"[0, 1]",2,4,16,0.04152587498538196,25,1e-06,5e-05,True,0.03149968471251852,8.08819927091285e-09,1.027735589316137e-09,0.03033224817911811,0.026403796472411933
2,0,0.25,"0,2",SCS,1.9.2,optimal,True,[1],"[0, 2]",2,4,16,0.04124775005038828,25,1e-06,5e-05,True,0.03001697702105235,8.097407346631968e-09,1.008884519634003e-09,0.029703564178789332,0.023961173972150605
2,0,0.5,0,SCS,1.9.2,optimal,True,[0],"[1, 2]",2,4,16,0.03903095901478082,25,1e-06,5e-05,True,0.00030152614549895006,8.117563862175393e-09,2.1076510252122295e-09,0.000301526145499036,0.00030152614549908016
2,0,0.5,"0,1",SCS,1.9.2,optimal,True,[2],"[0, 1]",2,4,16,0.041317707975395024,25,1e-06,5e-05,True,0.0046404026346363965,8.060073165716453e-09,1.5178360921608823e-09,0.007501881915223671,0.005622722068959787
2,0,0.5,"0,2",SCS,1.9.2,optimal,True,[1],"[0, 2]",2,4,16,0.04156579205300659,25,1e-06,5e-05,True,0.0033192474508365166,8.505527492384855e-09,1.6266187765708079e-09,0.003849391044807064,0.0025735394875367958
3,0,0.25,0,SCS,1.9.2,optimal,True,[0],"[1, 2, 3]",2,8,32,0.1701057079480961,25,1e-06,5e-05,True,0.01562500080223489,6.55304286391979e-09,4.025722254758047e-10,0.015625000802234792,0.01562500080223481
3,0,0.25,"0,1",SCS,1.9.2,optimal,True,"[0, 1]","[2, 3]",4,4,64,0.37672879197634757,25,1e-06,5e-05,True,0.0078124983760289556,7.087741598237959e-09,1.7351084004341579e-10,0.00639042706226423,0.00559621509625845
3,0,0.25,"0,2",SCS,1.9.2,optimal,True,"[0, 2]","[1, 3]",4,4,64,0.37135529099032283,25,1e-06,5e-05,True,0.007812498102277417,7.087741528788789e-09,1.7351083877875488e-10,0.0059866636624328505,0.005013849291839385
3,0,0.25,"0,3",SCS,1.9.2,optimal,True,"[0, 3]","[1, 2]",4,4,64,0.37489670899230987,25,1e-06,5e-05,True,0.007812498038424623,7.087741510967791e-09,1.7351083991160407e-10,0.006026439414806172,0.005151690535606351
3,0,0.25,"0,1,2",SCS,1.9.2,optimal,True,[3],"[0, 1, 2]",2,8,32,0.1657017080578953,25,1e-06,5e-05,True,0.014785289656184182,6.5724868338197936e-09,3.627483562842547e-10,0.014206605631139091,0.011627494582219892
3,0,0.25,"0,1,3",SCS,1.9.2,optimal,True,[2],"[0, 1, 3]",2,8,32,0.16731345909647644,25,1e-06,5e-05,True,0.01479190517462634,6.567190565546089e-09,3.742156682796789e-10,0.014369243124559925,0.01195115384926313
3,0,0.25,"0,2,3",SCS,1.9.2,optimal,True,[1],"[0, 2, 3]",2,8,32,0.16651629097759724,25,1e-06,5e-05,True,0.014851295657839539,6.573169035068561e-09,3.6123368900526506e-10,0.014446632400720218,0.011644831151029468
3,0,0.5,0,SCS,1.9.2,optimal,True,[0],"[1, 2, 3]",2,8,32,0.1649218329694122,25,1e-06,5e-05,True,0.00012682538993403475,6.721516653420319e-09,6.352391691391434e-10,0.00012682538993423947,0.00012682538993422297
3,0,0.5,"0,1",SCS,1.9.2,optimal,True,"[0, 1]","[2, 3]",4,4,64,0.38444320904091,25,1e-06,5e-05,True,0.00038330806089802014,6.8092178635285694e-09,1.1292843198994054e-09,0.00033291986317251994,0.00031767441688772643
3,0,0.5,"0,2",SCS,1.9.2,optimal,True,"[0, 2]","[1, 3]",4,4,64,0.37490699999034405,25,1e-06,5e-05,True,0.0002801522684139118,6.9228093704504316e-09,1.1904602350403407e-09,0.00045028493343687653,0.00037470703761691875
3,0,0.5,"0,3",SCS,1.9.2,optimal,True,"[0, 3]","[1, 2]",4,4,64,0.38370262493845075,25,1e-06,5e-05,True,0.0003815849333551745,6.875520234453613e-09,1.5126135914414922e-09,0.00021291981263397929,0.0004070909359916491
3,0,0.5,"0,1,2",SCS,1.9.2,optimal,True,[3],"[0, 1, 2]",2,8,32,0.1724883330753073,25,1e-06,5e-05,True,0.0012071008799474372,7.187838944487269e-09,8.543275107698965e-10,0.0018210476139995237,0.0010211287803992737
3,0,0.5,"0,1,3",SCS,1.9.2,optimal,True,[2],"[0, 1, 3]",2,8,32,0.16622912499587983,25,1e-06,5e-05,True,0.0013249415805434153,7.0679223990717256e-09,9.946585554919707e-10,0.002079292440158641,0.0007957718998570584
3,0,0.5,"0,2,3",SCS,1.9.2,optimal,True,[1],"[0, 2, 3]",2,8,32,0.16631724999751896,25,1e-06,5e-05,True,0.0011785935445831066,9.652524445065982e-09,1.0231730094898058e-09,0.0020916545394311713,0.0010695447471479151
