t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0009090909090874985,-0.0009090909090879829,-7.506,-2.98
0.000625,0.999999999779853,0.9999999996648912,0.9999999995499276,7.968612436570766e-10,1.2135048521599856e-09,1.6301480165736848e-09,0.14275634585056257,0.10401953839196777,-7.503440054780188,-2.977438079804089
0.00125,0.9999999956853334,0.9999999935903727,0.999999991495409,2.5216333021660375e-08,3.8884326869492725e-08,5.2552321161414284e-08,0.567751552879186,0.4185678158376663,-7.495762980691555,-2.9697550681266542
0.001875,0.9999999713118493,0.999999958476574,0.9999999456412946,1.9056259104033302e-07,2.946935344638746e-07,3.9882447788741615e-07,1.2742580641375465,0.9420236500468104,-7.482977059663128,-2.9569592089313326
0.0025,0.9999998791668626,0.9999998287522147,0.9999997783375657,7.990632502341555e-07,1.2376562192883966e-06,1.67624919278353e-06,2.2595582004306296,1.673202686257592,-7.465096085634807,-2.9390642329360097
0.003125,0.9999996111036499,0.9999994572741758,0.9999993034447244,2.4242942622265673e-06,3.7600619045008443e-06,5.095829554768727e-06,3.519868289659482,2.6104519941386957,-7.442139350654306,-2.916089343790181
0.00375,0.9999989582385818,0.9999985618619972,0.9999981654855965,5.990531145805278e-06,9.304312728719566e-06,1.2618094316518835e-05,5.050359596178845,3.7516552137538537,-7.414131625432178,-2.8880591987424387
0.004375,0.9999975616258416,0.9999966591211985,0.9999957566174112,1.284294268755204e-05,1.997792754471206e-05,2.711291239076985e-05,6.845185017530321,5.0942391427727145,-7.381103134374232,-2.8550038838172664
0.005,0.9999948552639341,0.9999929873403122,0.9999911194202211,2.480676374760904e-05,3.865425449234294e-05,5.250174521176376e-05,8.897511390981418,6.635181743281184,-7.34308952511608,-2.8169588835257673
0.005625,0.9999900032544925,0.9999864205616537,0.9999828378816228,4.4233849099573064e-05,6.905676533852656e-05,9.387968153262705e-05,11.199557219230458,8.371021541872686,-7.300131832590079,-2.773965045140359
0.00625,0.9999818331215021,0.9999753762100762,0.9999689193402163,7.40353172048458e-05,0.00011582516766139861,0.00015761501808508882,13.742635592713498,10.29786839211297,-7.252276437660259,-2.726068537568857
0.006875,0.9999687674308323,0.9999577188782831,0.9999466704476629,0.00011769933437522084,0.00018456195004645792,0.00025142456576476846,16.5172020553671,12.411415563979075,-7.1995750203663444,-2.673320804868757
0.0075,0.9999487559297526,0.9999306629734077,0.9999125703443548,0.0001792934541247071,0.00028185837140348724,0.0003844232887812993,19.512907131640873,14.70695312049208,-7.142084507823179,-2.615778514447793
