beta_eps,fermion,boson,ex2,ex3,ex4
-4.00000,0.98201379,nan,1.96402758,0.99092529,1.94729577
-3.98000,0.98165711,nan,1.96331422,0.99074366,1.94627518
-3.96000,0.98129349,nan,1.96258698,0.99055844,1.94523569
-3.94000,0.98092280,nan,1.96184561,0.99036954,1.94417698
-3.92000,0.98054492,nan,1.96108983,0.99017690,1.94309873
-3.90000,0.98015969,nan,1.96031939,0.98998045,1.94200062
-3.88000,0.97976700,nan,1.95953401,0.98978011,1.94088231
-3.86000,0.97936670,nan,1.95873341,0.98957581,1.93974348
-3.84000,0.97895865,nan,1.95791731,0.98936747,1.93858379
-3.82000,0.97854271,nan,1.95708542,0.98915500,1.93740289
-3.80000,0.97811873,nan,1.95623746,0.98893834,1.93620045
-3.78000,0.97768656,nan,1.95537312,0.98871740,1.93497611
-3.76000,0.97724606,nan,1.95449211,0.98849210,1.93372952
-3.74000,0.97679706,nan,1.95359412,0.98826236,1.93246032
-3.72000,0.97633942,nan,1.95267884,0.98802808,1.93116816
-3.70000,0.97587298,nan,1.95174596,0.98778918,1.92985266
-3.68000,0.97539757,nan,1.95079514,0.98754558,1.92851347
-3.66000,0.97491304,nan,1.94982608,0.98729718,1.92715020
-3.64000,0.97441921,nan,1.94883842,0.98704389,1.92576249
-3.62000,0.97391592,nan,1.94783185,0.98678562,1.92434994
-3.60000,0.97340301,nan,1.94680601,0.98652227,1.92291219
-3.58000,0.97288028,nan,1.94576057,0.98625374,1.92144884
-3.56000,0.97234758,nan,1.94469516,0.98597994,1.91995950
-3.54000,0.97180471,nan,1.94360942,0.98570077,1.91844378
-3.52000,0.97125150,nan,1.94250301,0.98541612,1.91690127
-3.50000,0.97068777,nan,1.94137554,0.98512589,1.91533159
-3.48000,0.97011332,nan,1.94022664,0.98482997,1.91373432
-3.46000,0.96952797,nan,1.93905593,0.98452826,1.91210905
-3.44000,0.96893152,nan,1.93786303,0.98422064,1.91045538
-3.42000,0.96832377,nan,1.93664754,0.98390700,1.90877289
-3.40000,0.96770454,nan,1.93540907,0.98358724,1.90706117
-3.38000,0.96707361,nan,1.93414721,0.98326123,1.90531979
-3.36000,0.96643078,nan,1.93286155,0.98292886,1.90354834
-3.34000,0.96577584,nan,1.93155168,0.98259000,1.90174638
-3.32000,0.96510859,nan,1.93021718,0.98224454,1.89991350
-3.30000,0.96442881,nan,1.92885762,0.98189235,1.89804925
-3.28000,0.96373628,nan,1.92747257,0.98153331,1.89615321
-3.26000,0.96303079,nan,1.92606158,0.98116728,1.89422495
-3.24000,0.96231211,nan,1.92462422,0.98079414,1.89226402
-3.22000,0.96158001,nan,1.92316003,0.98041376,1.89026999
-3.20000,0.96083428,nan,1.92166855,0.98002599,1.88824242
-3.18000,0.96007467,nan,1.92014933,0.97963071,1.88618087
-3.16000,0.95930095,nan,1.91860189,0.97922777,1.88408488
-3.14000,0.95851288,nan,1.91702576,0.97881703,1.88195403
-3.12000,0.95771023,nan,1.91542046,0.97839835,1.87978786
-3.10000,0.95689275,nan,1.91378549,0.97797158,1.87758593
-3.08000,0.95606018,nan,1.91212037,0.97753657,1.87534779
