frequency_mhz,cavity_power_transfer,linewidth_mhz,generated_data_provenance,parameter_match
0.0,1.0,0.14,formula_numerics,reconstructed_transfer_convention
0.005,0.9987261146496816,0.14,formula_numerics,reconstructed_transfer_convention
0.01,0.9949238578680204,0.14,formula_numerics,reconstructed_transfer_convention
0.015,0.9886506935687263,0.14,formula_numerics,reconstructed_transfer_convention
0.02,0.98,0.14,formula_numerics,reconstructed_transfer_convention
0.025,0.9690976514215079,0.14,formula_numerics,reconstructed_transfer_convention
0.03,0.9560975609756097,0.14,formula_numerics,reconstructed_transfer_convention
0.035,0.9411764705882353,0.14,formula_numerics,reconstructed_transfer_convention
0.04,0.9245283018867924,0.14,formula_numerics,reconstructed_transfer_convention
0.045,0.9063583815028902,0.14,formula_numerics,reconstructed_transfer_convention
0.05,0.8868778280542986,0.14,formula_numerics,reconstructed_transfer_convention
0.055,0.8662983425414365,0.14,formula_numerics,reconstructed_transfer_convention
0.06,0.8448275862068966,0.14,formula_numerics,reconstructed_transfer_convention
0.065,0.8226652675760755,0.14,formula_numerics,reconstructed_transfer_convention
0.07,0.8,0.14,formula_numerics,reconstructed_transfer_convention
0.075,0.7770069375619425,0.14,formula_numerics,reconstructed_transfer_convention
0.08,0.7538461538461539,0.14,formula_numerics,reconstructed_transfer_convention
0.085,0.7306616961789376,0.14,formula_numerics,reconstructed_transfer_convention
0.09,0.7075812274368232,0.14,formula_numerics,reconstructed_transfer_convention
0.095,0.6847161572052403,0.14,formula_numerics,reconstructed_transfer_convention
0.1,0.6621621621621622,0.14,formula_numerics,reconstructed_transfer_convention
0.105,0.64,0.14,formula_numerics,reconstructed_transfer_convention
0.11,0.6182965299684543,0.14,formula_numerics,reconstructed_transfer_convention
0.115,0.5971058644325972,0.14,formula_numerics,reconstructed_transfer_convention
0.12,0.5764705882352942,0.14,formula_numerics,reconstructed_transfer_convention
0.125,0.5564229950319376,0.14,formula_numerics,reconstructed_transfer_convention
0.13,0.536986301369863,0.14,formula_numerics,reconstructed_transfer_convention
0.135,0.5181758096497026,0.14,formula_numerics,reconstructed_transfer_convention
0.14,0.5,0.14,formula_numerics,reconstructed_transfer_convention
0.145,0.4824615384615386,0.14,formula_numerics,reconstructed_transfer_convention
0.15,0.4655581947743468,0.14,formula_numerics,reconstructed_transfer_convention
0.155,0.4492836676217766,0.14,formula_numerics,reconstructed_transfer_convention
0.16,0.43362831858407086,0.14,formula_numerics,reconstructed_transfer_convention
0.165,0.4185798184730378,0.14,formula_numerics,reconstructed_transfer_convention
0.17,0.40412371134020625,0.14,formula_numerics,reconstructed_transfer_convention
0.17500000000000002,0.3902439024390244,0.14,formula_numerics,reconstructed_transfer_convention
0.18,0.37692307692307697,0.14,formula_numerics,reconstructed_transfer_convention
0.185,0.36414305620065024,0.14,formula_numerics,reconstructed_transfer_convention
0.19,0.35188509874326757,0.14,formula_numerics,reconstructed_transfer_convention
0.195,0.3401301518438178,0.14,formula_numerics,reconstructed_transfer_convention
0.2,0.32885906040268453,0.14,formula_numerics,reconstructed_transfer_convention
0.20500000000000002,0.31805273833671405,0.14,formula_numerics,reconstructed_transfer_convention
0.21,0.3076923076923077,0.14,formula_numerics,reconstructed_transfer_convention
0.215,0.2977592100265857,0.14,formula_numerics,reconstructed_transfer_convention
0.22,0.2882352941176471,0.14,formula_numerics,reconstructed_transfer_convention
0.225,0.2791028835884657,0.14,formula_numerics,reconstructed_transfer_convention
0.23,0.2703448275862069,0.14,formula_numerics,reconstructed_transfer_convention
