protocol,normalized_frequency,frequency_response,intensity_response,generated_data_provenance
Time-optimal,0.0,120.77417679132697,1.162999167636651,independent_hamiltonian_numerics
Time-optimal,0.01,121.30592747619431,1.1726979077857609,independent_hamiltonian_numerics
Time-optimal,0.02,121.76210152116585,1.1824100289047363,independent_hamiltonian_numerics
Time-optimal,0.03,122.141543501804,1.1920961904376872,independent_hamiltonian_numerics
Time-optimal,0.04,122.44329282082793,1.2017162385018567,independent_hamiltonian_numerics
Time-optimal,0.05,122.66658304239911,1.2112293573394264,independent_hamiltonian_numerics
Time-optimal,0.06,122.81084071659387,1.2205942237070253,independent_hamiltonian_numerics
Time-optimal,0.07,122.8756837051921,1.2297691635883872,independent_hamiltonian_numerics
Time-optimal,0.08,122.86091902126839,1.2387123106065827,independent_hamiltonian_numerics
Time-optimal,0.09,122.76654019637681,1.2473817655058788,independent_hamiltonian_numerics
Time-optimal,0.1,122.59272419032749,1.2557357560697198,independent_hamiltonian_numerics
Time-optimal,0.11,122.33982785974985,1.2637327968401963,independent_hamiltonian_numerics
Time-optimal,0.12,122.00838400272482,1.2713318480059908,independent_hamiltonian_numerics
Time-optimal,0.13,121.59909699779206,1.2784924728301879,independent_hamiltonian_numerics
Time-optimal,0.14,121.11283805661895,1.2851749929958416,independent_hamiltonian_numerics
Time-optimal,0.15,120.55064011047477,1.29134064125717,independent_hamiltonian_numerics
Time-optimal,0.16,119.91369235146396,1.2969517107956394,independent_hamiltonian_numerics
Time-optimal,0.17,119.2033344502185,1.3019717006950668,independent_hamiltonian_numerics
Time-optimal,0.18,118.42105047236555,1.3063654569665293,independent_hamiltonian_numerics
Time-optimal,0.19,117.5684625166636,1.3100993085731005,independent_hamiltonian_numerics
Time-optimal,0.2,116.64732409818754,1.3131411979257224,independent_hamiltonian_numerics
Time-optimal,0.21,115.65951330032351,1.315460805345305,independent_hamiltonian_numerics
Time-optimal,0.22,114.60702571967249,1.3170296670115729,independent_hamiltonian_numerics
Time-optimal,0.23,113.49196722816521,1.317821285946743,independent_hamiltonian_numerics
Time-optimal,0.24,112.3165465768738,1.3178112356112641,independent_hamiltonian_numerics
Time-optimal,0.25,111.08306786603742,1.3169772557203023,independent_hamiltonian_numerics
Time-optimal,0.26,109.7939229058345,1.3152993399215065,independent_hamiltonian_numerics
Time-optimal,0.27,108.45158349232594,1.3127598150090634,independent_hamiltonian_numerics
Time-optimal,0.28,107.05859362282291,1.3093434113838023,independent_hamiltonian_numerics
Time-optimal,0.29,105.61756167468553,1.3050373245055527,independent_hamiltonian_numerics
Time-optimal,0.3,104.13115257124247,1.2998312671210175,independent_hamiltonian_numerics
