k_over_pi,rho_band0,rho_band1,rho_band2
-3.333333333333333148e-01,8.871763060463030426e-01,1.128236939536969852e-01,1.158384134616468712e-29
-3.305555555555555469e-01,8.860557508367203905e-01,1.129123198562039798e-01,1.031929307074936448e-03
-3.277777777777777235e-01,8.827182778101346772e-01,1.131780634130542390e-01,4.103658776810248550e-03
-3.250000000000000111e-01,8.772347781492663144e-01,1.136205182154564619e-01,9.144703635278845708e-03
-3.222222222222221877e-01,8.697180132518975704e-01,1.142389938384927722e-01,1.604299290960712471e-02
-3.194444444444444198e-01,8.603152877149680133e-01,1.150324966193237430e-01,2.465221566571324310e-02
-3.166666666666666519e-01,8.491995406733939822e-01,1.159997035357583361e-01,3.480075579085357279e-02
-3.138888888888888840e-01,8.365598650633995215e-01,1.171389299774447529e-01,4.630120495915211742e-02
-3.111111111111111160e-01,8.225923827505320363e-01,1.184480924305190974e-01,5.895952481894544545e-02
-3.083333333333332926e-01,8.074921951481831561e-01,1.199246673224628607e-01,7.258313752935270646e-02
-3.055555555555555247e-01,7.914468601308852769e-01,1.215656474924959596e-01,8.698749237661687617e-02
-3.027777777777777568e-01,7.746315793491027613e-01,1.233674979567449120e-01,1.020009226941640257e-01
-2.999999999999999889e-01,7.572060597967128492e-01,1.253261128177832473e-01,1.174678273854979915e-01
-2.972222222222221655e-01,7.393128609093955195e-01,1.274367753135309533e-01,1.332503637770695026e-01
-2.944444444444444531e-01,7.210769549289626212e-01,1.296941230988216953e-01,1.492289219722071625e-01
-2.916666666666666297e-01,7.026062023082079167e-01,1.320921208909306976e-01,1.653016768008540582e-01
-2.888888888888888618e-01,6.839924586594391398e-01,1.346240425755522718e-01,1.813834987650035091e-01
-2.861111111111110938e-01,6.653130683386830890e-01,1.372824647513984087e-01,1.974044669099147553e-01
-2.833333333333333259e-01,6.466325485081364510e-01,1.400592734817802942e-01,2.133081780100774538e-01
-2.805555555555555025e-01,6.280043169017547333e-01,1.429456857171889361e-01,2.290499973810500023e-01
-2.777777777777777346e-01,6.094723609018531940e-01,1.459322864561722888e-01,2.445953526419687718e-01
-2.749999999999999667e-01,5.910727823182601037e-01,1.490090822318496933e-01,2.599181354498839580e-01
-2.722222222222221988e-01,5.728351808852225613e-01,1.521655709637186049e-01,2.749992481510544762e-01
-2.694444444444444309e-01,5.547838605767622111e-01,1.553908276218259610e-01,2.898253118014100238e-01
-2.666666666666666075e-01,5.369388575633009530e-01,1.586736045406504092e-01,3.043875378960489431e-01
-2.638888888888888951e-01,5.193167983111742769e-01,1.620024446255187989e-01,3.186807570633057307e-01
-2.611111111111110716e-01,5.019316021993016630e-01,1.653658051487046921e-01,3.327025926519995291e-01
-2.583333333333333037e-01,4.847950461421096091e-01,1.687521893682953078e-01,3.464527644895942227e-01
-2.555555555555555358e-01,4.679172098968429339e-01,1.721502828494014814e-01,3.599325072537504222e-01
-2.527777777777777679e-01,4.513068206250952508e-01,1.755490911469516913e-01,3.731440882279476456e-01
-2.500000000000000000e-01,4.349715143317700039e-01,1.789380754357474124e-01,3.860904102324805853e-01
-2.472222222222221766e-01,4.189180303441184527e-01,1.823072827513788075e-01,3.987746869045072917e-01
-2.444444444444444364e-01,4.031523532458703429e-01,1.856474677281941266e-01,4.112001790259300349e-01
-2.416666666666666130e-01,3.876798148027894575e-01,1.889502030726729065e-01,4.233699821245437978e-01
-2.388888888888888729e-01,3.725051665139906820e-01,1.922079764679937852e-01,4.352868570180155605e-01
-2.361111111111111049e-01,3.576326315739971062e-01,1.954142721390109416e-01,4.469530962869862067e-01
