period_j,x_expectation
0.000000000000000000e+00,0.000000000000000000e+00
1.310000000000000000e+02,1.526951391251152035e-01
2.620000000000000000e+02,2.029235691838903455e-01
3.930000000000000000e+02,2.954115556162017486e-01
5.250000000000000000e+02,3.732352788258362919e-01
6.560000000000000000e+02,3.203073509393113416e-01
7.870000000000000000e+02,3.157481074504403518e-01
9.180000000000000000e+02,7.187830063538277470e-01
1.050000000000000000e+03,7.141492487272064205e-01
1.181000000000000000e+03,6.601200537037328342e-01
1.312000000000000000e+03,7.417235427845830786e-01
1.444000000000000000e+03,8.189144189869931312e-01
1.575000000000000000e+03,8.740120435441377511e-01
1.706000000000000000e+03,1.071422717824063620e+00
1.837000000000000000e+03,1.188587217144943198e+00
1.969000000000000000e+03,1.228124966277640562e+00
2.100000000000000000e+03,1.310390629274830188e+00
2.231000000000000000e+03,1.398934281284183623e+00
2.363000000000000000e+03,1.349025963361335290e+00
2.494000000000000000e+03,1.351226392387769426e+00
2.625000000000000000e+03,1.743134901707539930e+00
2.756000000000000000e+03,1.749853687028382065e+00
2.888000000000000000e+03,1.698580935676386350e+00
3.019000000000000000e+03,1.781497157817172328e+00
3.150000000000000000e+03,1.863106979199158131e+00
3.282000000000000000e+03,1.900485604225215619e+00
3.413000000000000000e+03,2.037470375020489222e+00
3.544000000000000000e+03,2.228461908674227665e+00
3.675000000000000000e+03,2.268010411051532227e+00
3.807000000000000000e+03,2.353895688295341238e+00
3.938000000000000000e+03,2.434116291787221442e+00
4.069000000000000000e+03,2.382214806819998199e+00
4.201000000000000000e+03,2.380232164268978767e+00
4.332000000000000000e+03,2.777407188428097751e+00
4.463000000000000000e+03,2.780120242551086029e+00
4.594000000000000000e+03,2.728098453360789044e+00
4.726000000000000000e+03,2.811073606570929861e+00
4.857000000000000000e+03,2.899890014869271226e+00
4.988000000000000000e+03,2.940103615269009651e+00
5.120000000000000000e+03,3.093583813798246762e+00
