chi_over_J,alpha,energy_over_J,overlap,f1_alpha
0.0,0,-1.9999309261527538,-5.602304888594819e-07,0.0
0.0,1,-1.9997237093822118,2.645751714403121e-07,3.3781059882154973e-10
0.0,2,-1.999378364001633,1.681881594374127e-06,5.119289643267071e-09
0.0,3,-1.9988949138653516,-5.297126142793154e-07,2.708418202550549e-10
0.0,4,-1.9982733923671285,-2.8071093399299806e-06,4.753968163218821e-09
0.0,5,-1.9975138424378451,7.959775573304501e-07,2.6212591143029106e-10
0.0,6,-1.9966163165425368,3.938319092324407e-06,4.6793918732261985e-09
0.0,7,-1.9955808766767702,-1.0639411840989879e-06,2.602202226598817e-10
0.0,8,-1.9944075943623607,-5.07794782078226e-06,4.668478202855183e-09
0.0,9,-1.9930965506424314,1.3341836748954463e-06,2.6045482512176854e-10
0.0,10,-1.991647836075816,6.228477220856552e-06,4.683509189250679e-09
0.0,11,-1.9900615507308033,-1.6072973248809703e-06,2.617596940150595e-10
0.0,12,-1.9883378041782247,-7.392447198300709e-06,4.713853239854635e-09
0.0,13,-1.9864767154838863,1.8838898585412883e-06,2.637866379873955e-10
0.0,14,-1.9844784132003443,8.572469995490248e-06,4.755682266690607e-09
0.0,15,-1.9823430353580258,-2.1645877729762945e-06,2.6640148506738185e-10
0.0,16,-1.980070729455693,-9.771245060123295e-06,4.807466485924269e-09
0.0,17,-1.9776616524502573,2.4500399917780643e-06,2.695505943078383e-10
0.0,18,-1.9751159707459354,1.0991574737583294e-05,4.868625118652555e-09
0.0,19,-1.9724338601827565,-2.7409216781104048e-06,2.732164825779149e-10
0.0,20,-1.9696155060244163,-1.2236381117186705e-05,4.9390383577459685e-09
0.0,21,-1.966661102945479,3.0379383514850666e-06,2.7740061526403827e-10
0.0,22,-1.9635708550179318,1.3508724061157985e-05,5.01884677518528e-09
0.0,23,-1.9603449756970877,-3.341830322127726e-06,2.821159975532124e-10
0.0,24,-1.9569836878068427,-1.4811820782698864e-05,5.10836187257842e-09
0.0,25,-1.9534872235242826,3.653377489492386e-06,2.873837856447632e-10
0.0,26,-1.9498558243636472,1.6149067071303512e-05,5.208024706006542e-09
0.0,27,-1.9460897411596478,-3.973404604585984e-06,2.9323173614708977e-10
0.0,28,-1.94218923405014,-1.752406057544966e-05,5.31838759602489e-09
0.0,29,-1.938154572458156,4.30278699714404e-06,2.996935693925685e-10
0.0,30,-1.9339860350732945,1.8940626323620102e-05,5.4401079395027495e-09
0.0,31,-1.9296839098324698,-4.642456939165925e-06,3.068088519766291e-10
0.0,32,-1.925248493900024,-2.040284494329648e-05,5.573949176849195e-09
0.0,33,-1.9206800936471995,4.993410606685584e-06,3.1462318689475694e-10
0.0,34,-1.9159790246309776,2.1915083900028143e-05,5.7207864698656715e-09
0.0,35,-1.9111456115722814,-5.356715918396789e-06,3.2318864404538173e-10
0.0,36,-1.906180188333546,-2.348203226163669e-05,5.881615995384452e-09
0.0,37,-1.9010830978956579,5.733521119235644e-06,3.3256435679315293e-10
0.0,38,-1.8958546923342634,2.5108739539508426e-05,6.057567401625816e-09
0.0,39,-1.8904953327954495,-6.125064569218912e-06,3.4281731223049833e-10
0.0,40,-1.8850053894707983,-2.680065916840924e-05,6.24991931818418e-09
0.0,41,-1.8793852415718166,6.5326855726774035e-06,3.5402329780469124e-10
0.0,42,-1.8736352773037417,2.8563697369525063e-05,6.460118102668862e-09
0.0,43,-1.867755893838727,-6.957836615880626e-06,3.66268042653254e-10
0.0,44,-1.8617474972884083,-3.0404268345987814e-05,6.689800226062836e-09
0.0,45,-1.8556105026758507,7.402097249106795e-06,3.796485789414489e-10
0.0,46,-1.8493453339068828,3.232935657626318e-05,6.940818713443882e-09
0.0,47,-1.842952423740815,-7.86718972828886e-06,3.942748419046364e-10
0.0,48,-1.836432213760548,-3.434658761782799e-05,7.215274443013732e-09
0.0,49,-1.8297851543420691,8.354996835885453e-06,4.1027156528653926e-10
0.0,50,-1.823011704623346,3.6464308586995585e-05,7.515553082549736e-09
0.0,51,-1.8161123324726096,-8.867582185689465e-06,4.2778052125012575e-10
0.0,52,-1.809087514456038,-3.869168010784569e-05,7.844368827082885e-09
0.0,53,-1.8019377358048378,9.40721341866191e-06,4.4696317155527965e-10
0.0,54,-1.7946634903817273,4.103878150661531e-05,8.204816225338328e-09
0.0,55,-1.7872652806468243,-9.97638884831472e-06,4.680038198741569e-10
0.0,56,-1.7797436176229369,-4.3516731678682e-05,8.600431826151174e-09
0.0,57,-1.7720990208602685,1.0577867981728473e-05,4.911133534841529e-10
0.0,58,-1.7643320184005278,4.6137828385462963e-05,9.035267728682071e-09
0.0,59,-1.7564431467404567,-1.1214706980275312e-05,5.165337371633359e-10
0.0,60,-1.748432950794771,-4.891570902018983e-05,9.513979528232937e-09
0.0,61,-1.7403019838585216,1.1890299435278825e-05,5.44543375677931e-10
0.0,62,-1.732050807568877,5.186553739215212e-05,1.0041932126942986e-08
0.0,63,-1.7236799918663275,-1.2608423898620807e-05,5.754635857357296e-10
0.0,64,-1.7151901149553186,-5.500422073321413e-05,1.0625327243204098e-08
0.0,65,-1.706581763264311,1.3373299269160213e-05,6.096664179353181e-10
0.0,66,-1.6978555314052743,5.835066324277067e-05,1.1271357945977286e-08
0.0,67,-1.6890120221326153,-1.4189649503583714e-05,6.475841463197495e-10
0.0,68,-1.6800518463015426,-6.192606318049396e-05,1.1988396686705077e-08
0.0,69,-1.6709756228258723,1.5062779687176244e-05,6.897208514645903e-10
0.0,70,-1.661783978635279,6.575426233679569e-05,1.2786225181679961e-08
0.0,71,-1.6524775486319894,-1.599866561393571e-05,7.366666090653626e-10
0.0,72,-1.6430569756469273,-6.986215878160214e-05,1.367631686960605e-08
0.0,73,-1.6335229103953128,1.70040598580346e-05,7.891149735300296e-10
0.0,74,-1.6238760114317126,7.428019630305684e-05,1.4672185754874643e-08
