chi_over_J,alpha,energy_over_J,overlap,f1_alpha
2.03,0,-2.617245967246217,0.5240943982928121,0.0
2.03,1,-2.6172208294823145,-0.009523038906673595,3.6076506394899086
2.03,2,-2.6171274708250576,-0.016890600352248337,2.4076033475788488
2.03,3,-2.616987669086599,-0.023089888033917493,2.0640601164459222
2.03,4,-2.6165616067154787,0.00032143678278939415,0.0001509754006686122
2.03,5,-2.61639178543991,0.019844967870167013,0.46105260830913347
2.03,6,-2.6163409445761516,0.04003806280309997,1.771277699495956
2.03,7,-2.616290331510144,-0.0021956774830448615,0.005044808840407654
2.03,8,-2.614908059734629,-0.0006165972078880397,0.00016262068319250968
2.03,9,-2.6147933062964364,-0.05361608755529204,1.172067767864088
2.03,10,-2.6145910253467775,-0.10302339694203011,3.9977599207409726
2.03,11,-2.614475733993826,0.0014582593597186667,0.0007676322412098678
2.03,12,-2.614339040498848,0.00912512225561076,0.02864463518222779
2.03,13,-2.610103871167003,-0.01044632662358297,0.015279231575191775
2.03,14,-2.6098956738267107,-0.0013976214552136699,0.0002657507150516992
2.03,15,-2.609763194563677,-0.01712653215658996,0.039199119919160474
2.03,16,-2.6093013466948594,0.15883983893777076,3.1757456848540886
2.03,17,-2.6091599166101305,0.0034340491706960604,0.0014583996857662255
2.03,18,-2.6087041437806158,0.0016831599409694272,0.0003316654105874591
2.03,19,-2.608562132281555,-0.0076956825802937225,0.00681997419546105
2.03,20,-2.5985308029744005,5.482769171659644e-06,1.6062246290282667e-09
2.03,21,-2.59534254518469,0.0048292408744731105,0.0010647453789718864
2.03,22,-2.5943191414868023,-0.002477020954013075,0.00026761806762980785
2.03,23,-2.594127411197138,-0.0016313132737629133,0.00011511025997928158
2.03,24,-2.5937133007492257,-0.0016258975658275843,0.00011233503414931966
2.03,25,-2.593572385929908,0.023820182025234397,0.023967690571785716
2.03,26,-2.59201757567989,0.28413044925223907,3.1999706354658253
2.03,27,-2.591872053212761,-0.004392959075873311,0.0007605483890602251
2.03,28,-2.5915164099362866,-0.009368160290067868,0.003410957528854668
2.03,29,-2.5903323857949454,-0.0016404812899423092,9.99933385871852e-05
2.03,30,-2.5900387837793,6.468954330749532e-05,1.5381000456812494e-07
2.03,31,-2.5897507244326023,0.014939594563587863,0.008117458254046337
2.03,32,-2.589673919329636,-0.023208652234383297,0.019535782766887638
2.03,33,-2.5895886726738113,-0.0005796402893112805,1.2148074140559053e-05
2.03,34,-2.5488101358178663,-9.985819623245684e-05,1.4570816408126427e-07
2.03,35,-2.5486965656268437,-0.008275900404452353,0.0009991411432694105
2.03,36,-2.5483989414075126,-0.011863703870703391,0.0020443507590507605
2.03,37,-2.548207134240011,0.00012441388325739464,2.2420446107183286e-07
2.03,38,-2.5478379723361684,0.0013707559353445986,2.7071403470415144e-05
2.03,39,-2.5470233059378082,-0.0010169896685409368,1.4728407705550141e-05
2.03,40,-2.54665492343356,-0.00022121167373294356,6.932126506812801e-07
2.03,41,-2.5465275349425966,0.007280514867905429,0.0007495343860878895
2.03,42,-2.5415018257634343,-0.16944787506767167,0.37907330920736504
2.03,43,-2.541361627701229,0.003253561566770797,0.0001394973314947591
2.03,44,-2.5408583214785847,0.0039941482175823145,0.00020884555118434926
2.03,45,-2.540480106836937,0.008983463247395804,0.0010512825816976772
2.03,46,-2.5378937365426166,-5.2840001208115035e-06,3.518572449592042e-10
2.03,47,-2.5365674210915077,-0.0034468046348689776,0.0001472567709409671
2.03,48,-2.536350543393813,-0.0026395289058723796,8.612493158633492e-05
2.03,49,-2.536342029376208,0.001305751678797121,2.107422075574319e-05
2.03,50,-2.535452997128037,8.347584361435521e-05,8.519334188574067e-08
2.03,51,-2.535268453534636,0.01278962737979139,0.001995358984530917
2.03,52,-2.53496323592931,0.03277586534190582,0.013055684123723458
2.03,53,-2.534868303008473,-0.0005044393255976853,3.088932364907461e-06
2.03,54,-2.5347163842238234,-0.0024291916801762914,7.150129690388167e-05
2.03,55,-2.38683399544413,-0.00014383278614002083,8.978643864291424e-08
2.03,56,-2.3866172727837336,-1.3466899690830267e-05,7.863608980034615e-10
2.03,57,-2.3864357541751415,3.952962210669493e-05,6.770025481571399e-09
2.03,58,-2.386140291155684,0.0002848579176236282,3.511122470271244e-07
2.03,59,-2.385959185330009,-1.4347369171170914e-05,8.900076365299638e-10
2.03,60,-2.3845593529524556,-6.39852446083159e-05,1.7594959383513562e-08
2.03,61,-2.3842611216997067,0.0002986878512347189,3.829194652808605e-07
2.03,62,-2.3819220079176056,-3.939498949794635e-06,6.595015662540788e-11
2.03,63,-2.3816099110369535,7.871104339628222e-06,2.6292361416155234e-10
2.03,64,-2.381047012180567,-0.001077346507740618,4.9139738887426616e-06
2.03,65,-2.3805865514826086,-0.0009017779918499734,3.4361765998664263e-06
2.03,66,-2.3801054967721624,-0.0002590067677179313,2.8288931699252125e-07
2.03,67,-2.379979359486281,-0.0006476945086896716,1.7680877243847524e-06
2.03,68,-2.3641839334894024,0.045798251818289705,0.008288402011449474
2.03,69,-2.364032093147651,0.0008185405393334593,2.646018575868014e-06
2.03,70,-2.3635500347874747,0.0018367935476709628,1.3298638665853871e-05
2.03,71,-2.362618773274504,-0.0022532122438020754,1.9938818538696978e-05
2.03,72,-2.3613499762362293,-6.70109266526208e-05,1.7548005629629667e-08
2.03,73,-2.3609200728515645,-0.00041685918380453404,6.779322063132438e-07
2.03,74,-2.360813404279719,0.007116187063379034,0.0001974792816293735
2.03,75,-2.3606190905002498,0.0002539194254088442,2.51240538081991e-07
2.03,76,-2.3478570449641203,8.57150994562689e-05,2.7273126944338166e-08
2.03,77,-2.347660220070818,-0.00631944131339087,0.00014813594165053695
2.03,78,-2.3472593226407796,-0.010711017384453392,0.0004249317353372238
2.03,79,-2.3469515999469186,-0.00014265191059772847,7.528668762323536e-08
