chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-2.0,0.7767103110192858
1.0,ground,0,-1.9975,0.5052397085979945
1.0,ground,0,-1.995,0.11382539108167283
1.0,ground,0,-1.9925,0.0010220380697185344
1.0,ground,0,-1.99,0.003893591916206749
1.0,ground,0,-1.9875,0.0002970635619046275
1.0,ground,0,-1.985,0.0006046722143135
1.0,ground,0,-1.9825,0.00013632971492246482
1.0,ground,0,-1.98,0.00014667282516099501
1.0,ground,0,-1.9775,7.460278976916348e-05
1.0,ground,0,-1.975,4.226649222516979e-05
1.0,ground,0,-1.9725,4.45786107179426e-05
1.0,ground,0,-1.97,1.2500793670650821e-05
1.0,ground,0,-1.9675,2.792561491085565e-05
1.0,ground,0,-1.965,3.273664752635135e-06
1.0,ground,0,-1.9625,1.7916368919213106e-05
1.0,ground,0,-1.96,5.538189225570941e-07
1.0,ground,0,-1.9575,1.159072080167277e-05
1.0,ground,0,-1.955,4.325811304637828e-09
1.0,ground,0,-1.9525,7.468232124903059e-06
1.0,ground,0,-1.95,1.3737579109896694e-07
1.0,ground,0,-1.9475,4.741014632582032e-06
1.0,ground,0,-1.945,4.183455256207205e-07
1.0,ground,0,-1.9425,2.9302348884742163e-06
1.0,ground,0,-1.94,6.603752202771384e-07
1.0,ground,0,-1.9375,1.7344323917961982e-06
1.0,ground,0,-1.935,7.949204421882016e-07
1.0,ground,0,-1.9325,1.0102519983854665e-06
1.0,ground,0,-1.93,9.08122417067977e-07
1.0,ground,0,-1.9275,4.839521924727846e-07
1.0,ground,0,-1.925,8.567696729985385e-07
1.0,ground,0,-1.9225,2.190838532833625e-07
1.0,ground,0,-1.92,7.951070536797145e-07
1.0,ground,0,-1.9175,7.262808091188324e-08
1.0,ground,0,-1.915,6.977375312990821e-07
1.0,ground,0,-1.9125,1.088145736213508e-08
1.0,ground,0,-1.91,5.856333536019182e-07
1.0,ground,0,-1.9075,1.059857981298551e-09
1.0,ground,0,-1.905,4.7420073884872397e-07
1.0,ground,0,-1.9025,2.112567329503805e-08
1.0,ground,0,-1.9,3.791489345236901e-07
1.0,ground,0,-1.8975,6.371538950067762e-08
1.0,ground,0,-1.895,3.527544686158753e-07
1.0,ground,0,-1.8925,4.133712705697316e-07
1.0,ground,0,-1.89,4.212720004747703e-08
1.0,ground,0,-1.8875,8.487692266776431e-08
1.0,ground,0,-1.885,4.839413541862573e-07
1.0,ground,0,-1.8825,2.1245641886781237e-07
1.0,ground,0,-1.88,6.379280290630186e-08
1.0,ground,0,-1.8775,1.427823039262123e-07
1.0,ground,0,-1.875,2.551243818178778e-08
1.0,ground,0,-1.8725,1.2659233446043474e-07
1.0,ground,0,-1.87,7.726477019963136e-09
