width_mhz,sequence_count,time_ns,site,density
0.0,50,0.0,1,1.0625366841429554e-33
0.0,50,0.0,2,1.5941018233862556e-32
0.0,50,0.0,3,3.409232161540172e-33
0.0,50,0.0,4,1.394932041949901e-33
0.0,50,0.0,5,3.4108238890937086e-37
0.0,50,0.0,6,1.0000000000000002
0.0,50,0.0,7,5.979899089721895e-33
0.0,50,0.0,8,2.5378166272532745e-36
0.0,50,0.0,9,1.80388207685366e-34
0.0,50,0.0,10,1.2610320654157513e-32
0.0,50,0.0,11,7.769748112693513e-35
0.0,50,0.5,1,5.1488874827143315e-19
0.0,50,0.5,2,8.906523506605386e-15
0.0,50,0.5,3,9.699308376122977e-11
0.0,50,0.5,4,5.844668791966979e-07
0.0,50,0.5,5,0.0015397489613331403
0.0,50,0.5,6,0.996894595466607
0.0,50,0.5,7,0.0015644577470882435
0.0,50,0.5,8,6.131543023577584e-07
0.0,50,0.5,9,1.067777636965136e-10
0.0,50,0.5,10,1.0458516552626131e-14
0.0,50,0.5,11,6.45248842539036e-19
0.0,50,1.0,1,5.265660743772352e-16
0.0,50,1.0,2,2.2759536153933868e-12
0.0,50,1.0,3,6.193438494601123e-09
0.0,50,1.0,4,9.322890363888818e-06
0.0,50,1.0,5,0.006130548308850825
0.0,50,1.0,6,0.9876217167534455
0.0,50,1.0,7,0.006228619147066738
0.0,50,1.0,8,9.779884103145246e-06
0.0,50,1.0,9,6.817781510437409e-09
0.0,50,1.0,10,2.67237645578508e-12
0.0,50,1.0,11,6.59852589966189e-16
0.0,50,1.5,1,3.0299201742610583e-14
0.0,50,1.5,2,5.815475276830077e-11
0.0,50,1.5,3,7.027982874646187e-08
0.0,50,1.5,4,4.695685049866038e-05
0.0,50,1.5,5,0.013687602507130114
0.0,50,1.5,6,0.9723106230427147
0.0,50,1.5,7,0.013905416295014184
0.0,50,1.5,8,4.925354233231504e-05
0.0,50,1.5,9,7.735598247326494e-08
0.0,50,1.5,10,6.827683021596346e-11
0.0,50,1.5,11,3.7965780001110234e-14
0.0,50,2.0,1,5.364266607139365e-13
0.0,50,2.0,2,5.784460936717888e-10
0.0,50,2.0,3,3.927840960610514e-07
0.0,50,2.0,4,0.00014734934326851581
0.0,50,2.0,5,0.02407139825441629
0.0,50,2.0,6,0.9511742754987226
0.0,50,2.0,7,0.024451616561364256
0.0,50,2.0,8,0.000154534034739315
0.0,50,2.0,9,4.322647126637883e-07
0.0,50,2.0,10,6.79026059504369e-10
0.0,50,2.0,11,6.720868550465524e-13
0.0,50,2.5,1,4.976547580644646e-12
0.0,50,2.5,2,3.4291476879996466e-09
0.0,50,2.5,3,1.4881378560685848e-06
0.0,50,2.5,4,0.00035644383392250534
0.0,50,2.5,5,0.037090385133368826
0.0,50,2.5,6,0.9245056802083411
0.0,50,2.5,7,0.03767060333873017
0.0,50,2.5,8,0.0003737544918664935
0.0,50,2.5,9,1.6373909209783437e-06
0.0,50,2.5,10,4.024635931765139e-09
0.0,50,2.5,11,6.2342456347186e-12
0.0,50,3.0,1,3.066789066460561e-11
0.0,50,3.0,2,1.464717695984682e-08
0.0,50,3.0,3,4.406531501627147e-06
0.0,50,3.0,4,0.0007308435021435436
0.0,50,3.0,5,0.052504652867425346
0.0,50,3.0,6,0.8926728655842103
0.0,50,3.0,7,0.053316189808520605
0.0,50,3.0,8,0.0007661625024005381
0.0,50,3.0,9,4.847300837532141e-06
0.0,50,3.0,10,1.718670310423888e-08
0.0,50,3.0,11,3.841201818150834e-11
0.0,50,3.5,1,1.424689983531044e-10
0.0,50,3.5,2,4.987921092172637e-08
0.0,50,3.5,3,1.1002192178347318e-05
0.0,50,3.5,4,0.0013360462138541135
0.0,50,3.5,5,0.07003053141371497
0.0,50,3.5,6,0.8561125891766317
0.0,50,3.5,7,0.07109738844397513
0.0,50,3.5,8,0.001400234648660423
0.0,50,3.5,9,1.2099199868062312e-05
0.0,50,3.5,10,5.851102963787178e-08
0.0,50,3.5,11,1.7840942600502153e-10
0.0,50,4.0,1,5.38063220702849e-10
0.0,50,4.0,2,1.4385296880892014e-07
0.0,50,4.0,3,2.4236276602829342e-05
0.0,50,4.0,4,0.0022443794544827335
0.0,50,4.0,5,0.08934602169533337
0.0,50,4.0,6,0.8153228926780963
0.0,50,4.0,7,0.09068403968803247
0.0,50,4.0,8,0.0023514725387226124
0.0,50,4.0,9,2.6643910808301395e-05
0.0,50,4.0,10,1.6869324471217087e-07
0.0,50,4.0,11,6.736458421461744e-10
0.0,50,4.5,1,1.7345085678441978e-09
0.0,50,4.5,2,3.653201578965441e-07
0.0,50,4.5,3,4.850059881645032e-05
0.0,50,4.5,4,0.0035326871152979423
0.0,50,4.5,5,0.11009694825659574
0.0,50,4.5,6,0.7708546453698901
0.0,50,4.5,7,0.11171318598534118
0.0,50,4.5,8,0.003699936824619075
0.0,50,4.5,9,5.329837684228589e-05
0.0,50,4.5,10,4.2824691836732857e-07
0.0,50,4.5,11,2.171012524272996e-09
0.0,50,5.0,1,4.933932668491289e-09
0.0,50,5.0,2,8.389528258261769e-07
0.0,50,5.0,3,8.994697249409384e-05
0.0,50,5.0,4,0.005279826456259764
0.0,50,5.0,5,0.13190371085462949
0.0,50,5.0,6,0.7233022349277016
0.0,50,5.0,7,0.13379606246646772
0.0,50,5.0,8,0.005527582631446629
0.0,50,5.0,9,9.88025686647385e-05
0.0,50,5.0,10,9.830617673716491e-07
0.0,50,5.0,11,6.173809863142892e-09
0.0,50,5.5,1,1.2681928819457666e-08
0.0,50,5.5,2,1.7756221697804198e-06
0.0,50,5.5,3,0.00015680598774330584
