time_ns,site,probability_n_eq_2
0.0,1,1.9151890465256941e-32
0.0,2,3.394730847994908e-35
0.0,3,3.9130437672416456e-32
0.0,4,2.7287505549480006e-32
0.0,5,2.092759632545269e-32
0.0,6,3.754412751430788e-32
0.0,7,8.529807268521345e-35
0.0,8,2.1231968688373238e-33
0.0,9,7.77497916302927e-34
0.0,10,3.7696610355090094e-35
0.0,11,6.000697397053453e-35
0.0,12,7.0553256339874405e-34
0.5,1,1.661776422342415e-32
0.5,2,1.1065633506945195e-32
0.5,3,1.8083746788251663e-24
0.5,4,1.1643948517827378e-16
0.5,5,1.8042028123740207e-09
0.5,6,0.0030218493123471105
0.5,7,0.0029644214820981557
0.5,8,1.8619810609863128e-09
0.5,9,1.2775841322969604e-16
0.5,10,2.190489878692544e-24
0.5,11,1.404328612843792e-32
0.5,12,7.146854882196855e-34
1.0,1,9.67965031913574e-33
1.0,2,2.443647396520981e-27
1.0,3,2.7879128796950646e-20
1.0,4,1.1113501484274697e-13
1.0,5,1.047621685144678e-07
1.0,6,0.010822701517667333
1.0,7,0.010001241178183457
1.0,8,1.080020986530313e-07
1.0,9,1.2079303751119768e-13
1.0,10,3.37057083906614e-20
1.0,11,3.243223918902042e-27
1.0,12,4.913882961256533e-34
1.5,1,5.903845292869405e-31
1.5,2,3.321092469927355e-24
1.5,3,7.34796448936151e-18
1.5,4,5.693052597711168e-12
1.5,5,1.0116866378455e-06
1.5,6,0.020155264555163494
1.5,7,0.01672183292279312
1.5,8,1.0410863074152101e-06
1.5,9,6.088653267439262e-12
1.5,10,8.855663399432007e-18
1.5,11,4.374767916365985e-24
1.5,12,8.996055392676784e-31
2.0,1,3.186156064555159e-28
2.0,2,5.238068360403316e-22
2.0,3,3.5685822366277616e-16
2.0,4,8.543876616121139e-11
2.0,5,4.481477834945157e-06
2.0,6,0.027183567167590707
2.0,7,0.018981397455267626
2.0,8,4.5997443257475285e-06
2.0,9,8.924751754761711e-11
2.0,10,4.2813705354060025e-16
2.0,11,6.823894953037781e-22
2.0,12,4.697580712858296e-28
2.5,1,3.792642632904638e-26
2.5,2,2.4968055159899037e-20
2.5,3,6.718908617969686e-15
2.5,4,6.380234312779626e-10
2.5,5,1.2435285265977702e-05
2.5,6,0.02910035665525242
2.5,7,0.01545849202178928
2.5,8,1.2720547656105797e-05
2.5,9,6.454154842731209e-10
2.5,10,8.012568173734149e-15
2.5,11,3.2053307718755534e-20
2.5,12,5.562024535164389e-26
3.0,1,1.7742035582022845e-24
3.0,2,5.506372167611383e-19
3.0,3,6.820756927805713e-14
3.0,4,2.993898858570335e-09
3.0,5,2.4611779733001692e-05
3.0,6,0.0252578008601431
3.0,7,0.008399551183766929
3.0,8,2.507902886866602e-05
3.0,9,2.9030809155693384e-09
3.0,10,8.071979317842656e-14
3.0,11,6.938654933820112e-19
3.0,12,2.5947651372914406e-24
3.5,1,4.32211555643229e-23
3.5,2,7.046439064903612e-18
3.5,3,4.4443608531934237e-13
3.5,4,9.967277781595827e-09
3.5,5,3.6739308189409954e-05
3.5,6,0.017339248203526295
3.5,7,0.0021048763614835023
3.5,8,3.731732199473553e-05
3.5,9,9.14668605484697e-09
