model,launch,time_ns,site,density
strong,Q1_Q12,0.0,1,1.0000000000000004
strong,Q1_Q12,0.0,2,9.9921188208683e-31
strong,Q1_Q12,0.0,3,3.6370742512388564e-31
strong,Q1_Q12,0.0,4,6.422484795070803e-31
strong,Q1_Q12,0.0,5,4.35756281130493e-31
strong,Q1_Q12,0.0,6,4.102178425534445e-31
strong,Q1_Q12,0.0,7,8.120339119318612e-31
strong,Q1_Q12,0.0,8,6.012143659693537e-31
strong,Q1_Q12,0.0,9,3.429788211548805e-31
strong,Q1_Q12,0.0,10,6.178443255255938e-31
strong,Q1_Q12,0.0,11,6.005541753898625e-31
strong,Q1_Q12,0.0,12,1.0000000000000004
strong,Q1_Q12,0.5,1,0.9985558638322657
strong,Q1_Q12,0.5,2,0.001443605792847024
strong,Q1_Q12,0.5,3,5.302868872224499e-07
strong,Q1_Q12,0.5,4,8.799136331320579e-11
strong,Q1_Q12,0.5,5,8.346498144862194e-15
strong,Q1_Q12,0.5,6,5.149159969488095e-19
strong,Q1_Q12,0.5,7,6.24950433484987e-19
strong,Q1_Q12,0.5,8,9.970051128057743e-15
strong,Q1_Q12,0.5,9,1.0179635697169903e-10
strong,Q1_Q12,0.5,10,5.846123699229585e-07
strong,Q1_Q12,0.5,11,0.00151600332753935
strong,Q1_Q12,0.5,12,0.9984834119582839
strong,Q1_Q12,1.0,1,0.9942339124684028
strong,Q1_Q12,1.0,2,0.00575761599711658
strong,Q1_Q12,1.0,3,8.465910900657275e-06
strong,Q1_Q12,1.0,4,5.621445508028094e-09
strong,Q1_Q12,1.0,5,2.1335147462710066e-12
strong,Q1_Q12,1.0,6,5.266773653851257e-16
strong,Q1_Q12,1.0,7,6.391658249182159e-16
strong,Q1_Q12,1.0,8,2.5483743868184525e-12
strong,Q1_Q12,1.0,9,6.502871462742646e-09
strong,Q1_Q12,1.0,10,9.33218080277207e-06
strong,Q1_Q12,1.0,11,0.006045481965528549
strong,Q1_Q12,1.0,12,0.9939451793482479
strong,Q1_Q12,1.5,1,0.9870654109447417
strong,Q1_Q12,1.5,2,0.012891823673674314
strong,Q1_Q12,1.5,3,4.270148469614351e-05
strong,Q1_Q12,1.5,4,6.384231386789769e-08
strong,Q1_Q12,1.5,5,5.4543693170235895e-11
strong,Q1_Q12,1.5,6,3.031361293558802e-14
strong,Q1_Q12,1.5,7,3.6782344680394345e-14
strong,Q1_Q12,1.5,8,6.51432779025101e-11
strong,Q1_Q12,1.5,9,7.384266843735258e-08
strong,Q1_Q12,1.5,10,4.706227741757302e-05
strong,Q1_Q12,1.5,11,0.013533090270618501
strong,Q1_Q12,1.5,12,0.9864197735441154
strong,Q1_Q12,2.0,1,0.9771021143525593
strong,Q1_Q12,2.0,2,0.02276326285515604
strong,Q1_Q12,2.0,3,0.00013426502632591248
strong,Q1_Q12,2.0,4,3.5722249576287336e-07
strong,Q1_Q12,2.0,5,5.429257825682785e-10
strong,Q1_Q12,2.0,6,5.368803760123031e-13
strong,Q1_Q12,2.0,7,6.513061760204278e-13
strong,Q1_Q12,2.0,8,6.48344723001644e-10
strong,Q1_Q12,2.0,9,4.1310052436016276e-07
strong,Q1_Q12,2.0,10,0.000147938590677462
strong,Q1_Q12,2.0,11,0.023887409810118387
strong,Q1_Q12,2.0,12,0.9759642378496832
strong,Q1_Q12,2.5,1,0.9644157424267679
strong,Q1_Q12,2.5,2,0.035257266437946626
strong,Q1_Q12,2.5,3,0.0003256324670601196
strong,Q1_Q12,2.5,4,1.3554416292958651e-06
strong,Q1_Q12,2.5,5,3.221613972456103e-09
strong,Q1_Q12,2.5,6,4.9831269679619764e-12
strong,Q1_Q12,2.5,7,6.043502868303458e-12
strong,Q1_Q12,2.5,8,3.84647039343105e-09
strong,Q1_Q12,2.5,9,1.5670847203508294e-06
strong,Q1_Q12,2.5,10,0.00035867646233547616
strong,Q1_Q12,2.5,11,0.03698217306164881
strong,Q1_Q12,2.5,12,0.9626575795387802
strong,Q1_Q12,3.0,1,0.9490972529908291
strong,Q1_Q12,3.0,2,0.05022892638481423
strong,Q1_Q12,3.0,3,0.0006697858200621533
strong,Q1_Q12,3.0,4,4.020996952089079e-06
strong,Q1_Q12,3.0,5,1.3776626704601404e-08
strong,Q1_Q12,3.0,6,3.072630301244139e-11
strong,Q1_Q12,3.0,7,3.7251981306420425e-11
strong,Q1_Q12,3.0,8,1.64451582136179e-08
strong,Q1_Q12,3.0,9,4.64746969175683e-06
strong,Q1_Q12,3.0,10,0.0007374550959100121
strong,Q1_Q12,3.0,11,0.05265795128160001
strong,Q1_Q12,3.0,12,0.946599929670378
strong,Q1_Q12,3.5,1,0.9312559231293305
strong,Q1_Q12,3.5,2,0.06750493577086178
strong,Q1_Q12,3.5,3,0.0012290324809636386
strong,Q1_Q12,3.5,4,1.006149719420572e-05
strong,Q1_Q12,3.5,5,4.697887642233301e-08
strong,Q1_Q12,3.5,6,1.4283854770693475e-10
strong,Q1_Q12,3.5,7,1.731051458409408e-10
strong,Q1_Q12,3.5,8,5.6064364705742215e-08
strong,Q1_Q12,3.5,9,1.1625000118749242e-05
strong,Q1_Q12,3.5,10,0.0013525556020673464
strong,Q1_Q12,3.5,11,0.07072428171383126
strong,Q1_Q12,3.5,12,0.9279114814464478
strong,Q1_Q12,4.0,1,0.9110182492835032
strong,Q1_Q12,4.0,2,0.08688578689196522
strong,Q1_Q12,4.0,3,0.0020736075785800032
strong,Q1_Q12,4.0,4,2.2220003516621595e-05
strong,Q1_Q12,4.0,5,1.357028682671111e-07
strong,Q1_Q12,4.0,6,5.398873006558348e-10
strong,Q1_Q12,4.0,7,6.539828716788918e-10
strong,Q1_Q12,4.0,8,1.6189938748754966e-07
strong,Q1_Q12,4.0,9,2.5662459334270685e-05
strong,Q1_Q12,4.0,10,0.002280751402039114
strong,Q1_Q12,4.0,11,0.09096220289634478
strong,Q1_Q12,4.0,12,0.9067312206885902
strong,Q1_Q12,4.5,1,0.8885266796350518
strong,Q1_Q12,4.5,2,0.1081482947303157
strong,Q1_Q12,4.5,3,0.003280085346413247
strong,Q1_Q12,4.5,4,4.4593304669236845e-05
strong,Q1_Q12,4.5,5,3.4524290367566313e-07
strong,Q1_Q12,4.5,6,1.7419559495943843e-09
strong,Q1_Q12,4.5,7,2.1089796832775507e-09
strong,Q1_Q12,4.5,8,4.1175184588864173e-07
strong,Q1_Q12,4.5,9,5.147824633700297e-05
strong,Q1_Q12,4.5,10,0.003605482365420084
strong,Q1_Q12,4.5,11,0.11312716090433411
strong,Q1_Q12,4.5,12,0.8832154646217736
strong,Q1_Q12,5.0,1,0.863938194130581
strong,Q1_Q12,5.0,2,0.13104841060961106
strong,Q1_Q12,5.0,3,0.0049296290702857595
strong,Q1_Q12,5.0,4,8.29667883593324e-05
strong,Q1_Q12,5.0,5,7.944456568545621e-07
strong,Q1_Q12,5.0,6,4.960107507607475e-09
strong,Q1_Q12,5.0,7,6.001662570925176e-09
strong,Q1_Q12,5.0,8,9.471357822105829e-07
strong,Q1_Q12,5.0,9,9.572696737956678e-05
strong,Q1_Q12,5.0,10,0.005414848321816713
strong,Q1_Q12,5.0,11,0.136952244035743
strong,Q1_Q12,5.0,12,0.8575362275330134
strong,Q1_Q12,5.5,1,0.8374227492759222
strong,Q1_Q12,5.5,2,0.15532428693904177
strong,Q1_Q12,5.5,3,0.007106112219978369
strong,Q1_Q12,5.5,4,0.00014515362828166833
strong,Q1_Q12,5.5,5,1.6851876884697526e-06
strong,Q1_Q12,5.5,6,1.276340813698126e-08
strong,Q1_Q12,5.5,7,1.5433546358906506e-08
strong,Q1_Q12,5.5,8,2.0082424074867897e-06
strong,Q1_Q12,5.5,9,0.00016738236402932512
strong,Q1_Q12,5.5,10,0.007799461176500708
strong,Q1_Q12,5.5,11,0.1621516987831414
strong,Q1_Q12,5.5,12,0.8298794339860542
strong,Q1_Q12,6.0,1,0.8091616063732233
strong,Q1_Q12,6.0,2,0.1806995505982119
strong,Q1_Q12,6.0,3,0.009894145838267034
strong,Q1_Q12,6.0,4,0.00024132537206981335
strong,Q1_Q12,6.0,5,3.3416541378397265e-06
strong,Q1_Q12,6.0,6,3.020439530377863e-08
strong,Q1_Q12,6.0,7,3.649733754684968e-08
strong,Q1_Q12,6.0,8,3.980444893303631e-06
strong,Q1_Q12,6.0,9,0.00027810720096790853
strong,Q1_Q12,6.0,10,0.010850197710835466
strong,Q1_Q12,6.0,11,0.18842467601500987
strong,Q1_Q12,6.0,12,0.8004430020906486
strong,Q1_Q12,6.5,1,0.7793455631637326
strong,Q1_Q12,6.5,2,0.20688673980295022
strong,Q1_Q12,6.5,3,0.01337704909503058
strong,Q1_Q12,6.5,4,0.0003843207084175504
strong,Q1_Q12,6.5,5,6.260718264392093e-06
strong,Q1_Q12,6.5,6,6.661586370610858e-08
strong,Q1_Q12,6.5,7,8.043296732331608e-08
strong,Q1_Q12,6.5,8,7.453819747568962e-06
strong,Q1_Q12,6.5,9,0.0004425944458378656
strong,Q1_Q12,6.5,10,0.014655897205153532
strong,Q1_Q12,6.5,11,0.21545915316972836
strong,Q1_Q12,6.5,12,0.7694348208223059
strong,Q1_Q12,7.0,1,0.7481731098592717
strong,Q1_Q12,7.0,2,0.2335908572529403
strong,Q1_Q12,7.0,3,0.01763480108429201
strong,Q1_Q12,7.0,4,0.0005899192233068618
strong,Q1_Q12,7.0,5,1.1174481219986526e-05
strong,Q1_Q12,7.0,6,1.383499113805047e-07
strong,Q1_Q12,7.0,7,1.6690685722441088e-07
strong,Q1_Q12,7.0,8,1.3296854949763955e-05
strong,Q1_Q12,7.0,9,0.0006788642028770478
strong,Q1_Q12,7.0,10,0.019301049246328555
strong,Q1_Q12,7.0,11,0.24293597599268596
strong,Q1_Q12,7.0,12,0.7370706465453603
strong,Q1_Q12,7.5,1,0.715848531283338
strong,Q1_Q12,7.5,2,0.2605129910238965
strong,Q1_Q12,7.5,3,0.022742012427292933
strong,Q1_Q12,7.5,4,0.0008770673295793971
strong,Q1_Q12,7.5,5,1.9125710758938146e-05
strong,Q1_Q12,7.5,6,2.727927007994117e-07
strong,Q1_Q12,7.5,7,3.288065354479466e-07
strong,Q1_Q12,7.5,8,2.2745111947460223e-05
strong,Q1_Q12,7.5,9,0.0010085014147643717
strong,Q1_Q12,7.5,10,0.024863517451577485
strong,Q1_Q12,7.5,11,0.2705329619528963
strong,Q1_Q12,7.5,12,0.703571944694712
strong,Q1_Q12,8.0,1,0.6825799772900862
strong,Q1_Q12,8.0,2,0.28735395404628294
strong,Q1_Q12,8.0,3,0.02876595503644845
strong,Q1_Q12,8.0,4,0.0012680442671871423
strong,Q1_Q12,8.0,5,3.155652264043921e-05
strong,Q1_Q12,8.0,6,5.140532349816881e-07
strong,Q1_Q12,8.0,7,6.190158787716752e-07
strong,Q1_Q12,8.0,8,3.7505117106570895e-05
strong,Q1_Q12,8.0,9,0.0014568203159196767
strong,Q1_Q12,8.0,10,0.03141234434724017
strong,Q1_Q12,8.0,11,0.2979290069777455
strong,Q1_Q12,8.0,12,0.6691637030102295
strong,Q1_Q12,8.5,1,0.6485775237823534
strong,Q1_Q12,8.5,2,0.3138178931146323
strong,Q1_Q12,8.5,3,0.03576468749723511
strong,Q1_Q12,8.5,4,0.0017885571118513818
strong,Q1_Q12,8.5,5,5.0410188027046786e-05
strong,Q1_Q12,8.5,6,9.307890871593533e-07
strong,Q1_Q12,8.5,7,1.1197076249361569e-06
strong,Q1_Q12,8.5,8,5.987318987183309e-05
strong,Q1_Q12,8.5,9,0.0020529429884657254
strong,Q1_Q12,8.5,10,0.03900568129584289
strong,Q1_Q12,8.5,11,0.32480813754565563
strong,Q1_Q12,8.5,12,0.6340722427893524
strong,Q1_Q12,9.0,1,0.6140512465086706
strong,Q1_Q12,9.0,2,0.3396158191904495
strong,Q1_Q12,9.0,3,0.043785311954046995
strong,Q1_Q12,9.0,4,0.0024677550785577205
strong,Q1_Q12,9.0,5,7.82454355019076e-05
strong,Q1_Q12,9.0,6,1.6266935462683313e-06
strong,Q1_Q12,9.0,7,1.9547557041127225e-06
strong,Q1_Q12,9.0,8,9.286828442072747e-05
strong,Q1_Q12,9.0,9,0.002829781112630081
strong,Q1_Q12,9.0,10,0.0476888851921135
strong,Q1_Q12,9.0,11,0.3508634514644944
strong,Q1_Q12,9.0,12,0.5985230543298634
strong,Q1_Q12,9.5,1,0.5792093293882643
strong,Q1_Q12,9.5,2,0.3644690122803161
strong,Q1_Q12,9.5,3,0.052862396170212524
strong,Q1_Q12,9.5,4,0.003338155037209165
strong,Q1_Q12,9.5,5,0.00011836206092549638
strong,Q1_Q12,9.5,6,2.7542238491066705e-06
strong,Q1_Q12,9.5,7,3.3059263973093952e-06
strong,Q1_Q12,9.5,8,0.00014037724640954643
strong,Q1_Q12,9.5,9,0.003823912080979655
strong,Q1_Q12,9.5,10,0.05749282068975989
strong,Q1_Q12,9.5,11,0.37580089281190887
strong,Q1_Q12,9.5,12,0.5627386820837685
strong,Q1_Q12,10.0,1,0.5442562284012868
strong,Q1_Q12,10.0,2,0.38811225636126473
strong,Q1_Q12,10.0,3,0.06301659161161609
strong,Q1_Q12,10.0,4,0.004435472038136286
strong,Q1_Q12,10.0,5,0.0001749360776626363
strong,Q1_Q12,10.0,6,4.5321956613914e-06
strong,Q1_Q12,10.0,7,5.4335501943300145e-06
strong,Q1_Q12,10.0,8,0.00020731018624967038
strong,Q1_Q12,10.0,9,0.005075343016704259
strong,Q1_Q12,10.0,10,0.0684324030314461
strong,Q1_Q12,10.0,11,0.3993428094820629
strong,Q1_Q12,10.0,12,0.5269366840477147
strong,Q1_Q12,10.5,1,0.509390911101497
strong,Q1_Q12,10.5,2,0.4102968626494543
strong,Q1_Q12,10.5,3,0.07425347502843672
strong,Q1_Q12,10.5,4,0.005798350736370775
strong,Q1_Q12,10.5,5,0.00025316205071458534
strong,Q1_Q12,10.5,6,7.267901243104241e-06
strong,Q1_Q12,10.5,7,8.702401314191628e-06
strong,Q1_Q12,10.5,8,0.0002997629667582577
strong,Q1_Q12,10.5,9,0.006627158849009876
strong,Q1_Q12,10.5,10,0.08050541220384669
strong,Q1_Q12,10.5,11,0.4212312455178342
strong,Q1_Q12,10.5,12,0.4913276885935198
strong,Q1_Q12,11.0,1,0.47480519057675846
strong,Q1_Q12,11.0,2,0.4307934429178506
strong,Q1_Q12,11.0,3,0.08656263714095608
strong,Q1_Q12,11.0,4,0.007467995861821862
strong,Q1_Q12,11.0,5,0.0003593996790953927
strong,Q1_Q12,11.0,6,1.1384424300590998e-05
strong,Q1_Q12,11.0,7,1.361351510787619e-05
strong,Q1_Q12,11.0,8,0.00042518311878813155
strong,Q1_Q12,11.0,9,0.008525053396101025
strong,Q1_Q12,11.0,10,0.09369160420956804
strong,Q1_Q12,11.0,11,0.44123092484267706
strong,Q1_Q12,11.0,12,0.45611357031697475
strong,Q1_Q12,11.5,1,0.4406821712191291
strong,Q1_Q12,11.5,2,0.4493943985072417
strong,Q1_Q12,11.5,3,0.09991703774251856
strong,Q1_Q12,11.5,4,0.009487702259705756
strong,Q1_Q12,11.5,5,0.0005013211401626239
strong,Q1_Q12,11.5,6,1.74538200333046e-05
strong,Q1_Q12,11.5,7,2.0842651206055017e-05
strong,Q1_Q12,11.5,8,0.0005925348569780573
strong,Q1_Q12,11.5,9,0.010816745325760616
strong,Q1_Q12,11.5,10,0.1079521398304803
strong,Q1_Q12,11.5,11,0.45913188806528327
strong,Q1_Q12,11.5,12,0.4214857645815003
strong,Q1_Q12,12.0,1,0.40719482199389034
strong,Q1_Q12,12.0,2,0.4659160950780746
strong,Q1_Q12,12.0,3,0.11427264189229948
strong,Q1_Q12,12.0,4,0.011902287470470686
strong,Q1_Q12,12.0,5,0.0006880552064812052
strong,Q1_Q12,12.0,6,2.6236801226173862e-05
strong,Q1_Q12,12.0,7,3.1286058957442225e-05
strong,Q1_Q12,12.0,8,0.0008124582924879433
strong,Q1_Q12,12.0,9,0.013551283839047157
strong,Q1_Q12,12.0,10,0.12322934545394534
strong,Q1_Q12,12.0,11,0.47475174962657885
strong,Q1_Q12,12.0,12,0.38762373828654006
strong,Q1_Q12,12.5,1,0.37450469104161743
strong,Q1_Q12,12.5,2,0.48020069794698245
strong,Q1_Q12,12.5,3,0.129568346965398
strong,Q1_Q12,12.5,4,0.014757432277565525
strong,Q1_Q12,12.5,5,0.0009303237087508634
strong,Q1_Q12,12.5,6,3.872951769664754e-05
