type,name,n,g_ori,bka_g_add,bka_g_tot,bka_t_tot,sabre_g_la,sabre_g_op,sabre_t1,sabre_t_op,ratio,delta_g,delta_g_ratio,qasm_path,qasm_n,qasm_g_ori,qasm_cx,qasm_depth,n_match,g_ori_match,actual_g_la,actual_g_op,actual_first_depth,actual_op_depth,all_compliant,g_la_match,g_op_match,status
small,4mod5-v1_22,5,21,15,36,0,6,0,0,0,N/A,15,100%,raw/benchmarks/table2/small/4mod5-v1_22.qasm,5,21,11,12,True,True,0,0,10,10,True,mismatch,exact,ran
small,mod5mils_65,5,35,18,53,0,12,0,0,0,N/A,18,100%,raw/benchmarks/table2/small/mod5mils_65.qasm,5,35,16,21,True,True,3,0,16,16,True,mismatch,exact,ran
small,alu-v0_27,5,36,33,69,0,30,3,0,0,N/A,30,91%,raw/benchmarks/table2/small/alu-v0_27.qasm,5,36,17,21,True,True,6,0,21,15,True,mismatch,mismatch,ran
small,decod24-v2_43,4,52,27,79,0,9,0,0,0,N/A,27,100%,raw/benchmarks/table2/small/decod24-v2_43.qasm,4,52,22,30,True,True,3,0,22,22,True,mismatch,exact,ran
small,4gt13_92,5,66,42,108,0,18,0,0,0,N/A,42,100%,raw/benchmarks/table2/small/4gt13_92.qasm,5,66,30,38,True,True,3,0,26,26,True,mismatch,exact,ran
sim,ising_model_10,10,480,18,498,1.37,39,0,0.003,0.004,342.5,18,100%,raw/benchmarks/table2/sim/ising_model_10.qasm,10,480,90,70,True,True,6,0,27,20,True,mismatch,exact,ran
sim,ising_model_13,13,633,60,693,42.46,66,0,0.005,0.007,6066,60,100%,raw/benchmarks/table2/sim/ising_model_13.qasm,13,633,120,71,True,True,15,0,27,20,True,mismatch,exact,ran
sim,ising_model_16,16,786,OOM,OOM,OOM,84,0,0.008,0.01,N/A,N/A,N/A,raw/benchmarks/table2/sim/ising_model_16.qasm,16,786,150,71,True,True,30,0,58,20,True,mismatch,exact,ran
qft,qft_10,10,200,66,266,0.22,93,54,0.004,0.103,2.136,12,18%,raw/benchmarks/table2/qft/qft_10.qasm,10,200,90,63,True,True,42,27,96,78,True,mismatch,mismatch,ran
qft,qft_13,13,403,177,580,266.27,204,93,0.015,0.036,7396,84,47%,raw/benchmarks/table2/qft/qft_13.qasm,13,403,156,94,True,True,96,63,144,134,True,mismatch,mismatch,ran
qft,qft_16,16,512,267,779,474.81,276,186,0.028,0.084,5652,81,30%,raw/benchmarks/table2/qft/qft_16.qasm,16,512,240,105,True,True,162,129,209,213,True,mismatch,mismatch,ran
qft,qft_20,20,970,OOM,OOM,OOM,429,372,0.034,0.102,N/A,N/A,N/A,raw/benchmarks/table2/qft/qft_20.qasm,20,970,380,150,True,True,294,255,379,282,True,mismatch,mismatch,ran
large,rd84_142,15,343,138,481,1.97,243,105,0.012,0.035,56.29,33,24%,raw/benchmarks/table2/large/rd84_142.qasm,15,343,154,110,True,True,114,72,146,148,True,mismatch,mismatch,ran
large,adr4_197,13,3439,1722,5161,4.53,2112,1614,0.19,0.49,9.245,108,6%,raw/benchmarks/table2/large/adr4_197.qasm,13,3439,1498,1839,True,True,948,1014,1987,2106,True,mismatch,mismatch,ran
large,radd_250,13,3213,1434,4647,2.23,1488,1275,0.16,0.48,4.646,159,11%,raw/benchmarks/table2/large/radd_250.qasm,13,3213,1405,1781,True,True,963,930,2000,1988,True,mismatch,mismatch,ran
large,z4_268,11,3073,1383,4456,1.15,1695,1365,0.15,0.44,2.614,18,1%,raw/benchmarks/table2/large/z4_268.qasm,11,3073,1343,1644,True,True,882,771,1808,1743,True,mismatch,mismatch,ran
large,sym6_145,14,3888,1806,5694,0.56,1650,1272,0.19,0.56,1.000,534,30%,raw/benchmarks/table2/large/sym6_145.qasm,7,3888,1701,2187,False,True,612,660,2062,2043,True,mismatch,mismatch,ran
large,misex1_241,15,4813,2097,6910,0.3,2904,1521,0.29,0.89,0.337,576,27%,raw/benchmarks/table2/large/misex1_241.qasm,15,4813,2100,2676,True,True,990,813,2622,2450,True,mismatch,mismatch,ran
large,rd73_252,10,5321,2160,7481,1.19,2391,2133,0.31,0.94,1.266,27,1%,raw/benchmarks/table2/large/rd73_252.qasm,10,5321,2319,2867,True,True,1590,1572,3304,3319,True,mismatch,mismatch,ran
large,cycle10_2_110,12,6050,2802,8852,1.31,2622,2622,0.44,1.35,0.970,180,6%,raw/benchmarks/table2/large/cycle10_2_110.qasm,12,6050,2648,3386,True,True,1689,1710,3759,3704,True,mismatch,mismatch,ran
large,square_root_7,15,7630,3132,10762,2.81,5049,2598,0.63,1.5,1.873,534,17%,raw/benchmarks/table2/large/square_root_7.qasm,15,7630,3089,3847,True,True,1680,1215,3688,3277,True,mismatch,mismatch,ran
large,sqn_258,10,10223,4737,14960,16.92,5934,4344,1.23,3.52,4.807,393,8%,raw/benchmarks/table2/large/sqn_258.qasm,10,10223,4459,5458,True,True,2883,3018,6074,6435,True,mismatch,mismatch,ran
large,rd84_253,12,13658,6483,20141,15.25,7668,6147,1.82,5.39,2.829,336,5%,raw/benchmarks/table2/large/rd84_253.qasm,12,13658,5960,7261,True,True,4338,4455,8449,8597,True,mismatch,mismatch,ran
large,co14_215,15,17936,9183,27119,18.37,10128,8982,3.18,9.51,1.932,201,2%,raw/benchmarks/table2/large/co14_215.qasm,15,17936,7840,8570,True,True,5028,5064,9862,9887,True,mismatch,mismatch,ran
large,sym9_193,10,34881,17496,52377,72.61,26355,16653,11.11,30.17,2.407,843,5%,raw/benchmarks/table2/large/sym9_193.qasm,11,34881,15232,19235,False,True,11169,12255,22095,22925,True,mismatch,mismatch,ran
large,9symml_195,11,34881,17496,52377,81.73,25368,17268,11.1,31.42,2.601,228,1%,raw/benchmarks/table2/large/9symml_195.qasm,11,34881,15232,19235,True,True,11169,12255,22095,22925,True,mismatch,mismatch,ran
