register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
2,0,,0;1,0,0.0,0.037499999999999964
2,0,0,1,1,0.0,0.00581841988790597
2,0,1,0,1,0.0,0.0058184198879059875
2,1,,0;1,0,0.0,0.03749999999999995
2,1,0,1,1,0.0,0.005166037077554688
2,1,1,0,1,0.0,0.0051660370775546876
2,2,,0;1,0,0.0,0.03749999999999986
2,2,0,1,1,0.0,0.012927757504550014
2,2,1,0,1,0.0,0.012927757504550049
3,0,,0;1;2,0,0.0,0.018749999999999958
3,0,0,1;2,1,0.013045219526913841,-0.013045219526913841
3,0,1,0;2,1,0.005869893410338477,-0.005869893410338477
3,0,2,0;1,1,0.003475808054635587,-0.003475808054635587
3,0,0;1,2,2,0.003475808054635598,-0.003475808054635598
3,0,0;2,1,2,0.005869893410338467,-0.005869893410338467
3,0,1;2,0,2,0.013045219526913805,-0.013045219526913805
3,1,,0;1;2,0,0.0,0.018749999999999947
3,1,0,1;2,1,0.0034588702868935685,-0.0034588702868935685
3,1,1,0;2,1,0.007507459917009116,-0.007507459917009116
3,1,2,0;1,1,0.00642432060194248,-0.00642432060194248
3,1,0;1,2,2,0.006424320601942417,-0.006424320601942417
3,1,0;2,1,2,0.00750745991700914,-0.00750745991700914
3,1,1;2,0,2,0.0034588702868935625,-0.0034588702868935625
3,2,,0;1;2,0,0.0,0.018749999999999958
3,2,0,1;2,1,0.002010544338386444,-0.002010544338386444
3,2,1,0;2,1,0.006879308866159141,-0.006879308866159141
3,2,2,0;1,1,0.006533812194747228,-0.006533812194747228
3,2,0;1,2,2,0.006533812194747168,-0.006533812194747168
3,2,0;2,1,2,0.006879308866159124,-0.006879308866159124
3,2,1;2,0,2,0.0020105443383864434,-0.0020105443383864434
4,0,,0;1;2;3,0,0.0,0.00937499999999997
4,0,0,1;2;3,1,0.004908085967884954,-0.0023739425129116407
4,0,1,0;2;3,1,0.007505176523582336,-0.004785752064404292
4,0,2,0;1;3,1,0.00711655343147987,-0.004937295874016843
4,0,3,0;1;2,1,0.007511096754000818,-0.004718918465975837
4,0,0;1,2;3,2,0.01007253653636831,-0.006354676437980913
4,0,0;2,1;3,2,0.008422778566321338,-0.006689689103960556
4,0,0;3,1;2,2,0.009494089485005333,-0.004654002034167576
4,0,1;2,0;3,2,0.009494089485005321,-0.004654002034167565
4,0,1;3,0;2,2,0.008422778566321294,-0.0066896891039605446
4,0,2;3,0;1,2,0.010072536536368262,-0.00635467643798092
4,0,0;1;2,3,3,0.0075110967540009035,-0.0047189184659759105
4,0,0;1;3,2,3,0.007116553431479884,-0.0049372958740168445
4,0,0;2;3,1,3,0.0075051765235823464,-0.004785752064404257
4,0,1;2;3,0,3,0.004908085967885038,-0.0023739425129117135
4,1,,0;1;2;3,0,0.0,0.009374999999999982
4,1,0,1;2;3,1,0.007316435271529708,-0.004124639363648879
4,1,1,0;2;3,1,0.007082231064714565,-0.0053070744643578666
4,1,2,0;1;3,1,0.01012422901350333,-0.005667787323748574
4,1,3,0;1;2,1,0.005885227405706083,-0.00450920743873999
4,1,0;1,2;3,2,0.010035038784957729,-0.006124941788006819
4,1,0;2,1;3,2,0.01031662373207537,-0.006297699005147731
4,1,0;3,1;2,2,0.011716968720805798,-0.0075558021487764256
4,1,1;2,0;3,2,0.011716968720805665,-0.0075558021487763145
4,1,1;3,0;2,2,0.01031662373207533,-0.0062976990051476734
4,1,2;3,0;1,2,0.010035038784957893,-0.006124941788006844
4,1,0;1;2,3,3,0.005885227405706064,-0.00450920743873997
4,1,0;1;3,2,3,0.010124229013503457,-0.00566778732374867
4,1,0;2;3,1,3,0.007082231064714594,-0.005307074464357887
4,1,1;2;3,0,3,0.007316435271529569,-0.004124639363648808
4,2,,0;1;2;3,0,0.0,0.009374999999999967
