all_local_basis_optimization_dimension,commutator_pairs,criterion_runtime_seconds,family,hilbert_dimension,local_dimension,max_commutator_norm,measured_subsystem,operator_schmidt_rank,parties,rank_witness_nonzero,state_kind,zero_discord
4,1,0.0004910419229418039,party_scaling,4,2,0.0,0,2,2,False,fully_classical_cat_mixture,True
4,1,0.0004910419229418039,party_scaling,4,2,0.0,1,2,2,False,fully_classical_cat_mixture,True
4,6,0.00022000004537403584,party_scaling,4,2,1.4142135623730945,0,4,2,True,ghz,False
4,6,0.00022000004537403584,party_scaling,4,2,1.4142135623730945,1,4,2,True,ghz,False
6,1,0.00021595810540020466,party_scaling,8,2,0.0,0,2,3,False,fully_classical_cat_mixture,True
6,1,0.00021595810540020466,party_scaling,8,2,0.0,1,2,3,False,fully_classical_cat_mixture,True
6,1,0.00021595810540020466,party_scaling,8,2,0.0,2,2,3,False,fully_classical_cat_mixture,True
6,6,0.0002513749059289694,party_scaling,8,2,1.4142135623730947,0,4,3,True,ghz,False
6,6,0.0002513749059289694,party_scaling,8,2,1.4142135623730947,1,4,3,True,ghz,False
6,6,0.0002513749059289694,party_scaling,8,2,1.4142135623730947,2,4,3,True,ghz,False
8,1,0.0003037910209968686,party_scaling,16,2,0.0,0,2,4,False,fully_classical_cat_mixture,True
8,1,0.0003037910209968686,party_scaling,16,2,0.0,1,2,4,False,fully_classical_cat_mixture,True
8,1,0.0003037910209968686,party_scaling,16,2,0.0,2,2,4,False,fully_classical_cat_mixture,True
8,1,0.0003037910209968686,party_scaling,16,2,0.0,3,2,4,False,fully_classical_cat_mixture,True
8,6,0.0007581670070067048,party_scaling,16,2,1.4142135623730947,0,4,4,True,ghz,False
8,6,0.0007581670070067048,party_scaling,16,2,1.4142135623730947,1,4,4,True,ghz,False
8,6,0.0007581670070067048,party_scaling,16,2,1.4142135623730947,2,4,4,True,ghz,False
8,6,0.0007581670070067048,party_scaling,16,2,1.4142135623730947,3,4,4,True,ghz,False
10,1,0.0007619590032845736,party_scaling,32,2,0.0,0,2,5,False,fully_classical_cat_mixture,True
10,1,0.0007619590032845736,party_scaling,32,2,0.0,1,2,5,False,fully_classical_cat_mixture,True
10,1,0.0007619590032845736,party_scaling,32,2,0.0,2,2,5,False,fully_classical_cat_mixture,True
10,1,0.0007619590032845736,party_scaling,32,2,0.0,3,2,5,False,fully_classical_cat_mixture,True
10,1,0.0007619590032845736,party_scaling,32,2,0.0,4,2,5,False,fully_classical_cat_mixture,True
10,6,0.0009587090462446213,party_scaling,32,2,1.4142135623730947,0,4,5,True,ghz,False
10,6,0.0009587090462446213,party_scaling,32,2,1.4142135623730947,1,4,5,True,ghz,False
10,6,0.0009587090462446213,party_scaling,32,2,1.4142135623730947,2,4,5,True,ghz,False
10,6,0.0009587090462446213,party_scaling,32,2,1.4142135623730947,3,4,5,True,ghz,False
10,6,0.0009587090462446213,party_scaling,32,2,1.4142135623730947,4,4,5,True,ghz,False
12,1,0.0011482919799163938,party_scaling,64,2,0.0,0,2,6,False,fully_classical_cat_mixture,True
12,1,0.0011482919799163938,party_scaling,64,2,0.0,1,2,6,False,fully_classical_cat_mixture,True
12,1,0.0011482919799163938,party_scaling,64,2,0.0,2,2,6,False,fully_classical_cat_mixture,True
12,1,0.0011482919799163938,party_scaling,64,2,0.0,3,2,6,False,fully_classical_cat_mixture,True
12,1,0.0011482919799163938,party_scaling,64,2,0.0,4,2,6,False,fully_classical_cat_mixture,True
12,1,0.0011482919799163938,party_scaling,64,2,0.0,5,2,6,False,fully_classical_cat_mixture,True
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,0,4,6,True,ghz,False
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,1,4,6,True,ghz,False
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,2,4,6,True,ghz,False
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,3,4,6,True,ghz,False
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,4,4,6,True,ghz,False
12,6,0.001199958031065762,party_scaling,64,2,1.4142135623730947,5,4,6,True,ghz,False
14,1,0.0036927920300513506,party_scaling,128,2,0.0,0,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,1,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,2,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,3,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,4,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,5,2,7,False,fully_classical_cat_mixture,True
14,1,0.0036927920300513506,party_scaling,128,2,0.0,6,2,7,False,fully_classical_cat_mixture,True
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,0,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,1,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,2,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,3,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,4,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,5,4,7,True,ghz,False
14,6,0.005043958080932498,party_scaling,128,2,1.4142135623730947,6,4,7,True,ghz,False
16,1,0.017907332978211343,party_scaling,256,2,0.0,0,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,1,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,2,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,3,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,4,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,5,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,6,2,8,False,fully_classical_cat_mixture,True
16,1,0.017907332978211343,party_scaling,256,2,0.0,7,2,8,False,fully_classical_cat_mixture,True
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,0,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,1,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,2,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,3,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,4,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,5,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,6,4,8,True,ghz,False
16,6,0.020286125014536083,party_scaling,256,2,1.4142135623730947,7,4,8,True,ghz,False
4,6,0.00018229195848107338,local_dimension_scaling,4,2,1.4142135623730945,0,4,2,True,maximally_entangled,False
4,6,0.00018229195848107338,local_dimension_scaling,4,2,1.4142135623730945,1,4,2,True,maximally_entangled,False
12,36,0.0005478750681504607,local_dimension_scaling,9,3,1.4142135623730947,0,9,2,True,maximally_entangled,False
12,36,0.0005478750681504607,local_dimension_scaling,9,3,1.4142135623730947,1,9,2,True,maximally_entangled,False
24,120,0.0014862079406157136,local_dimension_scaling,16,4,1.0737012885132577,0,16,2,True,maximally_entangled,False
24,120,0.0014862079406157136,local_dimension_scaling,16,4,1.0737012885132577,1,16,2,True,maximally_entangled,False
40,300,0.004235083004459739,local_dimension_scaling,25,5,1.1506469355409024,0,25,2,True,maximally_entangled,False
40,300,0.004235083004459739,local_dimension_scaling,25,5,1.1506469355409024,1,25,2,True,maximally_entangled,False
