quench,g0,g1,sites,correlation_distance,scaled_time,time,phase_shift_scaled,sigma_z_correlation,spin_z_correlation,absolute_spin_z_correlation,cluster_magnetization
g0_0.1_g1_2.5,0.1,2.5,256,48,0.016666666666666663,0.0,-0.016666666666666663,0.9974905699336912,0.2493726424834228,0.2493726424834228,0.4993722484113658
g0_0.1_g1_2.5,0.1,2.5,256,48,0.033333333333333326,0.023784828469387228,-0.016666666666666663,0.9941092452137017,0.24852731130342542,0.24852731130342542,0.49852513607984245
g0_0.1_g1_2.5,0.1,2.5,256,48,0.049999999999999996,0.047569656938774456,-0.016666666666666663,0.9840186998707088,0.2460046749676772,0.2460046749676772,0.49598858350538394
g0_0.1_g1_2.5,0.1,2.5,256,48,0.06666666666666667,0.07135448540816168,-0.016666666666666663,0.9673780128886313,0.24184450322215784,0.24184450322215784,0.4917768835784759
g0_0.1_g1_2.5,0.1,2.5,256,48,0.08333333333333333,0.09513931387754891,-0.016666666666666663,0.9444483324590307,0.23611208311475768,0.23611208311475768,0.4859136580862465
g0_0.1_g1_2.5,0.1,2.5,256,48,0.09999999999999999,0.11892414234693613,-0.016666666666666663,0.9155870437721463,0.22889676094303657,0.22889676094303657,0.4784315634895304
g0_0.1_g1_2.5,0.1,2.5,256,48,0.11666666666666667,0.14270897081632336,-0.016666666666666663,0.881239882494591,0.22030997062364774,0.22030997062364774,0.4693718894689452
g0_0.1_g1_2.5,0.1,2.5,256,48,0.13333333333333333,0.1664937992857106,-0.016666666666666663,0.8419312558267469,0.21048281395668672,0.21048281395668672,0.4587840602687573
g0_0.1_g1_2.5,0.1,2.5,256,48,0.15,0.19027862775509782,-0.016666666666666663,0.7982530852564159,0.19956327131410398,0.19956327131410398,0.446725051137838
g0_0.1_g1_2.5,0.1,2.5,256,48,0.16666666666666666,0.21406345622448505,-0.016666666666666663,0.7508525224280798,0.18771313060701994,0.18771313060701994,0.4332587340227776
g0_0.1_g1_2.5,0.1,2.5,256,48,0.18333333333333332,0.23784828469387226,-0.016666666666666663,0.7004189106725442,0.17510472766813606,0.17510472766813606,0.41845516805045685
g0_0.1_g1_2.5,0.1,2.5,256,48,0.19999999999999998,0.2616331131632595,-0.016666666666666663,0.6476703694126466,0.16191759235316164,0.16191759235316164,0.40238985120547166
g0_0.1_g1_2.5,0.1,2.5,256,48,0.21666666666666667,0.2854179416326467,-0.016666666666666663,0.59334036755189,0.1483350918879725,0.1483350918879725,0.38514294993933423
g0_0.1_g1_2.5,0.1,2.5,256,48,0.23333333333333334,0.30920277010203395,-0.016666666666666663,0.5381646266118236,0.1345411566529559,0.1345411566529559,0.3667985232426051
g0_0.1_g1_2.5,0.1,2.5,256,48,0.25,0.3329875985714212,-0.016666666666666663,0.48286865707296056,0.12071716426824014,0.12071716426824014,0.34744375698555896
g0_0.1_g1_2.5,0.1,2.5,256,48,0.26666666666666666,0.3567724270408084,-0.016666666666666663,0.4281561848895824,0.1070390462223956,0.1070390462223956,0.32716822312442817
g0_0.1_g1_2.5,0.1,2.5,256,48,0.2833333333333333,0.38055725551019565,-0.016666666666666663,0.3746986726085773,0.09367466815214433,0.09367466815214433,0.30606317673340633
g0_0.1_g1_2.5,0.1,2.5,256,48,0.3,0.4043420839795829,-0.016666666666666663,0.32312608413879224,0.08078152103469806,0.08078152103469806,0.2842209018258475
g0_0.1_g1_2.5,0.1,2.5,256,48,0.31666666666666665,0.4281269124489701,-0.016666666666666663,0.2740189870926086,0.06850474677315214,0.06850474677315214,0.2617341146529282
g0_0.1_g1_2.5,0.1,2.5,256,48,0.3333333333333333,0.4519117409183573,-0.016666666666666663,0.2279020345554417,0.056975508638860424,0.056975508638860424,0.23869543070377452
g0_0.1_g1_2.5,0.1,2.5,256,48,0.35,0.4756965693877445,-0.016666666666666663,0.1852388214825218,0.04630970537063045,0.04630970537063045,0.21519689907298956
g0_0.1_g1_2.5,0.1,2.5,256,48,0.36666666666666664,0.49948139785713175,-0.016666666666666663,0.14642807146522513,0.03660701786630628,0.03660701786630628,0.19132960530536378
g0_0.1_g1_2.5,0.1,2.5,256,48,0.3833333333333333,0.523266226326519,-0.016666666666666663,0.11180107852331539,0.027950269630828847,0.027950269630828847,0.16718334136758017
g0_0.1_g1_2.5,0.1,2.5,256,48,0.39999999999999997,0.5470510547959062,-0.016666666666666663,0.08162030640072745,0.020405076600181864,0.020405076600181864,0.14284633912068542
g0_0.1_g1_2.5,0.1,2.5,256,48,0.4166666666666667,0.5708358832652934,-0.016666666666666663,0.056079034500942586,0.014019758625235646,0.014019758625235646,0.11840506165378085
g0_0.1_g1_2.5,0.1,2.5,256,48,0.43333333333333335,0.5946207117346807,-0.016666666666666663,0.035301934480736666,0.008825483620184166,0.008825483620184166,0.09394404515552951
g0_0.1_g1_2.5,0.1,2.5,256,48,0.45,0.6184055402040679,-0.016666666666666663,0.019346463564265507,0.004836615891066377,0.004836615891066377,0.06954578269792049
g0_0.1_g1_2.5,0.1,2.5,256,48,0.4666666666666667,0.6421903686734551,-0.016666666666666663,0.00820496843968554,0.002051242109921385,0.002051242109921385,0.045290640422954775
g0_0.1_g1_2.5,0.1,2.5,256,48,0.48333333333333334,0.6659751971428424,-0.016666666666666663,0.001807405534701154,0.0004518513836752885,0.0004518513836752885,0.021256796176171246
g0_0.1_g1_2.5,0.1,2.5,256,48,0.5,0.6897600256122296,-0.016666666666666663,2.4597818175226237e-05,6.149454543806559e-06,6.149454543806559e-06,0.002479809376505896
g0_0.1_g1_2.5,0.1,2.5,256,48,0.5166666666666666,0.7135448540816168,-0.016666666666666663,0.0026719633466229325,0.0006679908366557331,0.0006679908366557331,0.025845518695815202
g0_0.1_g1_2.5,0.1,2.5,256,48,0.5333333333333332,0.737329682551004,-0.016666666666666663,0.009513665001641759,0.0023784162504104397,0.0023784162504104397,0.04876900911860359
g0_0.1_g1_2.5,0.1,2.5,256,48,0.55,0.7611145110203913,-0.016666666666666663,0.0202671429028364,0.0050667857257091,0.0050667857257091,0.07118135799286987
g0_0.1_g1_2.5,0.1,2.5,256,48,0.5666666666666667,0.7848993394897785,-0.016666666666666663,0.03460799977971322,0.008651999944928305,0.008651999944928305,0.09301612733783483
g0_0.1_g1_2.5,0.1,2.5,256,48,0.5833333333333333,0.8086841679591658,-0.016666666666666663,0.05217521443858605,0.013043803609646512,0.013043803609646512,0.11420947250402005
g0_0.1_g1_2.5,0.1,2.5,256,48,0.6000000000000001,0.832468996428553,-0.016666666666666663,0.07257665903200683,0.018144164758001707,0.018144164758001707,0.13470027749786453
g0_0.1_g1_2.5,0.1,2.5,256,48,0.6166666666666667,0.8562538248979402,-0.016666666666666663,0.09539489217021516,0.02384872304255379,0.02384872304255379,0.15443031775708352
g0_0.1_g1_2.5,0.1,2.5,256,48,0.6333333333333333,0.8800386533673275,-0.016666666666666663,0.12019319240651984,0.03004829810162996,0.03004829810162996,0.1733444492957013
g0_0.1_g1_2.5,0.1,2.5,256,48,0.6499999999999999,0.9038234818367146,-0.016666666666666663,0.14652178599954988,0.03663044649988747,0.03663044649988747,0.19139082135747124
