L,J_z,r_mean
6,0.010000000000,0.334142128256
6,0.016272506099,0.387230199600
6,0.026479445475,0.445644920970
6,0.043088693801,0.407481621717
6,0.070116103268,0.450551485152
6,0.114096471810,0.433994859972
6,0.185663553345,0.469768432946
6,0.302121130423,0.412049632102
6,0.491626793756,0.346867688370
6,0.800000000000,0.444532663122
8,0.010000000000,0.371064686262
8,0.016272506099,0.359000026338
8,0.026479445475,0.374373312776
8,0.043088693801,0.410866503997
8,0.070116103268,0.381364644348
8,0.114096471810,0.394740313692
8,0.185663553345,0.431929830958
8,0.302121130423,0.402942080139
8,0.491626793756,0.407820841040
8,0.800000000000,0.426568775223
