L,samples,J_z,epsilon,r_mean
6,36,0.020000000000,0.100000000000,0.379767250360
6,36,0.027968669890,0.100000000000,0.398141000496
6,36,0.039112324771,0.100000000000,0.398690398003
6,36,0.054695985007,0.100000000000,0.426854114043
6,36,0.076488697448,0.100000000000,0.425091555545
6,36,0.106964356462,0.100000000000,0.439240968233
6,36,0.149582538794,0.100000000000,0.420230906998
6,36,0.209181232441,0.100000000000,0.473547472151
6,36,0.292526041866,0.100000000000,0.440327828312
6,36,0.409078214957,0.100000000000,0.402941133735
6,36,0.572068677665,0.100000000000,0.389257294804
6,36,0.800000000000,0.100000000000,0.444040366275
8,12,0.020000000000,0.100000000000,0.418781616398
8,12,0.027968669890,0.100000000000,0.385545482373
8,12,0.039112324771,0.100000000000,0.398550410047
8,12,0.054695985007,0.100000000000,0.377289935413
8,12,0.076488697448,0.100000000000,0.399389158061
8,12,0.106964356462,0.100000000000,0.375556998629
8,12,0.149582538794,0.100000000000,0.396819029996
8,12,0.209181232441,0.100000000000,0.398103068721
8,12,0.292526041866,0.100000000000,0.409901182550
8,12,0.409078214957,0.100000000000,0.407596549656
8,12,0.572068677665,0.100000000000,0.417113286902
8,12,0.800000000000,0.100000000000,0.444080539137
10,2,0.020000000000,0.100000000000,0.340780512592
10,2,0.027968669890,0.100000000000,0.394594957196
10,2,0.039112324771,0.100000000000,0.434090736886
10,2,0.054695985007,0.100000000000,0.392096955699
10,2,0.076488697448,0.100000000000,0.367765962411
10,2,0.106964356462,0.100000000000,0.394309390552
10,2,0.149582538794,0.100000000000,0.362419582365
10,2,0.209181232441,0.100000000000,0.398377711145
10,2,0.292526041866,0.100000000000,0.415650076018
10,2,0.409078214957,0.100000000000,0.379408799525
10,2,0.572068677665,0.100000000000,0.411236068490
10,2,0.800000000000,0.100000000000,0.453190676407
