model,L,samples,J_z,epsilon,var_h,mean_h
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.007013121073,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.009836773436,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.013797296615,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.019352422327,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.027144176166,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.038073078774,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.053402222211,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.074903249984,0.004726912795,0.982248168555
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.105061112176,0.070390687155,0.847987063833
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.147361259946,0.095451565210,0.688206070952
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.206692471486,0.096883973339,0.464144155658
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.289911865471,0.160748963071,0.498123952034
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.406637402595,0.047774054031,0.277400833510
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.570359467420,0.038500276418,0.154906024547
long_range_alpha_1.5_iteration2,10,16,0.030000000000,0.800000000000,0.023821853489,0.128118922891
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.007013121073,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.009836773436,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.013797296615,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.019352422327,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.027144176166,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.038073078774,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.053402222211,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.074903249984,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.105061112176,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.147361259946,0.060264742315,0.869542970534
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.206692471486,0.140387727404,0.699824992820
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.289911865471,0.029236930984,0.251486003422
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.406637402595,0.137937591216,0.371211744804
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.570359467420,0.044249749116,0.133963904791
long_range_alpha_1.5_iteration2,10,16,0.050000000000,0.800000000000,0.004936709132,0.106894504548
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.007013121073,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.009836773436,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.013797296615,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.019352422327,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.027144176166,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.038073078774,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.053402222211,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.074903249984,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.105061112176,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.147361259946,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.206692471486,0.038415023975,0.920311162033
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.289911865471,0.128179242396,0.418540001255
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.406637402595,0.067981846560,0.291678193355
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.570359467420,0.029011532507,0.203519639901
long_range_alpha_1.5_iteration2,10,16,0.070000000000,0.800000000000,0.013241762100,0.096778699284
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.005000000000,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.007013121073,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.009836773436,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.013797296615,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.019352422327,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.027144176166,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.038073078774,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.053402222211,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.074903249984,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.105061112176,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.147361259946,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.206692471486,0.000000000000,1.000000000000
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.289911865471,0.132342707336,0.793926832298
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.406637402595,0.129181332102,0.448885034121
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.570359467420,0.029566717003,0.155455384974
long_range_alpha_1.5_iteration2,10,16,0.100000000000,0.800000000000,0.060655568328,0.142434341910
