series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,0,0,8,"40,80,160",reduced_scale
finite_N_8,0.10000000000000001,-0.054667351965614494,8,"40,80,160",reduced_scale
finite_N_8,0.20000000000000001,-0.1050002374721056,8,"40,80,160",reduced_scale
finite_N_8,0.30000000000000004,-0.14963757924699594,8,"40,80,160",reduced_scale
finite_N_8,0.40000000000000002,-0.18774828899350382,8,"40,80,160",reduced_scale
finite_N_8,0.5,-0.21898405629495812,8,"40,80,160",reduced_scale
finite_N_8,0.60000000000000009,-0.24339117822643466,8,"40,80,160",reduced_scale
finite_N_8,0.70000000000000007,-0.2613075121559022,8,"40,80,160",reduced_scale
finite_N_8,0.80000000000000004,-0.27326321032478906,8,"40,80,160",reduced_scale
finite_N_8,0.90000000000000002,-0.27989590827495103,8,"40,80,160",reduced_scale
finite_N_8,1,-0.28188458836688168,8,"40,80,160",reduced_scale
finite_N_8,1.1000000000000001,-0.27990206490088032,8,"40,80,160",reduced_scale
finite_N_8,1.2000000000000002,-0.27458372443311085,8,"40,80,160",reduced_scale
finite_N_8,1.3,-0.26650926022134974,8,"40,80,160",reduced_scale
finite_N_8,1.4000000000000001,-0.25619410946246052,8,"40,80,160",reduced_scale
finite_N_8,1.5,-0.24408770798335297,8,"40,80,160",reduced_scale
finite_N_8,1.6000000000000001,-0.23057624040888935,8,"40,80,160",reduced_scale
finite_N_8,1.7000000000000002,-0.2159881277322141,8,"40,80,160",reduced_scale
finite_N_8,1.8,-0.200600984612891,8,"40,80,160",reduced_scale
finite_N_8,1.9000000000000001,-0.18464917051223173,8,"40,80,160",reduced_scale
finite_N_8,2,-0.1683313523283412,8,"40,80,160",reduced_scale
finite_N_8,2.1000000000000001,-0.15181770343678,8,"40,80,160",reduced_scale
finite_N_8,2.2000000000000002,-0.13525650115318821,8,"40,80,160",reduced_scale
finite_N_8,2.3000000000000003,-0.11877996872515438,8,"40,80,160",reduced_scale
finite_N_8,2.4000000000000004,-0.1025092556822684,8,"40,80,160",reduced_scale
finite_N_8,2.5,-0.086558477137395173,8,"40,80,160",reduced_scale
finite_N_8,2.6000000000000001,-0.07103775181060365,8,"40,80,160",reduced_scale
finite_N_8,2.7000000000000002,-0.056055200504103578,8,"40,80,160",reduced_scale
finite_N_8,2.8000000000000003,-0.041717897919651276,8,"40,80,160",reduced_scale
finite_N_8,2.9000000000000004,-0.028131813033806033,8,"40,80,160",reduced_scale
finite_N_8,3,-0.015400824367237427,8,"40,80,160",reduced_scale
finite_N_8,3.1000000000000001,-0.0036249506582172533,8,"40,80,160",reduced_scale
finite_N_8,3.2000000000000002,0.0071020128855885847,8,"40,80,160",reduced_scale
finite_N_8,3.3000000000000003,0.016695224988238121,8,"40,80,160",reduced_scale
finite_N_8,3.4000000000000004,0.025081647963139671,8,"40,80,160",reduced_scale
finite_N_8,3.5,0.032202770669023592,8,"40,80,160",reduced_scale
finite_N_8,3.6000000000000001,0.038016981179635242,8,"40,80,160",reduced_scale
finite_N_8,3.7000000000000002,0.042501405798105983,8,"40,80,160",reduced_scale
finite_N_8,3.8000000000000003,0.045653083842532166,8,"40,80,160",reduced_scale
finite_N_8,3.9000000000000004,0.047489406640495724,8,"40,80,160",reduced_scale
finite_N_8,4,0.048047808009867049,8,"40,80,160",reduced_scale
finite_N_8,4.1000000000000005,0.047384746650311622,8,"40,80,160",reduced_scale
finite_N_8,4.2000000000000002,0.04557406425255859,8,"40,80,160",reduced_scale
finite_N_8,4.2999999999999998,0.042704834375854359,8,"40,80,160",reduced_scale
finite_N_8,4.4000000000000004,0.038878835524702934,8,"40,80,160",reduced_scale
finite_N_8,4.5,0.034207788043823566,8,"40,80,160",reduced_scale
finite_N_8,4.6000000000000005,0.028810490131734638,8,"40,80,160",reduced_scale
finite_N_8,4.7000000000000002,0.02280997574255432,8,"40,80,160",reduced_scale
finite_N_8,4.8000000000000007,0.016330798927403547,8,"40,80,160",reduced_scale
finite_N_8,4.9000000000000004,0.0094965277131621381,8,"40,80,160",reduced_scale
finite_N_8,5,0.0024275080923859479,8,"40,80,160",reduced_scale
finite_N_8,5.1000000000000005,-0.0047610631423636758,8,"40,80,160",reduced_scale
finite_N_8,5.2000000000000002,-0.011960737849264144,8,"40,80,160",reduced_scale
finite_N_8,5.3000000000000007,-0.019071086441573574,8,"40,80,160",reduced_scale
finite_N_8,5.4000000000000004,-0.02600065018247625,8,"40,80,160",reduced_scale
finite_N_8,5.5,-0.032667598186062456,8,"40,80,160",reduced_scale
finite_N_8,5.6000000000000005,-0.039000118560023958,8,"40,80,160",reduced_scale
finite_N_8,5.7000000000000002,-0.044936577292419594,8,"40,80,160",reduced_scale
finite_N_8,5.8000000000000007,-0.050425480112639323,8,"40,80,160",reduced_scale
finite_N_8,5.9000000000000004,-0.055425272114104931,8,"40,80,160",reduced_scale
finite_N_8,6,-0.059904007894670402,8,"40,80,160",reduced_scale
finite_N_8,6.1000000000000005,-0.063838921813981792,8,"40,80,160",reduced_scale
finite_N_8,6.2000000000000002,-0.067215924110853059,8,"40,80,160",reduced_scale
finite_N_8,6.3000000000000007,-0.070029044442147942,8,"40,80,160",reduced_scale
finite_N_8,6.4000000000000004,-0.072279840212787397,8,"40,80,160",reduced_scale
finite_N_8,6.5,-0.073976783116711048,8,"40,80,160",reduced_scale
finite_N_8,6.6000000000000005,-0.075134633790110095,8,"40,80,160",reduced_scale
finite_N_8,6.7000000000000002,-0.075773811518838996,8,"40,80,160",reduced_scale
finite_N_8,6.8000000000000007,-0.075919763611824287,8,"40,80,160",reduced_scale
finite_N_8,6.9000000000000004,-0.075602337369684747,8,"40,80,160",reduced_scale
finite_N_8,7,-0.074855156515797133,8,"40,80,160",reduced_scale
finite_N_8,7.1000000000000005,-0.073715003452166333,8,"40,80,160",reduced_scale
finite_N_8,7.2000000000000002,-0.072221208663735853,8,"40,80,160",reduced_scale
finite_N_8,7.3000000000000007,-0.070415048913488265,8,"40,80,160",reduced_scale
finite_N_8,7.4000000000000004,-0.068339156429956305,8,"40,80,160",reduced_scale
finite_N_8,7.5,-0.066036941972415969,8,"40,80,160",reduced_scale
finite_N_8,7.6000000000000005,-0.063552035359392495,8,"40,80,160",reduced_scale
finite_N_8,7.7000000000000002,-0.060927747670156823,8,"40,80,160",reduced_scale
finite_N_8,7.8000000000000007,-0.058206559802681072,8,"40,80,160",reduced_scale
finite_N_8,7.9000000000000004,-0.055429642342642797,8,"40,80,160",reduced_scale
finite_N_8,8,-0.052636411736302804,8,"40,80,160",reduced_scale
finite_N_8,8.0999999999999996,-0.049864127556413035,8,"40,80,160",reduced_scale
finite_N_8,8.2000000000000011,-0.047147535214612957,8,"40,80,160",reduced_scale
finite_N_8,8.3000000000000007,-0.044518557831518688,8,"40,80,160",reduced_scale
finite_N_8,8.4000000000000004,-0.042006040164106695,8,"40,80,160",reduced_scale
finite_N_8,8.5,-0.039635546553915033,8,"40,80,160",reduced_scale
finite_N_8,8.5999999999999996,-0.037429213847585463,8,"40,80,160",reduced_scale
finite_N_8,8.7000000000000011,-0.035405659201994871,8,"40,80,160",reduced_scale
finite_N_8,8.8000000000000007,-0.033579941665385957,8,"40,80,160",reduced_scale
finite_N_8,8.9000000000000004,-0.031963575463890968,8,"40,80,160",reduced_scale
finite_N_8,9,-0.030564592053086721,8,"40,80,160",reduced_scale
finite_N_8,9.0999999999999996,-0.029387647242249435,8,"40,80,160",reduced_scale
finite_N_8,9.2000000000000011,-0.02843416908208762,8,"40,80,160",reduced_scale
finite_N_8,9.3000000000000007,-0.027702541734253364,8,"40,80,160",reduced_scale
finite_N_8,9.4000000000000004,-0.027188320214847211,8,"40,80,160",reduced_scale
finite_N_8,9.5,-0.026884470720118691,8,"40,80,160",reduced_scale
finite_N_8,9.6000000000000014,-0.026781631191114329,8,"40,80,160",reduced_scale
finite_N_8,9.7000000000000011,-0.026868386841757998,8,"40,80,160",reduced_scale
finite_N_8,9.8000000000000007,-0.027131555545749194,8,"40,80,160",reduced_scale
finite_N_8,9.9000000000000004,-0.027556478234285722,8,"40,80,160",reduced_scale
finite_N_8,10,-0.028127309781125421,8,"40,80,160",reduced_scale
finite_N_8,10.100000000000001,-0.028827306226575502,8,"40,80,160",reduced_scale
finite_N_8,10.200000000000001,-0.02963910460151015,8,"40,80,160",reduced_scale
finite_N_8,10.300000000000001,-0.030544992042050148,8,"40,80,160",reduced_scale
finite_N_8,10.4,-0.031527161322679971,8,"40,80,160",reduced_scale
finite_N_8,10.5,-0.032567950370089804,8,"40,80,160",reduced_scale
finite_N_8,10.600000000000001,-0.033650063743810438,8,"40,80,160",reduced_scale
finite_N_8,10.700000000000001,-0.034756774476705179,8,"40,80,160",reduced_scale
finite_N_8,10.800000000000001,-0.035872105054348249,8,"40,80,160",reduced_scale
finite_N_8,10.9,-0.036980986674577727,8,"40,80,160",reduced_scale
finite_N_8,11,-0.038069396265616479,8,"40,80,160",reduced_scale
finite_N_8,11.100000000000001,-0.039124471052639595,8,"40,80,160",reduced_scale
finite_N_8,11.200000000000001,-0.040134600748692878,8,"40,80,160",reduced_scale
finite_N_8,11.300000000000001,-0.04108949770703052,8,"40,80,160",reduced_scale
finite_N_8,11.4,-0.041980245608991121,8,"40,80,160",reduced_scale
finite_N_8,11.5,-0.042799327475273298,8,"40,80,160",reduced_scale
finite_N_8,11.600000000000001,-0.043540633979582785,8,"40,80,160",reduced_scale
finite_N_8,11.700000000000001,-0.044199453212632259,8,"40,80,160",reduced_scale
finite_N_8,11.800000000000001,-0.044772443191722119,8,"40,80,160",reduced_scale
finite_N_8,11.9,-0.045257588536762094,8,"40,80,160",reduced_scale
