N,inverse_N,rank,minus_real_lambda_over_kappa,abs_imag_lambda_over_kappa,nu,parameter_match
6,0.16666666666666666,1,0.23934063947563483,1.7328938848107378e-16,0.16666666666666666,reduced_scale
6,0.16666666666666666,2,0.41402867334908905,1.1306117923806427,0.66666666666666663,reduced_scale
6,0.16666666666666666,3,0.41402867334909055,1.1306117923806434,1.5,reduced_scale
6,0.16666666666666666,4,0.63145305190225265,3.2189595296105306e-16,2.6666666666666665,reduced_scale
6,0.16666666666666666,5,0.77003595798754954,1.2347988733926674,4.166666666666667,reduced_scale
6,0.16666666666666666,6,0.77003595798755253,1.2347988733926798,6,reduced_scale
6,0.16666666666666666,7,1.149133285346879,2.5569638007482238,8.1666666666666661,reduced_scale
6,0.16666666666666666,8,1.1491332853468827,2.5569638007482323,10.666666666666666,reduced_scale
6,0.16666666666666666,9,1.1661464827373993,2.429093845694872e-15,13.5,reduced_scale
6,0.16666666666666666,10,1.2727664161645547,1.3352714493954108,16.666666666666668,reduced_scale
6,0.16666666666666666,11,1.272766416164558,1.3352714493954159,20.166666666666668,reduced_scale
6,0.16666666666666666,12,1.5858375431456813,2.7142792211673408,24,reduced_scale
6,0.16666666666666666,13,1.5858375431456995,2.7142792211673696,28.166666666666668,reduced_scale
6,0.16666666666666666,14,1.815471314391423,5.939243677671397e-15,32.666666666666664,reduced_scale
8,0.125,1,0.18323298250999062,1.0757081260904383e-15,0.125,reduced_scale
8,0.125,2,0.32736287300207056,1.113928725657694,0.5,reduced_scale
8,0.125,3,0.32736287300207767,1.1139287256577106,1.125,reduced_scale
8,0.125,4,0.49254061598673837,8.292482024620297e-16,2,reduced_scale
8,0.125,5,0.61351177884399144,1.1904212115759767,3.125,reduced_scale
8,0.125,6,0.61351177884399566,1.1904212115759853,4.5,reduced_scale
8,0.125,7,0.92294764873414115,6.4184662086176343e-15,6.125,reduced_scale
8,0.125,8,0.94213497060650164,2.4583743599111116,8,reduced_scale
8,0.125,9,0.94213497060650231,2.4583743599111241,10.125,reduced_scale
8,0.125,10,1.0185542958152525,1.2688467300773725,12.5,reduced_scale
8,0.125,11,1.0185542958152531,1.268846730077374,15.125,reduced_scale
8,0.125,12,1.2967523867946074,2.5806182904843999,18,reduced_scale
8,0.125,13,1.296752386794626,2.5806182904843991,21.125,reduced_scale
8,0.125,14,1.4520137601873473,3.8571873983237892e-15,24.5,reduced_scale
10,0.10000000000000001,1,0.14796187596619645,5.2832557766331872e-16,0.10000000000000001,reduced_scale
10,0.10000000000000001,2,0.27063708194505565,1.105392474448831,0.40000000000000002,reduced_scale
10,0.10000000000000001,3,0.2706370819450642,1.1053924744488781,0.90000000000000002,reduced_scale
10,0.10000000000000001,4,0.4030178444205581,2.72660346368987e-15,1.6000000000000001,reduced_scale
10,0.10000000000000001,5,0.5105538973375382,1.1639329071413902,2.5,reduced_scale
10,0.10000000000000001,6,0.51055389733754852,1.1639329071414106,3.6000000000000001,reduced_scale
10,0.10000000000000001,7,0.76355318998973498,2.3142522009758739e-16,4.9000000000000004,reduced_scale
10,0.10000000000000001,8,0.80227482186742993,2.3965351427379442,6.4000000000000004,reduced_scale
10,0.10000000000000001,9,0.80227482186745147,2.3965351427380193,8.0999999999999996,reduced_scale
10,0.10000000000000001,10,0.8509460168822427,1.2269259541818378,10,reduced_scale
10,0.10000000000000001,11,0.85094601688225446,1.2269259541818416,12.1,reduced_scale
10,0.10000000000000001,12,1.103213059567242,2.4952186136087424,14.4,reduced_scale
10,0.10000000000000001,13,1.103213059567254,2.4952186136087571,16.899999999999999,reduced_scale
10,0.10000000000000001,14,1.2116325351393908,6.4496509419777887e-15,19.600000000000001,reduced_scale
12,0.083333333333333329,1,0.12380991786259823,1.7415607259270438e-15,0.083333333333333329,reduced_scale
12,0.083333333333333329,2,0.23042608020851385,1.1008614791674658,0.33333333333333331,reduced_scale
12,0.083333333333333329,3,0.23042608020852134,1.100861479167484,0.75,reduced_scale
12,0.083333333333333329,4,0.34048319479642486,2.8439108575019583e-15,1.3333333333333333,reduced_scale
12,0.083333333333333329,5,0.4371595389865181,1.1470056147653749,2.0833333333333335,reduced_scale
12,0.083333333333333329,6,0.43715953898652316,1.1470056147653647,3,reduced_scale
12,0.083333333333333329,7,0.65053095937499739,2.4264697919072403e-16,4.083333333333333,reduced_scale
12,0.083333333333333329,8,0.69999595973601703,2.3547695844322796,5.333333333333333,reduced_scale
12,0.083333333333333329,9,0.69999595973602335,2.3547695844323124,6.75,reduced_scale
12,0.083333333333333329,10,0.73115452877474241,1.1986279383135638,8.3333333333333339,reduced_scale
12,0.083333333333333329,11,0.73115452877476672,1.1986279383136125,10.083333333333334,reduced_scale
12,0.083333333333333329,12,0.96258027561727399,2.4364816471304556,12,reduced_scale
12,0.083333333333333329,13,0.9625802756172841,2.4364816471305031,14.083333333333334,reduced_scale
12,0.083333333333333329,14,1.0395689030259079,3.5290749798141028e-15,16.333333333333332,reduced_scale
16,0.0625,1,0.093013581821814392,8.6447809393969555e-16,0.0625,reduced_scale
16,0.0625,2,0.1771030696892939,1.0973275147408816,0.25,reduced_scale
16,0.0625,3,0.17710306968931408,1.0973275147410004,0.5625,reduced_scale
16,0.0625,4,0.25901799671952874,2.3532531544128701e-15,1,reduced_scale
16,0.0625,5,0.33901862713461106,1.1278873036662018,1.5625,reduced_scale
16,0.0625,6,0.33901862713461767,1.1278873036661998,2.25,reduced_scale
16,0.0625,7,0.50067613827872859,9.7407229514543776e-15,3.0625,reduced_scale
16,0.0625,8,0.55861044030811757,2.3034622732218257,4,reduced_scale
16,0.0625,9,0.55861044030812435,2.3034622732218231,5.0625,reduced_scale
16,0.0625,10,0.5703074688184705,1.1641159310968656,6.25,reduced_scale
16,0.0625,11,0.57030746881847505,1.1641159310968752,7.5625,reduced_scale
16,0.0625,12,0.76923546117347319,2.3624120798610586,9,reduced_scale
16,0.0625,13,0.76923546117351682,2.3624120798612105,10.5625,reduced_scale
16,0.0625,14,0.8085145589289725,2.3783492119011901e-15,12.25,reduced_scale
20,0.050000000000000003,1,0.074305307172109217,1.7098060825474015e-15,0.050000000000000003,reduced_scale
20,0.050000000000000003,2,0.14338178613093266,1.0968855641296842,0.20000000000000001,reduced_scale
20,0.050000000000000003,3,0.14338178613094871,1.0968855641298145,0.45000000000000001,reduced_scale
20,0.050000000000000003,4,0.20846994925587931,1.2465688146445439e-15,0.80000000000000004,reduced_scale
20,0.050000000000000003,5,0.27627302904999707,1.1184204138260063,1.25,reduced_scale
20,0.050000000000000003,6,0.27627302905000278,1.1184204138260483,1.8,reduced_scale
20,0.050000000000000003,7,0.40592585958070482,3.9406496920172908e-15,2.4500000000000002,reduced_scale
20,0.050000000000000003,8,0.46454476643137854,2.2746182814374443,3.2000000000000002,reduced_scale
20,0.050000000000000003,9,0.46454476643139275,2.2746182814375047,4.0499999999999998,reduced_scale
20,0.050000000000000003,10,0.46684914589126303,1.1450022304263141,5,reduced_scale
20,0.050000000000000003,11,0.46684914589129434,1.1450022304263889,6.0499999999999998,reduced_scale
20,0.050000000000000003,12,0.64103412692334727,2.3191556750084645,7.2000000000000002,reduced_scale
20,0.050000000000000003,13,0.6410341269233869,2.3191556750086142,8.4499999999999993,reduced_scale
20,0.050000000000000003,14,0.66018704923871041,1.0879861141093162e-14,9.8000000000000007,reduced_scale
