N,omega0_over_kappa,lowest_imag_lambda_over_kappa,parameter_match,residual
8,0.20000000000000001,1.9779482859391808e-16,reduced_scale,1.4609478594607434e-09
8,0.30000000000000004,3.3483375497494112e-16,reduced_scale,1.7149031957211754e-09
8,0.40000000000000002,9.2287012785247757e-16,reduced_scale,1.0700372838464832e-09
8,0.5,3.4028018814086852e-16,reduced_scale,8.4731663537916029e-10
8,0.60000000000000009,2.0813782009013129e-15,reduced_scale,7.3888700643702739e-11
8,0.69999999999999996,0.095475851155711416,reduced_scale,3.9028304801269933e-11
8,0.80000000000000004,0.25080692458310011,reduced_scale,6.029391521918404e-14
8,0.90000000000000013,0.37635043338537416,reduced_scale,4.6925052492210744e-13
8,1,0.49947866542860619,reduced_scale,4.1154637263039182e-13
8,1.1000000000000001,0.62296696985756195,reduced_scale,3.073162362932823e-14
8,1.2,0.74667643910479631,reduced_scale,2.2465951280298566e-14
8,1.3,0.87003885206976495,reduced_scale,6.6882853455046119e-14
8,1.4000000000000001,0.99256438789639556,reduced_scale,4.6555157931597196e-14
8,1.5,1.1139287256576917,reduced_scale,7.6560803265905969e-14
8,1.6000000000000001,1.2339569300766187,reduced_scale,4.7230594416391297e-14
8,1.7,1.3525856628893576,reduced_scale,5.9141899793367327e-14
8,1.8,1.4698268303453759,reduced_scale,8.1572088994081065e-14
8,1.9000000000000001,1.5857387471858573,reduced_scale,2.541036268042296e-12
8,2,1.7004053357676134,reduced_scale,5.6575527387502387e-13
12,0.20000000000000001,1.8820946905899202e-15,reduced_scale,1.9287265579888237e-10
12,0.30000000000000004,1.8686993729364242e-15,reduced_scale,4.4591802183346073e-10
12,0.40000000000000002,1.0398271081539532e-15,reduced_scale,1.2370748273286359e-09
12,0.5,1.2098542389074061e-15,reduced_scale,9.4767394764380013e-10
12,0.60000000000000009,1.6585545292026246e-15,reduced_scale,1.4543023442856409e-09
12,0.69999999999999996,4.5971925110082427e-15,reduced_scale,5.0476257068421245e-12
12,0.80000000000000004,0.1775718039058059,reduced_scale,2.0441190543194239e-11
12,0.90000000000000013,0.31231921622540354,reduced_scale,5.8448765493493684e-13
12,1,0.44435077492592917,reduced_scale,1.8987801888312493e-12
12,1.1000000000000001,0.57777956059298408,reduced_scale,8.90321799206422e-13
12,1.2,0.71127093286145249,reduced_scale,7.2724140860563615e-12
12,1.3,0.84343169320858835,reduced_scale,6.3402054362295727e-14
12,1.4000000000000001,0.97341747311411664,reduced_scale,1.2668554028537934e-12
12,1.5,1.1008614791674356,reduced_scale,1.3523247083297319e-13
12,1.6000000000000001,1.2257131404772137,reduced_scale,9.7035607335090405e-13
12,1.7,1.3481005857885753,reduced_scale,1.9790453539685164e-12
12,1.8,1.4682361561873019,reduced_scale,1.7903234478591175e-13
12,1.9000000000000001,1.5863592820409314,reduced_scale,4.0822922435037173e-12
12,2,1.7027055679733141,reduced_scale,5.6822506887538191e-12
16,0.20000000000000001,2.4908674162071878e-15,reduced_scale,1.0577375539181949e-09
16,0.30000000000000004,6.574995734412647e-16,reduced_scale,6.3858155938280394e-10
16,0.40000000000000002,4.0143133724499351e-15,reduced_scale,6.5490075077792357e-10
16,0.5,2.6985855336920942e-15,reduced_scale,1.378814484561437e-09
16,0.60000000000000009,1.908524900760643e-15,reduced_scale,1.1822426814243938e-09
16,0.69999999999999996,1.0482538802428113e-15,reduced_scale,2.8369073199131957e-11
16,0.80000000000000004,0.12399794977147761,reduced_scale,6.9208682681428362e-14
16,0.90000000000000013,0.26866581770168829,reduced_scale,6.1390005542439567e-13
16,1,0.40846803795614622,reduced_scale,6.2288642099587832e-11
16,1.1000000000000001,0.55055992149188593,reduced_scale,1.0764177396032515e-11
16,1.2,0.69211986464415498,reduced_scale,6.1791383800963431e-12
16,1.3,0.8309665436001209,reduced_scale,8.1174244789687101e-13
16,1.4000000000000001,0.9661003846585523,reduced_scale,8.9921851640722186e-12
16,1.5,1.0973275147408741,reduced_scale,2.1581550025768714e-13
16,1.6000000000000001,1.224879596170944,reduced_scale,1.1027482847610586e-13
16,1.7,1.349160452181251,reduced_scale,1.7590159843086239e-13
16,1.8,1.4706079864199249,reduced_scale,2.156735639027285e-13
16,1.9000000000000001,1.5896311024589509,reduced_scale,3.33453421111491e-13
16,2,1.7065873220196912,reduced_scale,1.4707942659180315e-13
20,0.20000000000000001,1.1696247594833728e-15,reduced_scale,8.2626472895714412e-10
20,0.30000000000000004,2.1935032811569135e-15,reduced_scale,1.4028601612160388e-09
20,0.40000000000000002,2.2131247099208807e-15,reduced_scale,1.0658858755980684e-09
20,0.5,3.3361795099959475e-16,reduced_scale,1.2153753833376238e-09
20,0.60000000000000009,2.1648240870845101e-15,reduced_scale,1.3418658718651767e-09
