panel_id,trajectory_id,time,Q,P_over_pi,omega_0,kappa,omega_x,omega_z,parameter_match
S5a,0,0,-0.81999999999999995,-0.20000000000000001,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.125,-0.89600655660322848,-0.1883965116872193,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.25,-0.94807783037440085,-0.167134726981084,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.375,-0.97849555294175083,-0.12158547156363392,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.5,-0.99003584387144195,-0.016610118126404984,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.625,-0.98560179957124228,0.10795552875560908,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.75,-0.96797544762685539,0.16788841146206959,1.0,0.5,0.0,0.0,paper_subset
S5a,0,0.875,-0.93967387779617473,0.19460225604536222,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1,-0.90288381055012246,0.20876189088527217,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.125,-0.85944866658946006,0.21731895231325507,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.25,-0.81088693004407397,0.22296326448479825,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.375,-0.75842649955544683,0.22691653879709167,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.5,-0.70304500572769912,0.22980558568639814,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.625,-0.64551013685401948,0.2319825556201936,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.75,-0.58641679816474834,0.23365939162477625,1.0,0.5,0.0,0.0,paper_subset
S5a,0,1.875,-0.52621972558226959,0.23497061385181497,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2,-0.46526122981676543,0.23600520460702762,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.125,-0.40379432074875599,0.23682392540479169,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.25,-0.3420017390719593,0.23746924586160698,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.375,-0.28001151667854329,0.23797129022372657,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.5,-0.21790968697132265,0.238351521280838,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.625,-0.15575072785183464,0.23862507678548942,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.75,-0.09356625371905361,0.23880226454232636,1.0,0.5,0.0,0.0,paper_subset
S5a,0,2.875,-0.031372417335383485,0.23888950495576819,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3,0.030823573115974751,0.23888988596083469,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.125,0.093017451427527584,0.2388034209036195,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.25,0.15520206123638261,0.23862704975619317,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.375,0.21736135570658918,0.23835438342110701,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.5,0.27946388821890883,0.23797515189299198,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.625,0.34145541842789073,0.23747426567779428,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.75,0.40325023375945029,0.23683032635048051,1.0,0.5,0.0,0.0,paper_subset
S5a,0,3.875,0.46472072548239562,0.23601329981801564,1.0,0.5,0.0,0.0,paper_subset
S5a,0,4,0.52568469712643773,0.23498084701488064,1.0,0.5,0.0,0.0,paper_subset
S5a,0,4.125,0.58588983923631255,0.23367240380522655,1.0,0.5,0.0,0.0,paper_subset
S5a,0,4.25,0.64499472240737654,0.23199929798403171,1.0,0.5,0.0,0.0,paper_subset
S5a,0,4.375,0.70254571764096196,0.22982752129919645,1.0,0.5,0.0,0.0,paper_subset
