energy,z2_overlap_sq,is_tower_state
-16.8996966063,8.804e-08,1
-14.9313020337,1.330e-05,1
-14.7032874075,1.532e-06,0
-14.3465473714,4.331e-07,0
-13.9315360788,8.156e-08,0
-13.4804855239,3.049e-09,0
-13.0241770970,3.281e-09,0
-12.7745131355,3.135e-04,1
-12.5935410996,1.263e-08,0
-12.4795880141,9.775e-05,0
-12.2819708314,1.185e-05,0
-12.2303567592,4.027e-08,0
-12.2076447714,1.346e-08,0
-12.1698453785,2.642e-05,0
-12.0869283125,7.200e-08,0
-12.0129793078,2.837e-06,0
-11.9709756163,1.576e-08,0
-11.9322204234,1.395e-07,0
-11.8921709671,6.404e-07,0
-11.8670097676,5.842e-06,0
-11.7711270495,1.458e-07,0
-11.7367874430,8.120e-10,0
-11.6623467055,2.067e-08,0
-11.6253914954,1.081e-06,0
-11.5753206195,9.768e-10,0
-11.5376367121,3.984e-07,0
-11.5259529553,1.217e-07,0
-11.4835003954,7.450e-08,0
-11.4534762649,1.448e-09,0
-11.4288636420,3.250e-10,0
-11.3990698129,1.148e-12,0
-11.3848519108,1.606e-10,0
-11.3264626901,8.658e-10,0
-11.3148719144,6.496e-10,0
-11.2608775930,6.771e-10,0
-11.2565072408,1.207e-07,0
-11.2076448049,2.129e-09,0
-11.1901000657,1.546e-09,0
-11.1620084378,8.684e-08,0
-11.1344574625,9.183e-11,0
-11.0696099198,1.743e-10,0
-10.9766691837,7.141e-11,0
-10.8985068000,3.896e-08,0
-10.8966734829,1.277e-11,0
-10.8823553207,2.870e-10,0
-10.8748029981,7.048e-09,0
-10.8342586971,3.576e-10,0
-10.8281430758,6.171e-09,0
-10.7635578895,7.735e-07,0
-10.7314104451,4.903e-12,0
-10.6794008666,6.535e-10,0
-10.6067710246,5.925e-14,0
-10.5013963547,1.629e-09,0
-10.4955694779,6.639e-09,0
-10.4890666996,1.498e-07,0
-10.4642151193,3.792e-09,0
-10.4411467607,5.955e-07,0
-10.4154688292,3.328e-03,1
-10.3675150116,6.749e-07,0
-10.3561457817,6.219e-09,0
-10.2901221050,9.228e-11,0
-10.1992929595,6.351e-12,0
-10.1577089349,1.076e-03,0
-10.1294886552,6.329e-09,0
-10.1197029162,7.882e-08,0
-10.1148205302,2.503e-10,0
-10.1135846411,4.433e-10,0
-10.1086659946,4.263e-10,0
-10.0987526335,1.105e-09,0
-10.0904461490,1.296e-08,0
-10.0887597359,2.484e-11,0
-10.0750617748,6.225e-08,0
-10.0496592643,6.137e-10,0
-10.0317986400,1.040e-06,0
-9.9920429157,1.636e-08,0
-9.9720795750,2.988e-06,0
-9.9556227499,2.685e-04,0
-9.9155272735,5.862e-07,0
-9.8793732817,1.087e-04,0
-9.8772337354,2.768e-04,0
-9.8603528179,6.678e-05,0
-9.8561473470,1.288e-06,0
-9.8248520364,2.409e-05,0
-9.8218567021,2.458e-05,0
-9.7972482478,4.764e-07,0
-9.7887704815,1.965e-07,0
-9.7788205719,1.316e-09,0
-9.7764640002,4.595e-08,0
-9.7716119655,1.010e-07,0
-9.7518658887,3.374e-08,0
-9.7427484534,8.868e-08,0
-9.7348518767,1.083e-08,0
-9.7302397495,4.841e-06,0
-9.7242946019,4.051e-05,0
-9.7171780343,2.691e-08,0
-9.7100005420,1.254e-09,0
-9.7046970798,3.165e-08,0
-9.6784080233,9.864e-10,0
-9.6681907094,7.000e-07,0
-9.6211415346,1.954e-07,0
-9.6207289673,2.167e-06,0
-9.6149921052,9.286e-05,0
-9.5855592880,1.900e-05,0
-9.5677364990,2.339e-07,0
-9.5593572902,1.647e-06,0
-9.5372322074,1.241e-06,0
-9.5294886336,1.469e-12,0
-9.5234755794,2.246e-07,0
-9.5219811712,3.063e-07,0
-9.5080753837,1.042e-09,0
-9.4932078534,2.472e-10,0
-9.4735355951,1.397e-08,0
-9.4512443818,3.170e-08,0
-9.4477437797,2.497e-08,0
-9.4432411329,5.782e-09,0
-9.4318816558,2.907e-07,0
-9.4296757838,3.872e-09,0
-9.4247036985,5.961e-08,0
-9.4098115637,3.420e-08,0
-9.4047265454,5.935e-09,0
-9.4013721365,1.265e-08,0
-9.3861593333,1.027e-11,0
-9.3571509040,1.942e-09,0
-9.3452225420,2.625e-09,0
-9.3390920843,1.639e-05,0
-9.3314782955,4.379e-07,0
-9.3218351711,2.014e-08,0
-9.3196259153,3.003e-05,0
-9.2907350449,3.378e-08,0
-9.2898079715,2.399e-07,0
-9.2863355209,7.249e-07,0
-9.2727313229,4.639e-08,0
-9.2631589314,1.526e-10,0
-9.2562114564,4.211e-07,0
-9.2531823739,1.263e-07,0
-9.2446213780,2.816e-08,0
-9.2385764538,1.794e-07,0
-9.2285806887,3.483e-10,0
-9.2218401518,5.527e-06,0
-9.1851451426,1.431e-10,0
-9.1765507460,8.959e-11,0
-9.1433344888,4.567e-09,0
-9.1181495231,3.955e-08,0
-9.1165208227,2.536e-08,0
-9.1157526088,8.958e-09,0
-9.1085841933,5.552e-11,0
-9.1017306342,4.376e-09,0
-9.0915616866,6.575e-10,0
-9.0867049619,2.294e-09,0
-9.0754112227,5.101e-09,0
-9.0714635131,2.105e-09,0
-9.0675249780,8.744e-08,0
-9.0447735746,5.567e-06,0
-9.0409190621,1.829e-07,0
-9.0383187472,1.012e-10,0
-9.0320950498,7.788e-09,0
-9.0098075322,4.162e-09,0
-8.9939057127,1.637e-09,0
-8.9798381393,5.576e-08,0
-8.9697479682,5.071e-08,0
-8.9689260656,3.504e-08,0
-8.9685438230,2.237e-07,0
-8.9622324125,1.765e-09,0
-8.9449761847,9.449e-09,0
-8.9445353072,4.446e-14,0
-8.9385536843,3.688e-09,0
-8.9327910905,3.106e-09,0
-8.9311073322,3.304e-09,0
-8.9248386777,8.837e-09,0
-8.9196445681,5.178e-08,0
-8.9063948286,3.036e-09,0
-8.9005972251,5.171e-11,0
-8.8858466354,3.593e-10,0
-8.8804385288,2.941e-11,0
-8.8616524090,2.687e-10,0
-8.8306104191,6.935e-07,0
-8.8239949361,1.124e-10,0
-8.8167337846,1.732e-08,0
-8.8052850995,4.324e-07,0
-8.7979191663,2.843e-09,0
-8.7893097399,4.622e-08,0
-8.7886919310,6.675e-12,0
-8.7762574796,4.883e-08,0
-8.7754371858,3.321e-08,0
-8.7699689051,2.013e-09,0
-8.7607077748,2.372e-09,0
-8.7567183720,6.332e-07,0
-8.7530437742,5.822e-07,0
-8.7505616972,1.875e-07,0
-8.7472958253,4.350e-08,0
-8.7434016111,1.364e-08,0
