delta_n,particle_number,probability_numeric,entropy_numeric,probability_analytic,entropy_analytic
-5,4995,6.6754435323520629e-06,9.3124466178121115e-05,7.9653896606686209e-06,0.00011185034133921905
-4,4996,0.00035843482487108184,0.0035992603652298927,0.00038131136203054992,0.0038792834386241442
-3,4997,0.0076487672253139688,0.053985170720135679,0.0077268587475016427,0.055360553985307544
-2,4998,0.066500763299695842,0.33016549110372884,0.066279115878573908,0.33242412400176896
-1,4999,0.24087367554041567,0.89774282989472132,0.24065835658580073,0.89669662596723432
0,5000,0.3692232706291495,1.2250068514967702,0.36989264288926227,1.2192328890824886
1,5001,0.24087367554033506,0.89774282989453702,0.24065835658580073,0.89669662596723432
2,5002,0.066500763299651267,0.33016549110358018,0.066279115878573908,0.33242412400176896
3,5003,0.0076487672253062727,0.053985170720097113,0.0077268587475016427,0.055360553985307544
4,5004,0.00035843482487060675,0.0035992603652265369,0.00038131136203054992,0.0038792834386241442
5,5005,6.6754435323415241e-06,9.3124466178028009e-05,7.9653896606686209e-06,0.00011185034133921905
