target_id,series_id,gamma,m,region,source
T003,bloch_boundary_lower,0.0,2.0,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.0,2.0,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.0,2.0,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.0,2.0,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.01,1.985857864376269,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.01,2.014142135623731,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.01,2.0000999999999998,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.01,2.0000999999999998,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.02,1.9717157287525382,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.02,2.028284271247462,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.02,2.0004,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.02,2.0004,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.03,1.9575735931288072,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.03,2.042426406871193,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.03,2.0008999999999997,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.03,2.0008999999999997,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.04,1.9434314575050762,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.04,2.0565685424949236,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.04,2.0016,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.04,2.0016,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.05,1.9292893218813452,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.05,2.0707106781186546,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.05,2.0025000000000004,non_bloch_transition,analytic_non_bloch_low_energy
T003,source_numerical_boundary,0.05,2.0025000000000004,open_boundary_transition,supplement_disk_table_reference
T003,bloch_boundary_lower,0.06,1.9151471862576144,bloch_gap_closing,analytic_bloch_reference
T003,bloch_boundary_upper,0.06,2.0848528137423856,bloch_gap_closing,analytic_bloch_reference
T003,non_bloch_theory_boundary,0.06,2.0035999999999996,non_bloch_transition,analytic_non_bloch_low_energy
