target_id,series_id,parameter_set,eigen_index,energy_real,energy_imag,source
T004,fig2a_low_energy,fig2a,0,-0.4718204047426428,8.968388313082716e-16,independent_numerics
T004,fig2a_low_energy,fig2a,1,-0.46392479511026413,1.975761717986128e-16,independent_numerics
T004,fig2a_low_energy,fig2a,2,-0.46259536811571794,-2.0132701153225054e-16,independent_numerics
T004,fig2a_low_energy,fig2a,3,-0.41821044587760936,7.389180019772898e-16,independent_numerics
T004,fig2a_low_energy,fig2a,4,-0.4068811100430256,-4.300537038913271e-16,independent_numerics
T004,fig2a_low_energy,fig2a,5,-0.3725108590216527,1.0850132324905817e-16,independent_numerics
T004,fig2a_low_energy,fig2a,6,-0.37215793556398535,-1.604296544435973e-16,independent_numerics
T004,fig2a_low_energy,fig2a,7,-0.3409094309087906,-1.1421035430946434e-16,independent_numerics
T004,fig2a_low_energy,fig2a,8,-0.29533552379318506,-3.2706298177369837e-16,independent_numerics
T004,fig2a_low_energy,fig2a,9,-0.29083424693121734,-2.0336891725271877e-16,independent_numerics
T004,fig2a_low_energy,fig2a,10,-0.2367809139158102,1.8012111353268389e-16,independent_numerics
T004,fig2a_low_energy,fig2a,11,0.2367809139158093,1.0761136639167142e-16,independent_numerics
T004,fig2a_low_energy,fig2a,12,0.2908342469312204,2.3333553307638953e-16,independent_numerics
T004,fig2a_low_energy,fig2a,13,0.2953355237931819,1.400928042677291e-16,independent_numerics
T004,fig2a_low_energy,fig2a,14,0.34090943090879183,-1.5042933762563224e-16,independent_numerics
T004,fig2a_low_energy,fig2a,15,0.3721579355639867,-3.661172257189852e-16,independent_numerics
T004,fig2a_low_energy,fig2a,16,0.37251085902165376,1.5566890690431037e-16,independent_numerics
T004,fig2a_low_energy,fig2a,17,0.4068811100430226,-3.6176926378185035e-16,independent_numerics
T004,fig2a_low_energy,fig2a,18,0.41821044587761147,4.121847398648853e-16,independent_numerics
T004,fig2a_low_energy,fig2a,19,0.46259536811571544,1.7441140207499024e-16,independent_numerics
T004,fig2a_low_energy,fig2a,20,0.4639247951102644,-3.1453256809051355e-16,independent_numerics
T004,fig2a_low_energy,fig2a,21,0.471820404742645,2.2469815941585197e-16,independent_numerics
T004,fig2b_low_energy,fig2b,0,-0.3745903165382631,0.007972767866946333,independent_numerics
T004,fig2b_low_energy,fig2b,1,-0.37459031653823827,-0.007972767867017583,independent_numerics
T004,fig2b_low_energy,fig2b,2,-0.3309888174625685,-7.054179496100946e-14,independent_numerics
T004,fig2b_low_energy,fig2b,3,-0.3234631577177498,0.003361984005714291,independent_numerics
T004,fig2b_low_energy,fig2b,4,-0.3234631577177455,-0.003361984005651231,independent_numerics
T004,fig2b_low_energy,fig2b,5,-0.2790210028891767,-1.1555659013368989e-14,independent_numerics
T004,fig2b_low_energy,fig2b,6,-0.2697532705662785,1.9373508800969895e-14,independent_numerics
T004,fig2b_low_energy,fig2b,7,-0.21300126332551655,-5.523074912611393e-15,independent_numerics
T004,fig2b_low_energy,fig2b,8,-0.15553719653837078,2.6668640230635794e-15,independent_numerics
T004,fig2b_low_energy,fig2b,9,-0.0946404453905378,7.122455483966128e-16,independent_numerics
T004,fig2b_low_energy,fig2b,10,-0.0319511030593649,-4.3731598308376383e-16,independent_numerics
T004,fig2b_low_energy,fig2b,11,0.03195110305936515,3.9651370206148527e-16,independent_numerics
T004,fig2b_low_energy,fig2b,12,0.09464044539053376,6.426327660132384e-16,independent_numerics
T004,fig2b_low_energy,fig2b,13,0.15553719653838707,-4.5792587794036776e-15,independent_numerics
T004,fig2b_low_energy,fig2b,14,0.21300126332550534,7.818101104832139e-15,independent_numerics
T004,fig2b_low_energy,fig2b,15,0.26975327056623005,-3.6047471390305735e-14,independent_numerics
T004,fig2b_low_energy,fig2b,16,0.27902100288921045,4.664427664072316e-14,independent_numerics
T004,fig2b_low_energy,fig2b,17,0.32346315771784534,0.003361984005755603,independent_numerics
T004,fig2b_low_energy,fig2b,18,0.32346315771788475,-0.0033619840058070464,independent_numerics
T004,fig2b_low_energy,fig2b,19,0.33098881746232606,2.2801125696856267e-14,independent_numerics
T004,fig2b_low_energy,fig2b,20,0.3745903165381966,0.00797276786692024,independent_numerics
T004,fig2b_low_energy,fig2b,21,0.3745903165382269,-0.007972767866869374,independent_numerics
