panel,time,h_mean,sigma,gap,leading_modulus,protected_rank,residual,arnoldi_converged,elapsed_seconds,parameter_match
left,5,0,0,0,1,9,0,True,0.007732334,reduced_scale
left,5,0,0.10000000000000001,0.018862997561779671,0.98113700243822033,9,2.8959871848655254e-06,True,1.883756542,reduced_scale
left,5,0,0.20000000000000001,0.072647118372596631,0.92735288162740337,9,2.0951626583825253e-06,True,0.408050917,reduced_scale
left,5,0,0.29999999999999999,0.14996336637150987,0.85003663362849013,9,7.2369756676373352e-08,True,0.134913291,reduced_scale
left,5,0,0.40000000000000002,0.22636294626035769,0.77363705373964231,9,3.0985436836378675e-10,True,0.055254750,reduced_scale
left,5,0,0.5,0.27346391386387292,0.72653608613612708,9,3.9192223876628848e-10,True,0.027518709,reduced_scale
left,5,0,0.59999999999999998,0.2893234962280522,0.7106765037719478,9,4.256838012171304e-10,True,0.018131583,reduced_scale
left,5,0,0.69999999999999996,0.29244167928520681,0.70755832071479319,9,3.5322933708068977e-09,True,0.013446750,reduced_scale
left,5,0,0.80000000000000004,0.29285218965390347,0.70714781034609653,9,4.9682788929006064e-09,True,0.010899958,reduced_scale
left,6,0,0,0,1,15,0,True,0.006457958,reduced_scale
left,6,0,0.10000000000000001,0.0099501662508137967,0.9900498337491862,15,2.4088850397937998e-09,True,0.286179625,reduced_scale
left,6,0,0.20000000000000001,0.039210560847673159,0.96078943915232684,15,3.9062240728137487e-09,True,0.109067417,reduced_scale
left,6,0,0.29999999999999999,0.086068814728773813,0.91393118527122619,15,6.4580439407672985e-09,True,0.067245875,reduced_scale
left,6,0,0.40000000000000002,0.14785621103378421,0.85214378896621579,15,2.5846850418870004e-11,True,0.077226125,reduced_scale
left,6,0,0.5,0.20101155262017467,0.79898844737982533,15,9.5869423816877154e-13,True,0.083870083,reduced_scale
left,6,0,0.59999999999999998,0.2109696363804876,0.7890303636195124,15,4.4226563566665663e-08,True,0.051399208,reduced_scale
left,6,0,0.69999999999999996,0.21472155487305844,0.78527844512694156,15,6.7109269984513231e-12,True,0.058058375,reduced_scale
left,6,0,0.80000000000000004,0.21603293159686143,0.78396706840313857,15,1.1923537793659699e-14,True,0.063782375,reduced_scale
left,7,0,0,0,1,14,0,True,0.000764625,reduced_scale
left,7,0,0.10000000000000001,0.0099501662508267863,0.99004983374917321,14,5.9013614698988056e-15,True,9.192258042,reduced_scale
left,7,0,0.20000000000000001,0.039210560847673381,0.96078943915232662,14,7.410912607509252e-15,True,0.818692792,reduced_scale
left,7,0,0.29999999999999999,0.086068814728774257,0.91393118527122574,14,4.3574381835466313e-14,True,0.375609334,reduced_scale
left,7,0,0.40000000000000002,0.14785621103378266,0.85214378896621734,14,6.7858832952269726e-15,True,0.334195667,reduced_scale
left,7,0,0.5,0.22119921692859379,0.77880078307140621,14,4.7526028758761943e-15,True,0.315245708,reduced_scale
left,7,0,0.59999999999999998,0.2711497882638858,0.7288502117361142,14,1.6023160402525166e-14,True,0.860708000,reduced_scale
left,7,0,0.69999999999999996,0.2852618405742362,0.7147381594257638,14,7.2768225398930352e-08,True,0.682179334,reduced_scale
left,7,0,0.80000000000000004,0.29289260229696734,0.70710739770303266,14,2.392677364556858e-13,True,0.503959833,reduced_scale
left,8,0,0,0,1,18,0,True,0.021960250,reduced_scale
left,8,0,0.10000000000000001,0.0062490710218777723,0.99375092897812223,18,4.4937242716393057e-14,True,15.965818333,reduced_scale
left,8,0,0.20000000000000001,0.022436291557074273,0.97756370844292573,18,2.0467642440343926e-14,True,5.593142375,reduced_scale
left,8,0,0.29999999999999999,0.038440746097107348,0.96155925390289265,18,1.0774439441757661e-14,True,1.529191833,reduced_scale
left,8,0,0.40000000000000002,0.048278039943653206,0.95172196005634679,18,2.0813881519720052e-15,True,1.515667333,reduced_scale
left,8,0,0.5,0.053687190029402254,0.94631280997059775,18,2.4472495986044042e-15,True,1.035941667,reduced_scale
left,8,0,0.59999999999999998,0.056610531289516319,0.94338946871048368,18,3.5020011693480789e-15,True,0.991986625,reduced_scale
left,8,0,0.69999999999999996,0.057986438220909542,0.94201356177909046,18,1.8739298570698394e-15,True,0.902217125,reduced_scale
left,8,0,0.80000000000000004,0.058521913748353804,0.9414780862516462,18,5.5375256410666069e-15,True,0.871639208,reduced_scale
left,9,0,0,0,1,18,0,True,0.001382958,paper_exact
left,9,0,0.40000000000000002,0.21516332167193675,0.78483667832806325,18,4.550216032380435e-15,True,16.641693541,paper_exact
left,9,0,0.80000000000000004,0.23708489992823634,0.76291510007176366,18,2.0884351034933658e-14,True,11.386013958,paper_exact
