time,sigma_label,sigma,sff_mean,sff_sem,coe_paper_N,thermodynamic_prediction_L3,generated_L,paper_L,generated_realizations,paper_realizations,trace_estimator,probe_group_size,parameter_match
1,pi/20,0.15707963267948966,3.9287257434403799,2.09083204602006,1.7768564486857903,1,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
2,pi/20,0.15707963267948966,11.657186615667506,1.5709997917016334,3.1890697837836712,2,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
3,pi/20,0.15707963267948966,11.445419044384174,7.2357366001910304,4.321152636193732,5,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
4,pi/20,0.15707963267948966,16.182771779711583,1.5054000448841971,5.2274112777602184,7,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
5,pi/20,0.15707963267948966,1.4615582813492765,1.7756563377259671,5.9453489189183557,9,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
6,pi/20,0.15707963267948966,28.852871925579123,8.4256360345779573,6.5022556087550694,11,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
1,pi/10,0.31415926535897931,1.5019587260156324,1.9978339829581597,1.7768564486857903,1,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
2,pi/10,0.31415926535897931,9.5925876381949564,1.7546113829776224,3.1890697837836712,2,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
3,pi/10,0.31415926535897931,5.6850481312490375,1.1044691789630126,4.321152636193732,5,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
4,pi/10,0.31415926535897931,13.051178419075194,3.2086593388140701,5.2274112777602184,7,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
5,pi/10,0.31415926535897931,1.5763400595654158,1.8970133180302953,5.9453489189183557,9,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
6,pi/10,0.31415926535897931,19.148589768583999,9.5400724847315175,6.5022556087550694,11,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
1,100*pi,314.15926535897933,1.2863743120510913,0.61987068205311291,1.7768564486857903,1,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
2,100*pi,314.15926535897933,0.82178574491144973,1.3236223050534586,3.1890697837836712,2,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
3,100*pi,314.15926535897933,7.1939961560253636,4.1852932138578351,4.321152636193732,5,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
4,100*pi,314.15926535897933,5.0787485862924173,3.3392508157796423,5.2274112777602184,7,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
5,100*pi,314.15926535897933,3.9412378959262813,1.9070860862905188,5.9453489189183557,9,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
6,100*pi,314.15926535897933,4.1109722021075319,2.8800246531425815,6.5022556087550694,11,3,15,6,9490,independent_random_phase_cross,2,reduced_scale
