time,dihedral_rank,plus_one_multiplicity,minus_one_multiplicity,odd_spatial_L_contribution,operator_sector,parameter_match
2,2,2,0,2,dihedral_only,paper_exact
3,5,5,0,5,dihedral_only,paper_exact
4,7,7,0,7,dihedral_only,paper_exact
5,9,9,0,9,dihedral_only,paper_exact
6,12,13,2,11,short_time_exception,paper_exact
7,14,14,0,14,dihedral_only,paper_exact
8,16,18,0,18,short_time_exception,paper_exact
9,18,18,0,18,dihedral_only,paper_exact
10,20,22,2,20,short_time_exception,paper_exact
11,22,22,0,22,dihedral_only,paper_exact
12,24,25,0,25,generic_even_singlet,paper_exact
13,26,26,0,26,dihedral_only,paper_exact
14,28,29,0,29,generic_even_singlet,paper_exact
15,30,30,0,30,dihedral_only,paper_exact
16,32,33,0,33,generic_even_singlet,paper_exact
17,34,34,0,34,dihedral_only,paper_exact
