k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.0,-1,29.0,2e-15,12,1.0,-0.5075771768883085,0.0006864284142321632,1.0,0.10924941677592792,0.00428039951599034,0.0,0.10912630694973573,0.004270518422234,0.9993138071238553,0.9993167453117073,True,False,False,5.595269970852892e-17,2.915225990039273e-35,1.4123985836343572e-18,-1.7356592917534037e-28,0.0
0.01,-1,29.0,2e-15,12,0.99,-0.5075771768883085,0.0007150611953202024,1.0,0.10629389903160545,0.004030110606290846,0.0,0.10616841670204778,0.0040203703747410035,0.9992851944000106,0.999288076175718,True,False,False,2.7491122998668045e-17,0.0,5.815572522217559e-19,-1.3047516017734698e-32,0.0
0.02,-1,29.0,2e-15,12,0.98,-0.5075771768883085,0.0007455208146459237,1.0,0.10333999089602734,0.003788488548000615,0.0,0.10321208157399736,0.003778894397372799,0.9992547570169492,0.9992575814140178,True,False,False,9.597494164026061e-17,8.651638422052036e-36,1.5354149818079315e-18,-2.307524297755489e-28,0.0
0.03,-1,29.0,2e-15,12,0.97,-0.5075771768883085,0.0007779657999079521,1.0,0.10038858730416664,0.0035555015165839136,0.0,0.10025819514171706,0.0035460587067062026,0.9992223367370254,0.9992251027956068,True,False,False,5.678130256885396e-17,1.7115197747972506e-35,7.591143292775709e-19,-1.2944730941054658e-33,0.0
0.04,-1,29.0,2e-15,12,0.96,-0.5075771768883085,0.000812572225912338,1.0,0.0974406317097766,0.0033311114547922853,0.0,0.09730769946970866,0.00332182527966702,0.9991877578214969,0.9991904645901465,True,False,False,2.4283655540268418e-17,7.711242941394206e-36,1.0648526223782354e-18,-2.004254546739122e-28,0.0
0.05,-1,29.0,2e-15,12,0.95,-0.5075771768883085,0.0008495360937706012,1.0,0.09449711859893209,0.003115273846737974,0.0,0.094361587624335,0.0031061496268742594,0.9991508246598517,0.9991534711974265,True,False,False,9.202438672024052e-18,8.087401133657338e-36,1.1672639018193904e-18,-2.855254014277091e-28,0.0
0.06,-1,29.0,2e-15,12,0.94,-0.5075771768883085,0.0008890760944297502,1.0,0.09155909614384915,0.0029079374907198716,0.0,0.0914209063276727,0.0028989805646816667,0.9991113190166179,0.999113904394325,True,False,False,1.7924441333019086e-17,2.2945649728051052e-35,1.7012765925082846e-18,-5.0049801088600496e-39,0.0
0.07,-1,29.0,2e-15,12,0.9299999999999999,-0.5075771768883085,0.0009314368290181701,1.0,0.08862766900561274,0.0027090442715235704,0.0,0.08848675876036875,0.0027002599866347266,0.9990689968236146,0.9990715201272206,True,False,False,7.100566597795372e-17,6.58276836460481e-35,2.5169992527478846e-18,-2.6115403811184778e-33,0.0
0.08,-1,29.0,2e-15,12,0.9200000000000002,-0.5075771768883085,0.0009768925742079332,1.0,0.08570400129503154,0.002518528933020015,0.0,0.08556030752273294,0.002509922635163449,0.9990235844300029,0.9990260447622156,True,False,False,1.4209568121572732e-16,1.6550960459577808e-35,3.2341099408297804e-18,-1.3797153947818398e-32,0.0
0.09,-1,29.0,2e-15,12,0.9100000000000001,-0.5075771768883085,0.0010257517003818897,1.0,0.08278931970147098,0.0023363188520002915,0.0,0.08264277776392889,0.0023278958744445653,0.9989747742030627,0.9989771706860978,True,False,False,8.125525805658804e-17,5.679988703173293e-35,2.948457121282478e-18,-1.0344692824069294e-33,0.0
