target_id,case_title,direction,omega_khz,k,energy_basis,signed_fizeau_over_u,photon_number,energy_over_u,resonant_target
T008,(1) +: 1PB; k=2,1,58.0,2.0,paper_idealized_ratio,1.0,0,0.0,False
T008,(1) +: 1PB; k=2,1,58.0,2.0,paper_idealized_ratio,1.0,1,0.0,True
T008,(1) +: 1PB; k=2,1,58.0,2.0,paper_idealized_ratio,1.0,2,2.0,False
T008,(1) +: 1PB; k=2,1,58.0,2.0,paper_idealized_ratio,1.0,3,6.0,False
T008,(1) +: 1PB; k=2,1,58.0,2.0,paper_idealized_ratio,1.0,4,12.0,False
T008,(1) -: PIT (3PR); k=2,-1,58.0,2.0,paper_idealized_ratio,-1.0,0,-0.0,False
T008,(1) -: PIT (3PR); k=2,-1,58.0,2.0,paper_idealized_ratio,-1.0,1,-2.0,False
T008,(1) -: PIT (3PR); k=2,-1,58.0,2.0,paper_idealized_ratio,-1.0,2,-2.0,False
T008,(1) -: PIT (3PR); k=2,-1,58.0,2.0,paper_idealized_ratio,-1.0,3,0.0,True
T008,(1) -: PIT (3PR); k=2,-1,58.0,2.0,paper_idealized_ratio,-1.0,4,4.0,False
T008,(2) +: PIT (3PR); k=4,1,58.0,4.0,paper_idealized_ratio,1.0,0,-0.0,False
T008,(2) +: PIT (3PR); k=4,1,58.0,4.0,paper_idealized_ratio,1.0,1,-2.0,False
T008,(2) +: PIT (3PR); k=4,1,58.0,4.0,paper_idealized_ratio,1.0,2,-2.0,False
T008,(2) +: PIT (3PR); k=4,1,58.0,4.0,paper_idealized_ratio,1.0,3,0.0,True
T008,(2) +: PIT (3PR); k=4,1,58.0,4.0,paper_idealized_ratio,1.0,4,4.0,False
T008,(2) -: 1PB; k=0,-1,58.0,0.0,paper_idealized_ratio,-1.0,0,0.0,False
T008,(2) -: 1PB; k=0,-1,58.0,0.0,paper_idealized_ratio,-1.0,1,0.0,True
T008,(2) -: 1PB; k=0,-1,58.0,0.0,paper_idealized_ratio,-1.0,2,2.0,False
T008,(2) -: 1PB; k=0,-1,58.0,0.0,paper_idealized_ratio,-1.0,3,6.0,False
T008,(2) -: 1PB; k=0,-1,58.0,0.0,paper_idealized_ratio,-1.0,4,12.0,False
T008,(3) +: 2PB; k=3,1,58.0,3.0,paper_idealized_ratio,1.0,0,-0.0,False
T008,(3) +: 2PB; k=3,1,58.0,3.0,paper_idealized_ratio,1.0,1,-1.0,False
T008,(3) +: 2PB; k=3,1,58.0,3.0,paper_idealized_ratio,1.0,2,0.0,True
T008,(3) +: 2PB; k=3,1,58.0,3.0,paper_idealized_ratio,1.0,3,3.0,False
T008,(3) +: 2PB; k=3,1,58.0,3.0,paper_idealized_ratio,1.0,4,8.0,False
T008,(3) -: PIT (4PR); k=3,-1,58.0,3.0,paper_idealized_ratio,-1.0,0,-0.0,False
T008,(3) -: PIT (4PR); k=3,-1,58.0,3.0,paper_idealized_ratio,-1.0,1,-3.0,False
T008,(3) -: PIT (4PR); k=3,-1,58.0,3.0,paper_idealized_ratio,-1.0,2,-4.0,False
T008,(3) -: PIT (4PR); k=3,-1,58.0,3.0,paper_idealized_ratio,-1.0,3,-3.0,False
T008,(3) -: PIT (4PR); k=3,-1,58.0,3.0,paper_idealized_ratio,-1.0,4,0.0,True
T008,(4) +: PIT (4PR); k=5,1,58.0,5.0,paper_idealized_ratio,1.0,0,-0.0,False
T008,(4) +: PIT (4PR); k=5,1,58.0,5.0,paper_idealized_ratio,1.0,1,-3.0,False
T008,(4) +: PIT (4PR); k=5,1,58.0,5.0,paper_idealized_ratio,1.0,2,-4.0,False
T008,(4) +: PIT (4PR); k=5,1,58.0,5.0,paper_idealized_ratio,1.0,3,-3.0,False
T008,(4) +: PIT (4PR); k=5,1,58.0,5.0,paper_idealized_ratio,1.0,4,0.0,True
T008,(4) -: 2PB; k=1,-1,58.0,1.0,paper_idealized_ratio,-1.0,0,-0.0,False
T008,(4) -: 2PB; k=1,-1,58.0,1.0,paper_idealized_ratio,-1.0,1,-1.0,False
T008,(4) -: 2PB; k=1,-1,58.0,1.0,paper_idealized_ratio,-1.0,2,0.0,True
T008,(4) -: 2PB; k=1,-1,58.0,1.0,paper_idealized_ratio,-1.0,3,3.0,False
T008,(4) -: 2PB; k=1,-1,58.0,1.0,paper_idealized_ratio,-1.0,4,8.0,False
T008,(5) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,0,-0.0,False
T008,(5) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,1,-1.0,False
T008,(5) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,2,0.0,True
T008,(5) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,3,3.0,False
T008,(5) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,4,8.0,False
T008,(5) -: PIT (3PR); k=2.5,-1,29.0,2.5,paper_idealized_ratio,-0.5,0,-0.0,False
T008,(5) -: PIT (3PR); k=2.5,-1,29.0,2.5,paper_idealized_ratio,-0.5,1,-2.0,False
T008,(5) -: PIT (3PR); k=2.5,-1,29.0,2.5,paper_idealized_ratio,-0.5,2,-2.0,False
T008,(5) -: PIT (3PR); k=2.5,-1,29.0,2.5,paper_idealized_ratio,-0.5,3,0.0,True
T008,(5) -: PIT (3PR); k=2.5,-1,29.0,2.5,paper_idealized_ratio,-0.5,4,4.0,False
T008,(6) +: PIT (3PR); k=3.5,1,29.0,3.5,paper_idealized_ratio,0.5,0,-0.0,False
T008,(6) +: PIT (3PR); k=3.5,1,29.0,3.5,paper_idealized_ratio,0.5,1,-2.0,False
T008,(6) +: PIT (3PR); k=3.5,1,29.0,3.5,paper_idealized_ratio,0.5,2,-2.0,False
T008,(6) +: PIT (3PR); k=3.5,1,29.0,3.5,paper_idealized_ratio,0.5,3,0.0,True
T008,(6) +: PIT (3PR); k=3.5,1,29.0,3.5,paper_idealized_ratio,0.5,4,4.0,False
T008,(6) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,0,-0.0,False
T008,(6) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,1,-1.0,False
T008,(6) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,2,0.0,True
T008,(6) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,3,3.0,False
T008,(6) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,4,8.0,False
T008,(7) +: 1PB; k=1.5,1,29.0,1.5,paper_idealized_ratio,0.5,0,0.0,False
T008,(7) +: 1PB; k=1.5,1,29.0,1.5,paper_idealized_ratio,0.5,1,0.0,True
T008,(7) +: 1PB; k=1.5,1,29.0,1.5,paper_idealized_ratio,0.5,2,2.0,False
T008,(7) +: 1PB; k=1.5,1,29.0,1.5,paper_idealized_ratio,0.5,3,6.0,False
T008,(7) +: 1PB; k=1.5,1,29.0,1.5,paper_idealized_ratio,0.5,4,12.0,False
T008,(7) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,0,-0.0,False
T008,(7) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,1,-1.0,False
T008,(7) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,2,0.0,True
T008,(7) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,3,3.0,False
T008,(7) -: 2PB; k=1.5,-1,29.0,1.5,paper_idealized_ratio,-0.5,4,8.0,False
T008,(8) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,0,-0.0,False
T008,(8) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,1,-1.0,False
T008,(8) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,2,0.0,True
T008,(8) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,3,3.0,False
T008,(8) +: 2PB; k=2.5,1,29.0,2.5,paper_idealized_ratio,0.5,4,8.0,False
T008,(8) -: 1PB; k=0.5,-1,29.0,0.5,paper_idealized_ratio,-0.5,0,0.0,False
T008,(8) -: 1PB; k=0.5,-1,29.0,0.5,paper_idealized_ratio,-0.5,1,0.0,True
T008,(8) -: 1PB; k=0.5,-1,29.0,0.5,paper_idealized_ratio,-0.5,2,2.0,False
T008,(8) -: 1PB; k=0.5,-1,29.0,0.5,paper_idealized_ratio,-0.5,3,6.0,False
T008,(8) -: 1PB; k=0.5,-1,29.0,0.5,paper_idealized_ratio,-0.5,4,12.0,False
