probe_k,direction,omega_khz,input_power_w,photon_number,probability,poisson_probability,relative_poisson_deviation,mean_n,classification
1.0,0,0.0,3e-13,0,0.5001811329470358,0.6029542073123838,-0.17044922005511842,0.5059140265774815,1PB
1.0,0,0.0,3e-13,1,0.49373635727312265,0.30504299086324166,0.6185795840641914,0.5059140265774815,1PB
1.0,0,0.0,3e-13,2,0.006069868824285915,0.07716276389343024,-0.9213368143128073,0.5059140265774815,1PB
1.0,0,0.0,3e-13,3,1.2632169185852106e-05,0.0130125748610576,-0.999029233697348,0.5059140265774815,1PB
1.0,0,0.0,3e-13,4,8.783619515445205e-09,0.0016458110360246406,-0.9999946630449528,0.5059140265774815,1PB
2.0,0,0.0,3e-13,0,0.5017881218256433,0.5142210117596239,-0.024178105619286627,0.6651021219754478,2PB
2.0,0,0.0,3e-13,1,0.3326715329273886,0.34200948608568754,-0.027303199291844774,0.6651021219754478,2PB
2.0,0,0.0,3e-13,2,0.16419254945117737,0.11373561746566159,0.44363351700929965,0.6651021219754478,2PB
2.0,0,0.0,3e-13,3,0.0013456942064687494,0.025215266840199774,-0.946631768166603,0.6651021219754478,2PB
2.0,0,0.0,3e-13,4,2.100420616270951e-06,0.004192681870398504,-0.9994990269519135,0.6651021219754478,2PB
3.0,0,0.0,3e-13,0,0.9866322158664352,0.9816853593856391,0.005039146640520375,0.018484429926865664,PIT
3.0,0,0.0,3e-13,1,0.009275267400285387,0.018145894235793783,-0.4888503548097725,0.018484429926865664,PIT
3.0,0,0.0,3e-13,2,0.0030746218116121772,0.00016770825523092285,17.33315722817957,0.018484429926865664,PIT
3.0,0,0.0,3e-13,3,0.0010116685555274626,1.0333304973242985e-06,978.0367729850932,0.018484429926865664,PIT
3.0,0,0.0,3e-13,4,6.218597524755404e-06,4.775131292271061e-09,1301.2882815433181,0.018484429926865664,PIT
