k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.0,-1,0.0,2e-15,12,1.0,-0.0,0.00016694582073734681,1.0,0.2501729990182394,0.027819297171422647,0.0,0.2501219695204833,0.027807401064783042,0.9998330681139407,0.9998377124293393,True,False,False,8.214188859762799e-17,1.1754943508222875e-38,3.0103980910868825e-21,-4.301861249526246e-29,0.0
0.0125,-1,0.0,2e-15,12,0.9875,-0.0,0.0001711949364063161,1.0,0.24704130587547424,0.027013834907517537,0.0,0.24698925928671142,0.027001907762506727,0.9998288197166106,0.9998334443483597,True,False,False,3.15142305578041e-17,1.2812888423962934e-35,1.072620660383552e-18,-6.2344314428152595e-40,0.0
0.025,-1,0.0,2e-15,12,0.9750000000000001,-0.0,0.00017560830534098321,1.0,0.2438901577279335,0.026217925056802274,0.0,0.2438370689570407,0.026205969253995303,0.9998244071128949,0.9998290111982837,True,False,False,1.2280698437185138e-17,8.087401133657338e-36,7.202227460824526e-19,-4.131538186523762e-29,0.0
0.037500000000000006,-1,0.0,2e-15,12,0.9625000000000001,-0.0,0.00018019450058698373,1.0,0.24071957102559977,0.025431724241209066,0.0,0.24066541425240603,0.02541974226531493,0.999819821733467,0.9998244043903156,True,False,False,8.471538185631691e-17,7.393859466672188e-36,1.0233096330861992e-18,-4.852524936026812e-46,0.0
0.05,-1,0.0,2e-15,12,0.95,-0.0,0.0001849626616912928,1.0,0.2375295726549271,0.02465538905580373,0.0,0.23747432130631613,0.02464338349869362,0.9998150544428472,0.9998196147692321,True,False,False,3.959710069487276e-17,1.1637394073140646e-36,1.25615603607265e-19,-3.0858732238524207e-35,0.0
0.0625,-1,0.0,2e-15,12,0.9375,-0.0,0.000189922540206484,1.0,0.2343202006004292,0.02388907594167244,0.0,0.23426382732559833,0.023877049505445433,0.9998100954939374,0.9998146325679235,True,False,False,4.4849742194212363e-17,5.0428707650276134e-36,2.5388080150900307e-19,-1.8153993033790836e-29,0.0
0.07500000000000001,-1,0.0,2e-15,12,0.925,-0.0,0.00019508454951540417,1.0,0.2310915046447701,0.023132941051062728,0.0,0.23103398128961797,0.023120896551145145,0.9998049344782379,0.9998094473576219,True,False,False,9.074560356730224e-17,7.828792376476435e-36,5.559723550823688e-19,-8.478337928630983e-30,0.0
0.08750000000000001,-1,0.0,2e-15,12,0.9125000000000001,-0.0,0.00020045981945130163,1.0,0.22784354710970467,0.022387140104423275,0.0,0.22778484469031998,0.02237508047269792,0.9997995602712758,0.9998040479933392,True,False,False,4.39116276328195e-17,1.1102230246251565e-16,8.531475820699124e-19,-3.5294999803427484e-29,0.0
0.1,-1,0.0,2e-15,12,0.9000000000000001,-0.0,0.00020606025624802152,1.0,0.22457640364037595,0.02165182823897753,0.0,0.22451649231559276,0.021639756526935568,0.9997939609727085,0.9997984225539837,True,False,False,7.336984319054038e-17,6.394689268473244e-36,9.044521033227338e-19,-3.316835026984978e-29,0.0
0.1125,-1,0.0,2e-15,12,0.8875,-0.0,0.00021189860842283004,1.0,0.2212901640356285,0.020927159848448767,0.0,0.22122901307862017,0.020915079230359415,0.9997881238405016,0.9997925582765518,True,False,False,9.376117287872106e-17,4.678467516272704e-36,3.680779044927777e-19,-3.661380424589804e-45,0.0
