k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.0,-1,6.6,2e-15,12,1.0,-0.11551756439527022,0.00021334517537614585,1.0,0.220493998889692,0.020753833196731023,0.0,0.22043254397311426,0.02074175091833914,0.9997866775810874,0.9997911053112705,True,False,False,1.279170304334296e-16,1.1102230246251565e-16,5.391012540645469e-19,-2.7507441107416886e-29,0.0
0.01,-1,6.6,2e-15,12,0.99,-0.11551756439527022,0.00021824632922292506,1.0,0.21784767180615472,0.020183965478312638,0.0,0.21778519624175086,0.020171879095323104,0.9997817774847747,0.9997861825611495,True,False,False,3.0527421412884e-17,2.350988701644575e-37,6.416346191685214e-19,-3.1025362931616386e-59,0.0
0.02,-1,6.6,2e-15,12,0.98,-0.11551756439527022,0.000223318256625914,1.0,0.21518927070177893,0.01962110938626283,0.0,0.21512575360874303,0.019609021096875272,0.9997767066770399,0.9997810884289811,True,False,False,1.2795311961285715e-17,5.2191949176509565e-36,1.307877059134105e-18,-3.6339771737707505e-33,0.0
0.03,-1,6.6,2e-15,12,0.97,-0.11551756439527022,0.00022856898080700252,1.0,0.21251886555550095,0.019065342333242467,0.0,0.2124542855537948,0.01905325440330694,0.9997714571390924,0.9997758148849583,True,False,False,1.3373290720942903e-16,8.557598873986253e-36,5.889340403225699e-19,-1.0380294880032707e-29,0.0
0.04,-1,6.6,2e-15,12,0.96,-0.11551756439527022,0.00023400700153664567,1.0,0.20983653364595856,0.018516741138796696,0.0,0.2097708688430356,0.01850465590310884,0.9997660203759662,0.9997703534230383,True,False,False,3.4014439909952e-17,1.4576129950196365e-36,4.399105924506255e-19,-3.7545670377001964e-35,0.0
0.05,-1,6.6,2e-15,12,0.95,-0.11551756439527022,0.0002396413294913153,1.0,0.20714235990877114,0.01797538196129023,0.0,0.2070755878859349,0.01796330182487894,0.9997603873821985,0.9997646950266298,True,False,False,1.3217026980609773e-16,3.185589690728399e-35,1.5343581448261628e-18,-3.9837559098694254e-52,0.0
0.06,-1,6.6,2e-15,12,0.94,-0.11551756439527022,0.0002454815235345003,1.0,0.20443643731080213,0.017441340226906812,0.0,0.2043685351091856,0.017429267666309815,0.9997545486045893,0.9997588301313607,True,False,False,3.518659620014381e-17,1.88079096131566e-37,2.2764192700200895e-18,-4.0909719228035844e-29,0.0
0.07,-1,6.6,2e-15,12,0.9299999999999999,-0.11551756439527022,0.00025153773120891707,1.0,0.20171886724225385,0.016914690555615227,0.0,0.20164981134841484,0.016902628120140806,0.9997484939017538,0.9997527485846402,True,False,False,2.791869684295027e-17,1.0791038140548599e-35,4.2937780958479033e-19,-3.967144428087203e-34,0.0
0.08,-1,6.6,2e-15,12,0.9200000000000002,-0.11551756439527022,0.0002578207327598054,1.0,0.19898975992750395,0.01639550668400819,0.0,0.19891952625862477,0.01638345699697806,0.9997422125001492,0.9997464396016964,True,False,False,7.929704693255405e-17,2.174664549021232e-35,1.7439743998462786e-18,-6.702094020806849e-40,0.0
0.09,-1,6.6,2e-15,12,0.9100000000000001,-0.11551756439527022,0.0002643419890454705,1.0,0.19624923485563883,0.015883861384915182,0.0,0.19617779874431956,0.015871827144884817,0.9997356929462198,0.999739891717732,True,False,False,1.058141434611859e-16,1.2366200570650465e-35,1.7526563267366746e-18,-5.131779244759787e-29,0.0
0.1,-1,6.6,2e-15,12,0.9000000000000001,-0.11551756439527022,0.000271113693732138,1.0,0.19349742123168184,0.01537982638368948,0.0,0.19342475741032492,0.015367810365642755,0.9997289230542643,0.9997330927358041,True,False,False,2.011141662960349e-17,1.1943022604354441e-35,5.771867748975659e-19,-5.609431380487093e-29,0.0
0.11,-1,6.6,2e-15,12,0.89,-0.11551756439527022,0.0002781488302163712,1.0,0.19073445844959716,0.01488347227107325,0.0,0.19066054103436253,0.014871477327583999,0.9997218898495832,0.9997260296699849,True,False,False,9.652507548824129e-17,5.454293787815414e-36,2.0193715661553512e-19,-3.632638186277076e-29,0.0
0.12,-1,6.6,2e-15,12,0.88,-0.11551756439527022,0.0002854612337705572,1.0,0.18796049658816977,0.014394868412534493,0.0,0.18788529906250423,0.014382897474893314,0.9997145795064107,0.9997186886833077,True,False,False,1.2617348336898733e-16,3.573502826499754e-36,1.4727687623586823e-18,-2.808044983333593e-34,0.0
0.13,-1,6.6,2e-15,12,0.87,-0.11551756439527022,0.0002930656594661015,1.0,0.18517569693097002,0.013914082853981423,0.0,0.1850991921286894,0.013902138933278694,0.9997069772800795,0.999711055019947,True,False,False,1.0858040888039202e-16,1.1102230246251565e-16,1.4939959140664135e-18,-5.999838996358967e-29,0.0
0.14,-1,6.6,2e-15,12,0.86,-0.11551756439527022,0.00030097785649611965,1.0,0.18238023251163454,0.013441182223747085,0.0,0.1823023925995596,0.013429268411908791,0.9996990674327951,0.9997031129310096,True,False,False,3.845268413346092e-17,7.748858760620519e-35,2.609590914307472e-18,-1.282671603889021e-28,0.0
0.15,-1,6.6,2e-15,12,0.85,-0.11551756439527022,0.00030921464959563204,1.0,0.17957428868580286,0.012976231630747067,0.0,0.1794950851459341,0.012964351101515717,0.999690833152327,0.9996948455932437,True,False,False,1.379661739684691e-17,2.3086709050149727e-35,6.266819890178137e-19,-4.165486838244114e-29,0.0
0.16,-1,6.6,2e-15,12,0.84,-0.11551756439527022,0.00031779402834407696,1.0,0.1767580637311001,0.012519294558708165,0.0,0.1766774673423253,0.01250745056856193,0.9996822564628294,0.9996862350198792,True,False,False,9.388209536176086e-17,7.993361585591555e-36,6.118189313722028e-19,-1.5182408033206917e-33,0.0
0.17,-1,6.6,2e-15,12,0.83,-0.11551756439527022,0.00032673524523386315,1.0,0.17393176947664746,0.012070432756368137,0.0,0.1738497502959732,0.01205862864537105,0.9996733181269134,0.9996772619627201,True,False,False,8.195184954809816e-17,4.043700566828669e-36,3.6328582187906004e-18,-6.643528669394424e-34,0.0
0.18,-1,6.6,2e-15,12,0.8200000000000001,-0.11551756439527022,0.0003360589235016687,1.0,0.17109563196366753,0.011629706123549475,0.0,0.17101215930696484,0.011617945316123871,0.9996639975379734,0.9996679058044939,True,False,False,6.72929890195023e-17,8.990180795088855e-35,3.3942079819128912e-18,-4.7740670596782295e-29,0.0
0.19,-1,6.6,2e-15,12,0.81,-0.11551756439527022,0.00034578717584841505,1.0,0.1682498921388324,0.011197172593009572,0.0,0.16816493456109238,0.011185458598622411,0.9996542726016467,0.9996581444403352,True,False,False,2.097607061945831e-17,4.1847598889273435e-36,2.338243126806493e-19,-1.0814226050121057e-28,0.0
0.2,-1,6.6,2e-15,12,0.8,-0.11551756439527022,0.0003559437353219645,1.0,0.1653948065821136,0.010772888007974235,0.0,0.1653083318572028,0.010761224421727798,0.999644119605134,0.9996479541471318,True,False,False,1.2017712753604447e-16,3.385423730368188e-36,1.2471800578849155e-18,-1.8829190109539898e-29,0.0
0.21,-1,6.6,2e-15,12,0.79,-0.11551756439527022,0.00036655409980665323,1.0,0.16253064827098102,0.010356905995263831,0.0,0.16244262337089244,0.010345296498380577,0.9996335130729397,0.9996373094392935,True,False,False,1.886254679418858e-17,3.606416668322778e-35,1.3766585894502165e-18,-8.03304880578887e-29,0.0
0.22,-1,6.6,2e-15,12,0.78,-0.11551756439527022,0.00037764569175941014,1.0,0.15965770738291946,0.009949277833926299,0.0,0.15956809845650954,0.009937726194116267,0.9996224256073993,0.9996261829093094,True,False,False,5.97837217515178e-17,1.034435028723613e-36,1.2984861586676276e-19,-1.1757009602220756e-28,0.0
0.23,-1,6.6,2e-15,12,0.77,-0.11551756439527022,0.0003892480350577505,1.0,0.15677629213833286,0.009550052319293663,0.0,0.15668506448954467,0.009538562390993603,0.9996108277121302,0.9996145450512302,True,False,False,1.0972372611746365e-16,1.1102230246251565e-16,4.360160503999157e-19,-1.1143158759885798e-33,0.0
0.24,-1,6.6,2e-15,12,0.76,-0.11551756439527022,0.0004013929510854048,1.0,0.15388672968604736,0.009159275622388038,0.0,0.15379384775161029,0.009147851346858627,0.9995986875962878,0.9996023640649596,True,False,False,7.333432665518795e-17,1.0626468931433479e-35,9.346234255527921e-19,-1.1584096859493018e-28,0.0
0.25,-1,6.6,2e-15,12,0.75,-0.11551756439527022,0.00041411477648287484,1.0,0.15098936703373908,0.008776991144607033,0.0,0.15089479436034517,0.008765636549874844,0.9995859709572062,0.9995896056389323,True,False,False,9.119473294681585e-17,5.736412432012763e-35,3.129212681204869e-18,-1.519513996359658e-51,0.0
0.26,-1,6.6,2e-15,12,0.74,-0.11551756439527022,0.0004274506053399444,1.0,0.14808457202576378,0.008403239367627711,0.0,0.1479882712467172,0.008391958568257267,0.9995726407386546,0.9995762327084091,True,False,False,9.598258051530058e-17,1.9184067805419732e-35,7.830742409438778e-19,-9.732089800929498e-29,0.0
0.27,-1,6.6,2e-15,12,0.73,-0.11551756439527022,0.0004414405590137785,1.0,0.1451727343710086,0.00803805769847789,0.0,0.1450746671823486,0.0080268548951576,0.9995586568615341,0.999562205186218,True,False,False,7.97445246349032e-18,4.006084747602356e-35,2.150309424785699e-18,-3.240065596369118e-45,0.0
0.28,-1,6.6,2e-15,12,0.72,-0.11551756439527022,0.0004561280872300171,1.0,0.14225426672355065,0.00768148030973313,0.0,0.14215439385964695,0.007670359788658646,0.9995439759233713,0.9995474796622921,True,False,False,6.393677108117755e-17,2.3697966112577316e-35,8.82586299102798e-19,-1.0394213664788115e-33,0.0
0.29,-1,6.6,2e-15,12,0.71,-0.11551756439527022,0.0004715603046776247,1.0,0.13932960581907144,0.0073335379748120716,0.0,0.13922788702769512,0.007322504106848129,0.9995285508624082,0.99953200906781,True,False,False,2.4170994236891218e-17,4.6549576292562585e-35,1.4675483182162532e-18,-8.388574646624408e-29,0.0
0.3,-1,6.6,2e-15,12,0.7,-0.11551756439527022,0.00048778836795612516,1.0,0.13639921367015953,0.006994257898354697,0.0,0.13629560768703433,0.00698331513795643,0.9995123305814483,0.9995157422990936,True,False,False,6.790096531950551e-17,1.1102230246251565e-16,1.0180061417022575e-18,-1.9202928213628681e-28,0.0
0.31,-1,6.6,2e-15,12,0.69,-0.11551756439527022,0.0005048678984942731,1.0,0.1334635788238289,0.006663663541686395,0.0,0.13335804334666854,0.006652816425558684,0.9994952595258582,0.9994986237956667,True,False,False,9.123527999128906e-17,1.4952288142459497e-35,7.10877563568301e-19,-1.5193786695839976e-28,0.0
0.32,-1,6.6,2e-15,12,0.6799999999999999,-0.11551756439527022,0.0005228594579540868,1.0,0.13052321768478375,0.006341774443387478,0.0,0.13041570934682473,0.006331027588860158,0.9994772772092321,0.99948059306598,True,False,False,1.582953803500421e-17,3.507675142853706e-35,1.640664437926319e-18,-1.282149917288151e-34,0.0
0.33,-1,6.6,2e-15,12,0.6699999999999999,-0.11551756439527022,0.0005418290836900116,1.0,0.12757867590818492,0.006028606035010186,0.0,0.12746915025122435,0.006017964138104409,0.9994583176791799,0.9994615841532638,True,False,False,2.5674544823411836e-17,3.667542374565537e-36,7.078860606571783e-19,-1.830990037320876e-28,0.0
0.34,-1,6.6,2e-15,12,0.6599999999999999,-0.11551756439527022,0.0005618488930822999,1.0,0.12463052986590115,0.005724169452006993,0.0,0.1245189413128571,0.005713637285167312,0.999438308914451,0.9994415250327214,True,False,False,5.653922788533546e-17,2.943437854459008e-35,2.011302188902506e-18,-1.2497994421919862e-33,0.0
0.35000000000000003,-1,6.6,2e-15,12,0.6499999999999999,-0.11551756439527022,0.0005829977670460388,1.0,0.12167938819049019,0.005428471339962184,0.0,0.12156569001750064,0.005418053749426381,0.9994171721431314,0.999420336929801,True,False,False,1.409166821935192e-16,4.796016951354933e-35,1.3039744853467038e-18,-1.215547954112477e-28,0.0
0.36,-1,6.6,2e-15,12,0.64,-0.11551756439527022,0.0006053621247813626,1.0,0.11872589340141813,0.005141513656247998,0.0,0.11861003770949871,0.005131215559024615,0.9993948210699014,0.9993979335475329,True,False,False,1.0472922879510944e-16,8.971372885475698e-35,3.922041184646504e-18,-8.761407879636697e-34,0.0
0.37,-1,6.6,2e-15,12,0.63,-0.11551756439527022,0.0006290368039362582,1.0,0.11577072361830898,0.004863293467259085,0.0,0.1156526613045995,0.004853119847681538,0.999371160998237,0.9993742201888163,True,False,False,7.277181301612554e-17,5.454293787815414e-36,3.1206264349762873e-19,-2.5792968276181187e-28,0.0
