distance,control_qubit,target_qubit,context,circuit,count_0,count_1,shots
-1,0,1,before,{},1019,5,1024
-1,0,1,before,Gh,565,459,1024
-1,0,1,before,GhGs,576,448,1024
-1,0,1,before,GhGsGs,568,456,1024
-1,0,1,before,GsGh,592,432,1024
-1,0,1,before,GhGsGh,549,475,1024
-1,0,1,before,GhGh,1021,3,1024
-1,0,1,before,GhGhGsGh,565,459,1024
-1,0,1,before,GhGsGsGh,80,944,1024
-1,0,1,before,GhGsGhGsGh,1018,6,1024
-1,0,1,before,GhGsGsGsGh,544,480,1024
-1,0,1,before,GhGsGsGhGsGh,572,452,1024
-1,0,1,before,Gi,1017,7,1024
-1,0,1,before,GiGh,557,467,1024
-1,0,1,before,GiGsGh,552,472,1024
-1,0,1,before,GiGhGsGh,575,449,1024
-1,0,1,before,Gs,1020,4,1024
-1,0,1,before,GsGsGh,585,439,1024
-1,0,1,before,GsGhGsGh,543,481,1024
-1,0,1,before,GhGi,567,457,1024
-1,0,1,before,GhGiGh,1018,6,1024
-1,0,1,before,GhGiGsGh,577,447,1024
-1,0,1,before,GhGiGhGsGh,562,462,1024
-1,0,1,before,GhGhGh,553,471,1024
-1,0,1,before,GhGhGhGsGh,538,486,1024
-1,0,1,before,GhGsGi,581,443,1024
-1,0,1,before,GhGsGiGh,560,464,1024
-1,0,1,before,GhGsGiGsGh,94,930,1024
-1,0,1,before,GhGsGiGhGsGh,1017,7,1024
-1,0,1,before,GhGsGhGh,561,463,1024
-1,0,1,before,GhGsGhGhGsGh,107,917,1024
-1,0,1,before,GhGsGsGi,585,439,1024
-1,0,1,before,GhGsGsGiGh,110,914,1024
-1,0,1,before,GhGsGsGiGsGh,551,473,1024
-1,0,1,before,GhGsGsGiGhGsGh,540,484,1024
-1,0,1,before,GhGsGsGhGh,563,461,1024
-1,0,1,before,GhGsGsGhGhGsGh,506,518,1024
-1,0,1,before,GhGsGsGs,561,463,1024
-1,0,1,before,GhGsGsGsGsGh,1020,4,1024
-1,0,1,before,GhGsGsGsGhGsGh,81,943,1024
-1,0,1,during,{},1020,4,1024
-1,0,1,during,Gh,536,488,1024
-1,0,1,during,GhGs,552,472,1024
-1,0,1,during,GhGsGs,590,434,1024
-1,0,1,during,GsGh,567,457,1024
-1,0,1,during,GhGsGh,554,470,1024
-1,0,1,during,GhGh,1012,12,1024
-1,0,1,during,GhGhGsGh,549,475,1024
-1,0,1,during,GhGsGsGh,134,890,1024
-1,0,1,during,GhGsGhGsGh,993,31,1024
-1,0,1,during,GhGsGsGsGh,549,475,1024
-1,0,1,during,GhGsGsGhGsGh,562,462,1024
-1,0,1,during,Gi,1023,1,1024
-1,0,1,during,GiGh,541,483,1024
-1,0,1,during,GiGsGh,562,462,1024
-1,0,1,during,GiGhGsGh,548,476,1024
-1,0,1,during,Gs,1019,5,1024
-1,0,1,during,GsGsGh,543,481,1024
-1,0,1,during,GsGhGsGh,578,446,1024
-1,0,1,during,GhGi,566,458,1024
-1,0,1,during,GhGiGh,994,30,1024
-1,0,1,during,GhGiGsGh,526,498,1024
-1,0,1,during,GhGiGhGsGh,561,463,1024
-1,0,1,during,GhGhGh,563,461,1024
-1,0,1,during,GhGhGhGsGh,568,456,1024
-1,0,1,during,GhGsGi,602,422,1024
-1,0,1,during,GhGsGiGh,556,468,1024
-1,0,1,during,GhGsGiGsGh,117,907,1024
-1,0,1,during,GhGsGiGhGsGh,1000,24,1024
-1,0,1,during,GhGsGhGh,590,434,1024
-1,0,1,during,GhGsGhGhGsGh,138,886,1024
-1,0,1,during,GhGsGsGi,642,382,1024
-1,0,1,during,GhGsGsGiGh,156,868,1024
-1,0,1,during,GhGsGsGiGsGh,564,460,1024
-1,0,1,during,GhGsGsGiGhGsGh,551,473,1024
-1,0,1,during,GhGsGsGhGh,615,409,1024
-1,0,1,during,GhGsGsGhGhGsGh,580,444,1024
-1,0,1,during,GhGsGsGs,615,409,1024
-1,0,1,during,GhGsGsGsGsGh,971,53,1024
-1,0,1,during,GhGsGsGsGhGsGh,165,859,1024
-1,0,1,after,{},1016,8,1024
-1,0,1,after,Gh,567,457,1024
-1,0,1,after,GhGs,571,453,1024
-1,0,1,after,GhGsGs,577,447,1024
-1,0,1,after,GsGh,547,477,1024
-1,0,1,after,GhGsGh,570,454,1024
-1,0,1,after,GhGh,1022,2,1024
-1,0,1,after,GhGhGsGh,546,478,1024
-1,0,1,after,GhGsGsGh,88,936,1024
-1,0,1,after,GhGsGhGsGh,1020,4,1024
-1,0,1,after,GhGsGsGsGh,548,476,1024
-1,0,1,after,GhGsGsGhGsGh,528,496,1024
-1,0,1,after,Gi,1015,9,1024
-1,0,1,after,GiGh,575,449,1024
-1,0,1,after,GiGsGh,543,481,1024
-1,0,1,after,GiGhGsGh,549,475,1024
-1,0,1,after,Gs,1019,5,1024
-1,0,1,after,GsGsGh,559,465,1024
-1,0,1,after,GsGhGsGh,594,430,1024
-1,0,1,after,GhGi,553,471,1024
-1,0,1,after,GhGiGh,1018,6,1024
-1,0,1,after,GhGiGsGh,553,471,1024
-1,0,1,after,GhGiGhGsGh,541,483,1024
-1,0,1,after,GhGhGh,557,467,1024
-1,0,1,after,GhGhGhGsGh,549,475,1024
-1,0,1,after,GhGsGi,569,455,1024
-1,0,1,after,GhGsGiGh,543,481,1024
-1,0,1,after,GhGsGiGsGh,102,922,1024
-1,0,1,after,GhGsGiGhGsGh,1019,5,1024
-1,0,1,after,GhGsGhGh,547,477,1024
-1,0,1,after,GhGsGhGhGsGh,102,922,1024
-1,0,1,after,GhGsGsGi,560,464,1024
-1,0,1,after,GhGsGsGiGh,83,941,1024
-1,0,1,after,GhGsGsGiGsGh,533,491,1024
-1,0,1,after,GhGsGsGiGhGsGh,565,459,1024
-1,0,1,after,GhGsGsGhGh,550,474,1024
-1,0,1,after,GhGsGsGhGhGsGh,566,458,1024
-1,0,1,after,GhGsGsGs,543,481,1024
-1,0,1,after,GhGsGsGsGsGh,1017,7,1024
-1,0,1,after,GhGsGsGsGhGsGh,87,937,1024
1,3,14,before,{},1017,7,1024
1,3,14,before,Gh,557,467,1024
1,3,14,before,GhGs,555,469,1024
1,3,14,before,GhGsGs,518,506,1024
1,3,14,before,GsGh,547,477,1024
1,3,14,before,GhGsGh,519,505,1024
1,3,14,before,GhGh,1014,10,1024
1,3,14,before,GhGhGsGh,571,453,1024
1,3,14,before,GhGsGsGh,86,938,1024
1,3,14,before,GhGsGhGsGh,1018,6,1024
1,3,14,before,GhGsGsGsGh,533,491,1024
