campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
dynamics,L32,32,11,44,0.4,0,half_chain_entropy_density,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,1,half_chain_entropy_density,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,1,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,2,half_chain_entropy_density,0.06368371212121211,0.005292800810347403,0.001080388441295038,24
dynamics,L32,32,11,44,0.4,2,measurement_entropy_change,-3.8333333333333335,1.0494995356656043,0.21422819563905052,24
dynamics,L32,32,11,44,0.4,3,half_chain_entropy_density,0.06368371212121211,0.005292800810347403,0.001080388441295038,24
dynamics,L32,32,11,44,0.4,3,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,4,half_chain_entropy_density,0.1271306818181818,0.005248415952873108,0.0010713284202018565,24
dynamics,L32,32,11,44,0.4,4,measurement_entropy_change,-4.0,0.8846517369293828,0.18057877962865382,24
dynamics,L32,32,11,44,0.4,5,half_chain_entropy_density,0.12689393939393936,0.005472084231171323,0.0011169845163249775,24
dynamics,L32,32,11,44,0.4,5,measurement_entropy_change,-0.041666666666666664,0.20412414523193156,0.041666666666666685,24
dynamics,L32,32,11,44,0.4,6,half_chain_entropy_density,0.18726325757575757,0.007765101304506831,0.0015850446664218134,24
dynamics,L32,32,11,44,0.4,6,measurement_entropy_change,-4.083333333333333,1.0179547554081032,0.20778914433245899,24
dynamics,L32,32,11,44,0.4,7,half_chain_entropy_density,0.18726325757575757,0.007765101304506831,0.0015850446664218134,24
dynamics,L32,32,11,44,0.4,7,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,8,half_chain_entropy_density,0.25094696969696967,0.008970713986427084,0.0018311393245995615,24
dynamics,L32,32,11,44,0.4,8,measurement_entropy_change,-3.625,0.9237212077056678,0.18855380195552693,24
dynamics,L32,32,11,44,0.4,9,half_chain_entropy_density,0.25094696969696967,0.008970713986427084,0.0018311393245995615,24
dynamics,L32,32,11,44,0.4,9,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,10,half_chain_entropy_density,0.3117897727272727,0.007363048487000388,0.0015029759787102209,24
dynamics,L32,32,11,44,0.4,10,measurement_entropy_change,-4.083333333333333,1.0598058340078627,0.21633195997866927,24
dynamics,L32,32,11,44,0.4,11,half_chain_entropy_density,0.3117897727272727,0.007363048487000388,0.0015029759787102209,24
dynamics,L32,32,11,44,0.4,11,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,12,half_chain_entropy_density,0.37405303030303033,0.008321347231001166,0.0016985878907062133,24
dynamics,L32,32,11,44,0.4,12,measurement_entropy_change,-3.9166666666666665,1.2825472842090009,0.26179886810869746,24
dynamics,L32,32,11,44,0.4,13,half_chain_entropy_density,0.37405303030303033,0.008321347231001166,0.0016985878907062133,24
dynamics,L32,32,11,44,0.4,13,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,14,half_chain_entropy_density,0.43750000000000006,0.009624881293862717,0.0019646706670685345,24
dynamics,L32,32,11,44,0.4,14,measurement_entropy_change,-3.9583333333333335,0.8064504441319253,0.1646160075803408,24
dynamics,L32,32,11,44,0.4,15,half_chain_entropy_density,0.43750000000000006,0.009624881293862717,0.0019646706670685345,24
dynamics,L32,32,11,44,0.4,15,measurement_entropy_change,0.0,0.0,0.0,24
dynamics,L32,32,11,44,0.4,16,half_chain_entropy_density,0.49242424242424226,0.005963065543554569,0.0012172056570400594,24
dynamics,L32,32,11,44,0.4,16,measurement_entropy_change,-4.375,1.4688800821211287,0.2998338912111848,24
dynamics,L32,32,11,44,0.4,17,half_chain_entropy_density,0.4910037878787878,0.006250374285115766,0.0012758523083289007,24
dynamics,L32,32,11,44,0.4,17,measurement_entropy_change,-0.25,0.531609533071195,0.10851434153530391,24
dynamics,L32,32,11,44,0.4,18,half_chain_entropy_density,0.503314393939394,0.007843784678253989,0.0016011058428319165,24
dynamics,L32,32,11,44,0.4,18,measurement_entropy_change,-5.208333333333333,1.0206207261596574,0.20833333333333331,24
dynamics,L32,32,11,44,0.4,19,half_chain_entropy_density,0.4990530303030303,0.006193978777698129,0.0012643406235823547,24
dynamics,L32,32,11,44,0.4,19,measurement_entropy_change,-0.75,0.8469895538599198,0.17289101870203116,24
dynamics,L32,32,11,44,0.4,20,half_chain_entropy_density,0.503314393939394,0.00647104327955574,0.0013208961781981503,24
dynamics,L32,32,11,44,0.4,20,measurement_entropy_change,-5.458333333333333,1.0206207261596576,0.20833333333333337,24
dynamics,L32,32,11,44,0.4,21,half_chain_entropy_density,0.4976325757575757,0.007091972108759604,0.001447642744709253,24
dynamics,L32,32,11,44,0.4,21,measurement_entropy_change,-1.0,0.8340576562282991,0.17025130615174974,24
dynamics,L32,32,11,44,0.4,22,half_chain_entropy_density,0.5037878787878788,0.009278370237815067,0.0018939393939393938,24
dynamics,L32,32,11,44,0.4,22,measurement_entropy_change,-5.583333333333333,1.501207243656184,0.30643264542730253,24
dynamics,L32,32,11,44,0.4,23,half_chain_entropy_density,0.4973958333333333,0.009325524718577482,0.0019035647620188774,24
dynamics,L32,32,11,44,0.4,23,measurement_entropy_change,-1.125,1.034723235417589,0.21121199598123402,24
dynamics,L32,32,11,44,0.4,24,half_chain_entropy_density,0.5007102272727272,0.008261391839826597,0.0016863495477306583,24
dynamics,L32,32,11,44,0.4,24,measurement_entropy_change,-5.916666666666667,1.24818709114169,0.25478512306882845,24
dynamics,L32,32,11,44,0.4,25,half_chain_entropy_density,0.49644886363636354,0.008675750756319059,0.0017709302073789113,24
dynamics,L32,32,11,44,0.4,25,measurement_entropy_change,-0.75,0.8968544062928813,0.1830696390820258,24
dynamics,L32,32,11,44,0.4,26,half_chain_entropy_density,0.5028409090909091,0.0076779991442292835,0.0015672650124073043,24
dynamics,L32,32,11,44,0.4,26,measurement_entropy_change,-5.375,1.0959411282189109,0.22370804602220384,24
dynamics,L32,32,11,44,0.4,27,half_chain_entropy_density,0.4971590909090909,0.007303233942240363,0.0014907663858886437,24
dynamics,L32,32,11,44,0.4,27,measurement_entropy_change,-1.0,1.103354568734741,0.22522130823072545,24
dynamics,L32,32,11,44,0.4,28,half_chain_entropy_density,0.5033143939393939,0.009009745558657049,0.0018391066109180614,24
dynamics,L32,32,11,44,0.4,28,measurement_entropy_change,-5.25,0.7939992333804207,0.16207441482858728,24
dynamics,L32,32,11,44,0.4,29,half_chain_entropy_density,0.49881628787878785,0.007489056324830488,0.001528697220899814,24
dynamics,L32,32,11,44,0.4,29,measurement_entropy_change,-0.7916666666666666,0.8329709356935241,0.17002948025148282,24
