depth,depth_over_n,moment,estimate,standard_error,haar_value,samples
2,0.09090909090909091,1,0.65625,0.21387713196918712,1,64
2,0.09090909090909091,2,3.3125,1.4599268504723648,2,64
2,0.09090909090909091,3,20.625,11.288151798755456,6,64
2,0.09090909090909091,4,145.25,89.73562912756914,24,64
4,0.18181818181818182,1,1.234375,0.31397839778525155,1,64
4,0.18181818181818182,2,7.734375,4.198287289411543,2,64
4,0.18181818181818182,3,85.234375,64.652346928682,6,64
4,0.18181818181818182,4,1170.234375,1025.6073055074305,24,64
8,0.36363636363636365,1,1.125,0.1502313031443329,1,64
8,0.36363636363636365,2,2.6875,0.5716842805838435,2,64
8,0.36363636363636365,3,8.0625,2.3001331698852456,6,64
8,0.36363636363636365,4,27.8125,9.28112724385711,24,64
16,0.7272727272727273,1,1.171875,0.11036260468967235,1,64
16,0.7272727272727273,2,2.140625,0.36991739981851635,2,64
16,0.7272727272727273,3,4.828125,1.4037497062679025,6,64
16,0.7272727272727273,4,13.203125,5.563672726721931,24,64
32,1.4545454545454546,1,0.953125,0.11231176381691575,1,64
32,1.4545454545454546,2,1.703125,0.36844784331577735,2,64
32,1.4545454545454546,3,3.953125,1.407609296748095,6,64
32,1.4545454545454546,4,11.453125,5.585239976845966,24,64
44,2.0,1,1.140625,0.13338389573285456,1,64
44,2.0,2,2.421875,0.4837665789681913,2,64
44,2.0,3,6.484375,1.9161479872073994,6,64
44,2.0,4,20.609375,7.704475134425071,24,64
