panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
a,size_scaling,1,8,0.010000000000000009,,36.625,0.8323863636363636,,0.5583698213600007
d,probability_scan_and_collapse,1,8,0.010000000000000009,-0.6294378200752322,36.625,0.8323863636363636,33.067708333333336,0.5583698213600007
a,size_scaling,1,8,0.04500000000000001,,25.208333333333336,0.5729166666666667,,0.734645114805228
d,probability_scan_and_collapse,1,8,0.04500000000000001,-0.49334315627518205,25.208333333333336,0.5729166666666667,21.65104166666667,0.734645114805228
a,size_scaling,1,8,0.08000000000000002,,17.541666666666664,0.3986742424242424,,0.7637763012544838
d,probability_scan_and_collapse,1,8,0.08000000000000002,-0.35724849247513185,17.541666666666664,0.3986742424242424,13.984375,0.7637763012544838
a,size_scaling,1,8,0.11500000000000002,,10.625,0.24147727272727273,,0.9870295103141526
d,probability_scan_and_collapse,1,8,0.11500000000000002,-0.22115382867508165,10.625,0.24147727272727273,7.067708333333337,0.9870295103141526
a,size_scaling,1,8,0.15000000000000002,,5.458333333333333,0.12405303030303029,,0.7099219386614987
d,probability_scan_and_collapse,1,8,0.15000000000000002,-0.08505916487503148,5.458333333333333,0.12405303030303029,1.9010416666666696,0.7099219386614987
a,size_scaling,1,8,0.18500000000000003,,2.4166666666666665,0.054924242424242424,,0.5583698213600007
d,probability_scan_and_collapse,1,8,0.18500000000000003,0.0510354989250187,2.4166666666666665,0.054924242424242424,-1.140624999999997,0.5583698213600007
a,size_scaling,1,8,0.22000000000000003,,1.5,0.03409090909090909,,0.5583698213600007
d,probability_scan_and_collapse,1,8,0.22000000000000003,0.18713016272506888,1.5,0.03409090909090909,-2.0572916666666634,0.5583698213600007
a,size_scaling,1,8,0.255,,0.7916666666666667,0.017992424242424244,,0.5583698213600007
d,probability_scan_and_collapse,1,8,0.255,0.32322482652511897,0.7916666666666667,0.017992424242424244,-2.7656249999999964,0.5583698213600007
a,size_scaling,1,8,0.29000000000000004,,0.7083333333333333,0.016098484848484848,,0.5583698213600007
d,probability_scan_and_collapse,1,8,0.29000000000000004,0.4593194903251692,0.7083333333333333,0.016098484848484848,-2.8489583333333304,0.5583698213600007
a,size_scaling,1,12,0.010000000000000009,,53.0,0.803030303030303,,0.7671791481631982
