panel,kind,depth,L,p,scaled_x,I3,standard_error
a,scan,1,8,0.010000000000000009,,-32.58333333333333,0.4070314523161605
d,collapse,1,8,0.010000000000000009,-0.5000718400515863,-32.58333333333333,0.4070314523161605
a,scan,1,8,0.04500000000000001,,-19.75,0.6893463662763535
d,collapse,1,8,0.04500000000000001,-0.38576970518265236,-19.75,0.6893463662763535
a,scan,1,8,0.08000000000000002,,-11.291666666666666,0.6559783073261947
d,collapse,1,8,0.08000000000000002,-0.2714675703137183,-11.291666666666666,0.6559783073261947
a,scan,1,8,0.11500000000000002,,-4.5,0.8474986538360803
d,collapse,1,8,0.11500000000000002,-0.15716543544478428,-4.5,0.8474986538360803
a,scan,1,8,0.15000000000000002,,-0.45833333333333337,0.35355339059327373
d,collapse,1,8,0.15000000000000002,-0.04286330057585025,-0.45833333333333337,0.35355339059327373
a,scan,1,8,0.18500000000000003,,-0.041666666666666664,0.35355339059327373
d,collapse,1,8,0.18500000000000003,0.07143883429308379,-0.041666666666666664,0.35355339059327373
a,scan,1,8,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,8,0.22000000000000003,0.18574096916201782,0.0,0.35355339059327373
a,scan,1,8,0.255,,0.0,0.35355339059327373
d,collapse,1,8,0.255,0.30004310403095175,0.0,0.35355339059327373
a,scan,1,8,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,8,0.29000000000000004,0.4143452388998859,0.0,0.35355339059327373
a,scan,1,12,0.010000000000000009,,-47.20833333333333,0.6265852910690827
d,collapse,1,12,0.010000000000000009,-0.6298734500179863,-47.20833333333333,0.6265852910690827
a,scan,1,12,0.04500000000000001,,-30.375,0.6826579124252681
d,collapse,1,12,0.04500000000000001,-0.4859023757281609,-30.375,0.6826579124252681
a,scan,1,12,0.08000000000000002,,-16.833333333333336,0.9860132971832691
d,collapse,1,12,0.08000000000000002,-0.34193130143833544,-16.833333333333336,0.9860132971832691
a,scan,1,12,0.11500000000000002,,-7.166666666666667,0.8380817098475258
d,collapse,1,12,0.11500000000000002,-0.19796022714851,-7.166666666666667,0.8380817098475258
a,scan,1,12,0.15000000000000002,,-1.3333333333333335,0.35355339059327373
d,collapse,1,12,0.15000000000000002,-0.05398915285868453,-1.3333333333333335,0.35355339059327373
a,scan,1,12,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,12,0.18500000000000003,0.08998192143114092,0.0,0.35355339059327373
a,scan,1,12,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,12,0.22000000000000003,0.2339529957209664,0.0,0.35355339059327373
a,scan,1,12,0.255,,0.0,0.35355339059327373
d,collapse,1,12,0.255,0.37792407001079176,0.0,0.35355339059327373
a,scan,1,12,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,12,0.29000000000000004,0.5218951443006173,0.0,0.35355339059327373
a,scan,1,16,0.010000000000000009,,-43.41666666666667,1.2594878021678197
d,collapse,1,16,0.010000000000000009,-0.7419269813984101,-43.41666666666667,1.2594878021678197
a,scan,1,16,0.04500000000000001,,-34.041666666666664,1.03209891706327
d,collapse,1,16,0.04500000000000001,-0.5723436713644877,-34.041666666666664,1.03209891706327
a,scan,1,16,0.08000000000000002,,-20.708333333333336,1.1009330458427393
d,collapse,1,16,0.08000000000000002,-0.4027603613305655,-20.708333333333336,1.1009330458427393
a,scan,1,16,0.11500000000000002,,-7.041666666666667,0.6649904522527385
d,collapse,1,16,0.11500000000000002,-0.23317705129664315,-7.041666666666667,0.6649904522527385
a,scan,1,16,0.15000000000000002,,-0.625,0.35355339059327373
d,collapse,1,16,0.15000000000000002,-0.06359374126272085,-0.625,0.35355339059327373
a,scan,1,16,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,16,0.18500000000000003,0.10598956877120146,0.0,0.35355339059327373
a,scan,1,16,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,16,0.22000000000000003,0.27557287880512377,0.0,0.35355339059327373
a,scan,1,16,0.255,,0.0,0.35355339059327373
d,collapse,1,16,0.255,0.44515618883904595,0.0,0.35355339059327373
a,scan,1,16,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,16,0.29000000000000004,0.6147394988729684,0.0,0.35355339059327373
a,scan,1,24,0.010000000000000009,,-60.375,1.3054183480754606
d,collapse,1,24,0.010000000000000009,-0.9345059449591067,-60.375,1.3054183480754606
a,scan,1,24,0.04500000000000001,,-52.45833333333333,0.6574889099191454
d,collapse,1,24,0.04500000000000001,-0.7209045861113108,-52.45833333333333,0.6574889099191454
a,scan,1,24,0.08000000000000002,,-34.08333333333333,0.7285286324187733
d,collapse,1,24,0.08000000000000002,-0.507303227263515,-34.08333333333333,0.7285286324187733
a,scan,1,24,0.11500000000000002,,-12.333333333333334,1.185226520443204
d,collapse,1,24,0.11500000000000002,-0.2937018684157192,-12.333333333333334,1.185226520443204
a,scan,1,24,0.15000000000000002,,-1.0833333333333335,0.35355339059327373
d,collapse,1,24,0.15000000000000002,-0.0801005095679234,-1.0833333333333335,0.35355339059327373
a,scan,1,24,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,24,0.18500000000000003,0.1335008492798724,0.0,0.35355339059327373
a,scan,1,24,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,24,0.22000000000000003,0.3471022081276682,0.0,0.35355339059327373
a,scan,1,24,0.255,,0.0,0.35355339059327373
d,collapse,1,24,0.255,0.5607035669754639,0.0,0.35355339059327373
a,scan,1,24,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,24,0.29000000000000004,0.7743049258232598,0.0,0.35355339059327373
b,scan,7,8,0.5100000000000001,,-5.875,0.48361034754641913
e,collapse,7,8,0.5100000000000001,-1.3045337174180096,-5.875,0.48361034754641913
b,scan,7,8,0.5450000000000002,,-6.666666666666666,0.4130797993547015
e,collapse,7,8,0.5450000000000002,-1.067345768796553,-6.666666666666666,0.4130797993547015
b,scan,7,8,0.5800000000000001,,-4.333333333333334,0.5634361698190111
e,collapse,7,8,0.5800000000000001,-0.8301578201750974,-4.333333333333334,0.5634361698190111
