stage,m,d,L,p,time,observable,mean,standard_deviation,standard_error,realizations
base,3,9,8,0.2,9,half_chain_entropy,6.666666666666666,0.4714045207910319,0.3333333333333335,2
base,3,9,8,0.2,9,tripartite_mutual_information,-3.6666666666666665,0.0,0.0,2
base,3,9,8,0.395,9,half_chain_entropy,3.0,0.4714045207910319,0.3333333333333335,2
base,3,9,8,0.395,9,tripartite_mutual_information,-1.0,0.4714045207910317,0.3333333333333333,2
base,3,9,8,0.5900000000000001,9,half_chain_entropy,0.5,0.7071067811865476,0.5,2
base,3,9,8,0.5900000000000001,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,3,9,8,0.7849999999999999,9,half_chain_entropy,0.0,0.0,0.0,2
base,3,9,8,0.7849999999999999,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,3,9,8,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,3,9,8,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,3,9,12,0.2,9,half_chain_entropy,9.666666666666666,1.4142135623730951,1.0,2
base,3,9,12,0.2,9,tripartite_mutual_information,-6.166666666666667,0.7071067811865476,0.5,2
base,3,9,12,0.395,9,half_chain_entropy,5.5,0.23570226039551626,0.16666666666666693,2
base,3,9,12,0.395,9,tripartite_mutual_information,-2.833333333333333,0.23570226039551595,0.16666666666666674,2
base,3,9,12,0.5900000000000001,9,half_chain_entropy,1.8333333333333335,0.7071067811865477,0.5000000000000001,2
base,3,9,12,0.5900000000000001,9,tripartite_mutual_information,-0.16666666666666666,0.23570226039551584,0.16666666666666666,2
base,3,9,12,0.7849999999999999,9,half_chain_entropy,0.0,0.0,0.0,2
base,3,9,12,0.7849999999999999,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,3,9,12,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,3,9,12,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,3,9,16,0.2,9,half_chain_entropy,12.0,1.4142135623730951,1.0,2
