panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
a,size_scaling,1,8,0.010000000000000009,,36.625,0.8323863636363636,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.010000000000000009,-0.6665940438805641,36.625,0.8323863636363636,31.765625,0.6039132674909157
a,size_scaling,1,8,0.02750000000000001,,29.875,0.6789772727272727,,0.78514160873225
d,probability_scan_and_collapse,1,8,0.02750000000000001,-0.5893077779233974,29.875,0.6789772727272727,25.015625,0.78514160873225
a,size_scaling,1,8,0.04500000000000001,,25.208333333333336,0.5729166666666667,,0.7698297356903939
d,probability_scan_and_collapse,1,8,0.04500000000000001,-0.5120215119662305,25.208333333333336,0.5729166666666667,20.348958333333336,0.7698297356903939
a,size_scaling,1,8,0.06250000000000001,,22.958333333333332,0.521780303030303,,0.6102456281818383
d,probability_scan_and_collapse,1,8,0.06250000000000001,-0.4347352460090636,22.958333333333332,0.521780303030303,18.098958333333332,0.6102456281818383
a,size_scaling,1,8,0.08000000000000002,,17.541666666666664,0.3986742424242424,,0.7976770120819172
d,probability_scan_and_collapse,1,8,0.08000000000000002,-0.35744898005189674,17.541666666666664,0.3986742424242424,12.682291666666664,0.7976770120819172
a,size_scaling,1,8,0.09750000000000002,,15.291666666666668,0.34753787878787884,,0.6838404945256908
d,probability_scan_and_collapse,1,8,0.09750000000000002,-0.2801627140947299,15.291666666666668,0.34753787878787884,10.432291666666668,0.6838404945256908
a,size_scaling,1,8,0.11500000000000002,,10.625,0.24147727272727273,,1.0134898280086244
d,probability_scan_and_collapse,1,8,0.11500000000000002,-0.20287644813756306,10.625,0.24147727272727273,5.765625000000001,1.0134898280086244
a,size_scaling,1,8,0.1325,,8.375,0.1903409090909091,,0.8038714141730443
d,probability_scan_and_collapse,1,8,0.1325,-0.12559018218039625,8.375,0.1903409090909091,3.515625000000001,0.8038714141730443
a,size_scaling,1,8,0.15000000000000002,,5.458333333333333,0.12405303030303029,,0.7462730976250288
d,probability_scan_and_collapse,1,8,0.15000000000000002,-0.04830391622322935,5.458333333333333,0.12405303030303029,0.5989583333333339,0.7462730976250288
a,size_scaling,1,8,0.16750000000000004,,4.5,0.10227272727272728,,0.6619093087910554
d,probability_scan_and_collapse,1,8,0.16750000000000004,0.02898234973393756,4.5,0.10227272727272728,-0.3593749999999991,0.6619093087910554
a,size_scaling,1,8,0.18500000000000003,,2.4166666666666665,0.054924242424242424,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.18500000000000003,0.10626861569110435,2.4166666666666665,0.054924242424242424,-2.4427083333333326,0.6039132674909157
a,size_scaling,1,8,0.2025,,2.041666666666667,0.04640151515151516,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.2025,0.18355488164827113,2.041666666666667,0.04640151515151516,-2.817708333333332,0.6039132674909157
a,size_scaling,1,8,0.22000000000000003,,1.5,0.03409090909090909,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.22000000000000003,0.26084114760543803,1.5,0.03409090909090909,-3.359374999999999,0.6039132674909157
a,size_scaling,1,8,0.23750000000000002,,1.2916666666666665,0.029356060606060604,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.23750000000000002,0.33812741356260484,1.2916666666666665,0.029356060606060604,-3.5677083333333326,0.6039132674909157
a,size_scaling,1,8,0.255,,0.7916666666666667,0.017992424242424244,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.255,0.41541367951977165,0.7916666666666667,0.017992424242424244,-4.067708333333332,0.6039132674909157
a,size_scaling,1,8,0.2725,,0.6666666666666666,0.01515151515151515,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.2725,0.4926999454769385,0.6666666666666666,0.01515151515151515,-4.192708333333332,0.6039132674909157
a,size_scaling,1,8,0.29000000000000004,,0.7083333333333333,0.016098484848484848,,0.6039132674909157
d,probability_scan_and_collapse,1,8,0.29000000000000004,0.5699862114341054,0.7083333333333333,0.016098484848484848,-4.151041666666666,0.6039132674909157
a,size_scaling,1,12,0.010000000000000009,,53.0,0.803030303030303,,0.8304032730807663
d,probability_scan_and_collapse,1,12,0.010000000000000009,-0.890514303677016,53.0,0.803030303030303,47.770833333333336,0.8304032730807663
a,size_scaling,1,12,0.02750000000000001,,43.83333333333333,0.664141414141414,,0.8012181652485185
d,probability_scan_and_collapse,1,12,0.02750000000000001,-0.7872662684680867,43.83333333333333,0.664141414141414,38.604166666666664,0.8012181652485185
a,size_scaling,1,12,0.04500000000000001,,37.66666666666667,0.5707070707070708,,1.0269610318909939
d,probability_scan_and_collapse,1,12,0.04500000000000001,-0.6840182332591572,37.66666666666667,0.5707070707070708,32.43750000000001,1.0269610318909939
a,size_scaling,1,12,0.06250000000000001,,30.25,0.4583333333333333,,0.8510533580014078
d,probability_scan_and_collapse,1,12,0.06250000000000001,-0.5807701980502279,30.25,0.4583333333333333,25.020833333333336,0.8510533580014078
a,size_scaling,1,12,0.08000000000000002,,25.25,0.38257575757575757,,0.9052789147017442
d,probability_scan_and_collapse,1,12,0.08000000000000002,-0.47752216284129845,25.25,0.38257575757575757,20.020833333333336,0.9052789147017442
a,size_scaling,1,12,0.09750000000000002,,20.25,0.3068181818181818,,0.8875719022465367
d,probability_scan_and_collapse,1,12,0.09750000000000002,-0.37427412763236906,20.25,0.3068181818181818,15.020833333333336,0.8875719022465367
a,size_scaling,1,12,0.11500000000000002,,15.083333333333332,0.2285353535353535,,0.9183351442763645
d,probability_scan_and_collapse,1,12,0.11500000000000002,-0.2710260924234397,15.083333333333332,0.2285353535353535,9.854166666666668,0.9183351442763645
a,size_scaling,1,12,0.1325,,11.458333333333332,0.1736111111111111,,1.1847393360380791
d,probability_scan_and_collapse,1,12,0.1325,-0.16777805721451042,11.458333333333332,0.1736111111111111,6.229166666666667,1.1847393360380791
a,size_scaling,1,12,0.15000000000000002,,6.583333333333333,0.09974747474747474,,0.9830337279203417
d,probability_scan_and_collapse,1,12,0.15000000000000002,-0.06453002200558096,6.583333333333333,0.09974747474747474,1.3541666666666679,0.9830337279203417
a,size_scaling,1,12,0.16750000000000004,,4.416666666666666,0.0669191919191919,,0.8649285184192946
d,probability_scan_and_collapse,1,12,0.16750000000000004,0.03871801320334851,4.416666666666666,0.0669191919191919,-0.8124999999999991,0.8649285184192946
a,size_scaling,1,12,0.18500000000000003,,3.208333333333333,0.048611111111111105,,0.7809971195242367
d,probability_scan_and_collapse,1,12,0.18500000000000003,0.1419660484122778,3.208333333333333,0.048611111111111105,-2.020833333333332,0.7809971195242367
a,size_scaling,1,12,0.2025,,2.083333333333333,0.03156565656565656,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.2025,0.24521408362120709,2.083333333333333,0.03156565656565656,-3.145833333333332,0.7326607797374391
a,size_scaling,1,12,0.22000000000000003,,0.9999999999999999,0.01515151515151515,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.22000000000000003,0.34846211883013656,0.9999999999999999,0.01515151515151515,-4.229166666666665,0.7326607797374391
a,size_scaling,1,12,0.23750000000000002,,1.5833333333333333,0.023989898989898988,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.23750000000000002,0.45171015403906584,1.5833333333333333,0.023989898989898988,-3.645833333333332,0.7326607797374391
a,size_scaling,1,12,0.255,,0.7916666666666667,0.011994949494949496,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.255,0.5549581892479951,0.7916666666666667,0.011994949494949496,-4.437499999999998,0.7326607797374391
a,size_scaling,1,12,0.2725,,0.9583333333333333,0.014520202020202018,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.2725,0.6582062244569246,0.9583333333333333,0.014520202020202018,-4.270833333333332,0.7326607797374391
a,size_scaling,1,12,0.29000000000000004,,0.7083333333333333,0.010732323232323232,,0.7326607797374391
d,probability_scan_and_collapse,1,12,0.29000000000000004,0.7614542596658541,0.7083333333333333,0.010732323232323232,-4.520833333333332,0.7326607797374391
a,size_scaling,1,16,0.010000000000000009,,61.666666666666664,0.7007575757575757,,1.008316685832207
d,probability_scan_and_collapse,1,16,0.010000000000000009,-1.0936613245986673,61.666666666666664,0.7007575757575757,56.5,1.008316685832207
a,size_scaling,1,16,0.02750000000000001,,54.125,0.6150568181818182,,0.9556568002583493
d,probability_scan_and_collapse,1,16,0.02750000000000001,-0.9668600116017204,54.125,0.6150568181818182,48.958333333333336,0.9556568002583493
a,size_scaling,1,16,0.04500000000000001,,45.625,0.5184659090909091,,0.8788668295066159
