panel,kind,depth,L,p,scaled_x,I3,standard_error
a,scan,1,8,0.010000000000000009,,-32.58333333333333,0.4070314523161605
d,collapse,1,8,0.010000000000000009,-0.5322757676433498,-32.58333333333333,0.4070314523161605
a,scan,1,8,0.02750000000000001,,-24.5,0.8614310721488354
d,collapse,1,8,0.02750000000000001,-0.46775749277748924,-24.5,0.8614310721488354
a,scan,1,8,0.04500000000000001,,-19.75,0.6893463662763535
d,collapse,1,8,0.04500000000000001,-0.4032392179116287,-19.75,0.6893463662763535
a,scan,1,8,0.06250000000000001,,-15.875,0.35355339059327373
d,collapse,1,8,0.06250000000000001,-0.3387209430457681,-15.875,0.35355339059327373
a,scan,1,8,0.08000000000000002,,-11.291666666666666,0.6559783073261947
d,collapse,1,8,0.08000000000000002,-0.2742026681799075,-11.291666666666666,0.6559783073261947
a,scan,1,8,0.09750000000000002,,-8.375,0.438420234007626
d,collapse,1,8,0.09750000000000002,-0.20968439331404695,-8.375,0.438420234007626
a,scan,1,8,0.11500000000000002,,-4.5,0.8474986538360803
d,collapse,1,8,0.11500000000000002,-0.14516611844818636,-4.5,0.8474986538360803
a,scan,1,8,0.1325,,-2.833333333333333,0.4542567625794979
d,collapse,1,8,0.1325,-0.08064784358232584,-2.833333333333333,0.4542567625794979
a,scan,1,8,0.15000000000000002,,-0.45833333333333337,0.35355339059327373
d,collapse,1,8,0.15000000000000002,-0.01612956871646521,-0.45833333333333337,0.35355339059327373
a,scan,1,8,0.16750000000000004,,-0.125,0.35355339059327373
d,collapse,1,8,0.16750000000000004,0.04838870614939542,-0.125,0.35355339059327373
a,scan,1,8,0.18500000000000003,,-0.041666666666666664,0.35355339059327373
d,collapse,1,8,0.18500000000000003,0.11290698101525595,-0.041666666666666664,0.35355339059327373
a,scan,1,8,0.2025,,-0.041666666666666664,0.35355339059327373
d,collapse,1,8,0.2025,0.1774252558811165,-0.041666666666666664,0.35355339059327373
a,scan,1,8,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,8,0.22000000000000003,0.2419435307469771,0.0,0.35355339059327373
a,scan,1,8,0.23750000000000002,,0.0,0.35355339059327373
d,collapse,1,8,0.23750000000000002,0.30646180561283765,0.0,0.35355339059327373
a,scan,1,8,0.255,,0.0,0.35355339059327373
d,collapse,1,8,0.255,0.3709800804786982,0.0,0.35355339059327373
a,scan,1,8,0.2725,,0.0,0.35355339059327373
d,collapse,1,8,0.2725,0.43549835534455883,0.0,0.35355339059327373
a,scan,1,8,0.29000000000000004,,0.0,0.35355339059327373
