stage,m,d,L,p,time,observable,mean,standard_deviation,standard_error,realizations
base,3,9,8,0.2,49,half_chain_entropy,6.625,0.9501461875826149,0.3359274061791062,8
base,3,9,8,0.2,49,tripartite_mutual_information,-4.125,0.9584627241843021,0.33886774589262575,8
base,3,9,8,0.2975,49,half_chain_entropy,5.208333333333334,0.7113032974423644,0.25148369255092384,8
base,3,9,8,0.2975,49,tripartite_mutual_information,-2.833333333333333,0.9759000729485332,0.34503277967117707,8
base,3,9,8,0.395,49,half_chain_entropy,3.9166666666666665,0.6606874726434101,0.23358829607557843,8
base,3,9,8,0.395,49,tripartite_mutual_information,-1.4583333333333335,0.8152806508697111,0.28824523840007743,8
base,3,9,8,0.4925,49,half_chain_entropy,2.375,0.6025738445163697,0.21304202581158668,8
base,3,9,8,0.4925,49,tripartite_mutual_information,-0.5833333333333333,0.38832158167381164,0.137292411841319,8
base,3,9,8,0.5900000000000001,49,half_chain_entropy,1.4583333333333335,0.469295317724453,0.16592095077102803,8
base,3,9,8,0.5900000000000001,49,tripartite_mutual_information,-0.04166666666666667,0.27817432013209337,0.09834947405868037,8
base,3,9,8,0.6875,49,half_chain_entropy,0.16666666666666666,0.25197631533948484,0.0890870806374748,8
base,3,9,8,0.6875,49,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,8,0.7849999999999999,49,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
base,3,9,8,0.7849999999999999,49,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,8,0.8825000000000001,49,half_chain_entropy,0.0,0.0,0.0,8
base,3,9,8,0.8825000000000001,49,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,8,0.98,49,half_chain_entropy,0.0,0.0,0.0,8
base,3,9,8,0.98,49,tripartite_mutual_information,0.0,0.0,0.0,8
base,3,9,12,0.2,49,half_chain_entropy,10.166666666666668,0.9759000729485333,0.3450327796711771,8
base,3,9,12,0.2,49,tripartite_mutual_information,-7.5,1.3685817012571349,0.48386670078337085,8
base,3,9,12,0.2975,49,half_chain_entropy,8.083333333333332,0.2954684201426393,0.10446386175466806,8
base,3,9,12,0.2975,49,tripartite_mutual_information,-5.625,0.3303437363217051,0.11679414803778923,8
