target_probability,method,M,N_shot,N_q,repetitions,percentile,error
0.020833333333333332,eis_30,0,30,30,1000,81.05694691387022,0.020833333333333332
0.020833333333333332,eis_30,1,30,120,1000,81.05694691387022,0.010713178354076508
0.020833333333333332,eis_30,2,30,270,1000,81.05694691387022,0.005772272997956924
0.020833333333333332,eis_30,3,30,540,1000,81.05694691387022,0.003405022149237997
0.020833333333333332,eis_30,4,30,1050,1000,81.05694691387022,0.0017205891344535087
0.020833333333333332,eis_30,5,30,2040,1000,81.05694691387022,0.0009581654446412998
0.020833333333333332,eis_30,6,30,3990,1000,81.05694691387022,0.0002937463206241065
0.020833333333333332,eis_30,7,30,7860,1000,81.05694691387022,0.00028990447287322496
0.020833333333333332,eis_30,8,30,15570,1000,81.05694691387022,0.00012857804986245272
0.020833333333333332,eis_30,9,30,30960,1000,81.05694691387022,5.944022950641041e-05
0.020833333333333332,eis_30,10,30,61710,1000,81.05694691387022,2.993377045764158e-05
0.020833333333333332,eis_100,0,100,100,1000,81.05694691387022,0.01916666666666667
0.020833333333333332,eis_100,1,100,400,1000,81.05694691387022,0.00595219218288482
0.020833333333333332,eis_100,2,100,900,1000,81.05694691387022,0.0032597315772137365
0.020833333333333332,eis_100,3,100,1800,1000,81.05694691387022,0.0018583095776390042
0.020833333333333332,eis_100,4,100,3500,1000,81.05694691387022,0.0009612496420684474
0.020833333333333332,eis_100,5,100,6800,1000,81.05694691387022,0.0006239133410634944
0.020833333333333332,eis_100,6,100,13300,1000,81.05694691387022,0.0001915613878127505
0.020833333333333332,eis_100,7,100,26200,1000,81.05694691387022,0.00013463895544215375
0.020833333333333332,eis_100,8,100,51900,1000,81.05694691387022,6.566581107876871e-05
0.020833333333333332,eis_100,9,100,103200,1000,81.05694691387022,3.399901041563676e-05
0.020833333333333332,classical,0,100,100,1000,81.05694691387022,0.01916666666666667
0.020833333333333332,classical,1,100,200,1000,81.05694691387022,0.010833333333333332
0.020833333333333332,classical,2,100,300,1000,81.05694691387022,0.010833333333333332
0.020833333333333332,classical,3,100,400,1000,81.05694691387022,0.009166666666666667
0.020833333333333332,classical,4,100,500,1000,81.05694691387022,0.008833333333333332
0.020833333333333332,classical,5,100,600,1000,81.05694691387022,0.007499999999999998
0.020833333333333332,classical,6,100,700,1000,81.05694691387022,0.007738095238095238
0.020833333333333332,classical,7,100,800,1000,81.05694691387022,0.006666666666666668
0.020833333333333332,classical,8,100,900,1000,81.05694691387022,0.005833333333333336
0.020833333333333332,classical,9,100,1000,1000,81.05694691387022,0.005833333333333333
0.020833333333333332,classical,10,100,1100,1000,81.05694691387022,0.005378787878787877
0.020833333333333332,classical,11,100,1200,1000,81.05694691387022,0.005000000000000001
0.020833333333333332,classical,12,100,1300,1000,81.05694691387022,0.00532051282051282
0.020833333333333332,classical,13,100,1400,1000,81.05694691387022,0.005119047619047617
0.020833333333333332,classical,14,100,1500,1000,81.05694691387022,0.004833333333333332
0.020833333333333332,classical,15,100,1600,1000,81.05694691387022,0.004583333333333332
0.020833333333333332,classical,16,100,1700,1000,81.05694691387022,0.004460784313725492
0.020833333333333332,classical,17,100,1800,1000,81.05694691387022,0.004166666666666669
0.020833333333333332,classical,18,100,1900,1000,81.05694691387022,0.003991228070175438
0.020833333333333332,classical,19,100,2000,1000,81.05694691387022,0.004166666666666669
0.020833333333333332,classical,20,100,2100,1000,81.05694691387022,0.003928571428571431
0.020833333333333332,classical,21,100,2200,1000,81.05694691387022,0.0037121212121212117
0.020833333333333332,classical,22,100,2300,1000,81.05694691387022,0.003876811594202896
0.020833333333333332,classical,23,100,2400,1000,81.05694691387022,0.00375
0.020833333333333332,classical,24,100,2500,1000,81.05694691387022,0.003633333333333332
0.020833333333333332,classical,25,100,2600,1000,81.05694691387022,0.0035256410256410235
0.020833333333333332,classical,26,100,2700,1000,81.05694691387022,0.0036111111111111135
0.020833333333333332,classical,27,100,2800,1000,81.05694691387022,0.0034523809523809533
0.020833333333333332,classical,28,100,2900,1000,81.05694691387022,0.003522672318840071
0.020833333333333332,classical,29,100,3000,1000,81.05694691387022,0.0034999999999999996
0.020833333333333332,classical,30,100,3100,1000,81.05694691387022,0.0033602150537634413
0.020833333333333332,classical,31,100,3200,1000,81.05694691387022,0.0032291666666666684
0.020833333333333332,classical,32,100,3300,1000,81.05694691387022,0.0031060606060606087
0.020833333333333332,classical,33,100,3400,1000,81.05694691387022,0.0031862745098039207
0.020833333333333332,classical,34,100,3500,1000,81.05694691387022,0.0031666666666666683
0.020833333333333332,classical,35,100,3600,1000,81.05694691387022,0.003055555555555558
0.020833333333333332,classical,36,100,3700,1000,81.05694691387022,0.0029954954954954927
0.020833333333333332,classical,37,100,3800,1000,81.05694691387022,0.0029385964912280703
0.020833333333333332,classical,38,100,3900,1000,81.05694691387022,0.003141025641025641
0.020833333333333332,classical,39,100,4000,1000,81.05694691387022,0.002916666666666668
0.020833333333333332,classical,40,100,4100,1000,81.05694691387022,0.003028455284552846
0.020833333333333332,classical,41,100,4200,1000,81.05694691387022,0.002976190476190476
0.020833333333333332,classical,42,100,4300,1000,81.05694691387022,0.0029263565891472845
0.020833333333333332,classical,43,100,4400,1000,81.05694691387022,0.0028787878787878765
0.020833333333333332,classical,44,100,4500,1000,81.05694691387022,0.0028333333333333335
0.020833333333333332,classical,45,100,4600,1000,81.05694691387022,0.0027898550724637684
0.020833333333333332,classical,46,100,4700,1000,81.05694691387022,0.0027836879432624126
0.020833333333333332,classical,47,100,4800,1000,81.05694691387022,0.0027083333333333334
0.020833333333333332,classical,48,100,4900,1000,81.05694691387022,0.0024659863945578203
0.020833333333333332,classical,49,100,5000,1000,81.05694691387022,0.0026333333333333313
0.020833333333333332,classical,50,100,5100,1000,81.05694691387022,0.0025980392156862743
0.020833333333333332,classical,51,100,5200,1000,81.05694691387022,0.002564102564102562
0.020833333333333332,classical,52,100,5300,1000,81.05694691387022,0.0025314465408805033
0.020833333333333332,classical,53,100,5400,1000,81.05694691387022,0.0024999999999999988
0.020833333333333332,classical,54,100,5500,1000,81.05694691387022,0.002469696969696969
0.020833333333333332,classical,55,100,5600,1000,81.05694691387022,0.0026046964089025855
0.020833333333333332,classical,56,100,5700,1000,81.05694691387022,0.00265428944469855
0.020833333333333332,classical,57,100,5800,1000,81.05694691387022,0.0025574712643678145
0.020833333333333332,classical,58,100,5900,1000,81.05694691387022,0.002387005649717517
0.020833333333333332,classical,59,100,6000,1000,81.05694691387022,0.0024999999999999988
0.020833333333333332,classical,60,100,6100,1000,81.05694691387022,0.002445355191256833
0.020833333333333332,classical,61,100,6200,1000,81.05694691387022,0.0023924731182795728
0.020833333333333332,classical,62,100,6300,1000,81.05694691387022,0.00226190476190476
0.020833333333333332,classical,63,100,6400,1000,81.05694691387022,0.002395833333333333
0.020833333333333332,classical,64,100,6500,1000,81.05694691387022,0.002243589743589746
0.020833333333333332,classical,65,100,6600,1000,81.05694691387022,0.0021969696969696972
0.020833333333333332,classical,66,100,6700,1000,81.05694691387022,0.0023009950248756225
0.020833333333333332,classical,67,100,6800,1000,81.05694691387022,0.002303921568627451
0.020833333333333332,classical,68,100,6900,1000,81.05694691387022,0.0022101449275362325
0.020833333333333332,classical,69,100,7000,1000,81.05694691387022,0.0021666666666666674
0.020833333333333332,classical,70,100,7100,1000,81.05694691387022,0.0022417840375586855
0.020833333333333332,classical,71,100,7200,1000,81.05694691387022,0.0022222222222222227
0.020833333333333332,classical,72,100,7300,1000,81.05694691387022,0.0021803652968036547
0.020833333333333332,classical,73,100,7400,1000,81.05694691387022,0.002117918889149862
0.020833333333333332,classical,74,100,7500,1000,81.05694691387022,0.0022333333333333337
0.020833333333333332,classical,75,100,7600,1000,81.05694691387022,0.0021824078802440104
0.020833333333333332,classical,76,100,7700,1000,81.05694691387022,0.002132034632034631
0.020833333333333332,classical,77,100,7800,1000,81.05694691387022,0.002115384615384616
0.020833333333333332,classical,78,100,7900,1000,81.05694691387022,0.002099156118143458
0.020833333333333332,classical,79,100,8000,1000,81.05694691387022,0.002083333333333333
0.020833333333333332,classical,80,100,8100,1000,81.05694691387022,0.0020061728395061734
0.020833333333333332,classical,81,100,8200,1000,81.05694691387022,0.002052845528455284
0.020833333333333332,classical,82,100,8300,1000,81.05694691387022,0.0020381526104417645
0.020833333333333332,classical,83,100,8400,1000,81.05694691387022,0.002023809523809525
0.020833333333333332,classical,84,100,8500,1000,81.05694691387022,0.002009803921568628
