modulation_depth,mode_index,normalized_intensity
0.1,-60,1.265127217512047e-34
0.1,-59,3.446825584041597e-35
0.1,-58,9.924672631521277e-33
0.1,-57,1.092496004448961e-33
0.1,-56,2.388855510313069e-35
0.1,-55,2.41368081886563e-35
0.1,-54,6.099184354468063e-36
0.1,-53,4.326602348368616e-34
0.1,-52,4.65123351383389e-33
0.1,-51,8.639659862255038e-35
0.1,-50,2.076249261249897e-33
0.1,-49,2.803488667853825e-35
0.1,-48,4.486073376570166e-35
0.1,-47,1.218893092373918e-33
0.1,-46,3.029864932330636e-35
0.1,-45,3.187081186240759e-33
0.1,-44,1.431467332405423e-32
0.1,-43,2.548109106437404e-34
0.1,-42,2.194974194611504e-32
0.1,-41,1.067106689209972e-34
0.1,-40,3.381070931300435e-33
0.1,-39,7.973661210602469e-32
0.1,-38,1.180277985623291e-32
0.1,-37,9.264990519087235e-31
0.1,-36,4.447981010685865e-32
0.1,-35,1.059038310278487e-32
0.1,-34,3.474058324536557e-31
0.1,-33,1.187405093980702e-32
0.1,-32,3.152838354631691e-32
0.1,-31,4.682772853338901e-31
0.1,-30,1.921993510132162e-30
0.1,-29,5.692212959259061e-29
0.1,-28,8.815394387587181e-29
0.1,-27,2.25161530736658e-27
0.1,-26,5.317629880164157e-26
0.1,-25,9.744488192458031e-26
0.1,-24,3.114319358352667e-24
0.1,-23,2.565585908195785e-23
0.1,-22,3.695108305396169e-22
0.1,-21,1.103809138627846e-20
0.1,-20,1.148346187697031e-21
0.1,-19,6.173863036252033e-20
0.1,-18,1.025413535435663e-18
0.1,-17,5.416905964585631e-18
0.1,-16,1.689828156774447e-16
0.1,-15,6.069801424168016e-16
0.1,-14,1.238217434288066e-14
0.1,-13,3.057946330261446e-13
0.1,-12,1.501014438734727e-13
0.1,-11,3.639828356016948e-12
0.1,-10,3.886521603791096e-11
0.1,-9,3.885582752261758e-10
0.1,-8,1.133990230340749e-08
0.1,-7,9.492742017835276e-09
0.1,-6,2.588207397638345e-07
0.1,-5,4.954786051398154e-06
0.1,-4,1.386765310473307e-05
0.1,-3,0.0003907425527156431
0.1,-2,0.002263546555680978
0.1,-1,0.03540510360232381
0.1,0,0.9238430095304139
0.1,1,0.03540510360232389
0.1,2,0.002263546555680947
0.1,3,0.0003907425527156518
0.1,4,1.386765310473704e-05
0.1,5,4.954786051397022e-06
0.1,6,2.588207397636433e-07
0.1,7,9.492742017777216e-09
0.1,8,1.133990230346984e-08
0.1,9,3.885582752292922e-10
0.1,10,3.886521603642549e-11
0.1,11,3.639828356807332e-12
0.1,12,1.501014442351614e-13
0.1,13,3.057946332861489e-13
0.1,14,1.238217438224477e-14
0.1,15,6.06980135822423e-16
0.1,16,1.689828198382559e-16
0.1,17,5.416905708291452e-18
0.1,18,1.025413147490838e-18
0.1,19,6.173843425334997e-20
0.1,20,1.14834700021937e-21
0.1,21,1.10380406782717e-20
0.1,22,3.695311418157246e-22
0.1,23,2.565734168693028e-23
0.1,24,3.11241800431527e-24
0.1,25,9.753367710371203e-26
0.1,26,5.337298195872114e-26
0.1,27,2.269646255385875e-27
0.1,28,8.328589456484126e-29
0.1,29,4.390848775865441e-29
0.1,30,1.295565329834594e-30
0.1,31,1.460777999165081e-31
0.1,32,1.028329737181843e-32
0.1,33,2.247775195839448e-34
0.1,34,1.206025736303443e-33
0.1,35,4.024040361942409e-35
0.1,36,2.016131056890789e-36
0.1,37,3.424039942902542e-37
0.1,38,9.459995911142728e-39
0.1,39,2.22824163369782e-39
0.1,40,1.033604711848753e-40
0.1,41,2.710865649522929e-42
0.1,42,3.532610606935079e-42
0.1,43,1.002609059074079e-43
0.1,44,7.444783115757289e-45
0.1,45,6.356541795588471e-46
0.1,46,1.65992846269482e-47
0.1,47,1.346452222149105e-47
0.1,48,4.680483741467877e-49
0.1,49,1.771267794882143e-50
0.1,50,4.781969886372602e-51
0.1,51,1.238200789922821e-52
0.1,52,1.61105970593412e-53
0.1,53,8.630517830195196e-55
0.1,54,1.684541161930316e-56
0.1,55,4.412347642618924e-56
0.1,56,1.262295128030856e-57
0.1,57,6.711957618508129e-59
0.1,58,7.660605915340365e-60
0.1,59,1.89998865452848e-61
0.1,60,7.146637483205479e-62
0.2,-60,6.390012332483667e-28
0.2,-59,3.138717141653325e-28
0.2,-58,3.683037806013761e-27
0.2,-57,7.257584648073548e-27
0.2,-56,4.784342822933766e-26
0.2,-55,4.317386451152335e-25
0.2,-54,4.404120303806191e-26
0.2,-53,1.317351032802728e-24
0.2,-52,5.656559437345153e-24
0.2,-51,1.480254588440829e-23
0.2,-50,1.463201812506253e-22
0.2,-49,1.192802016513732e-22
0.2,-48,1.230907844778625e-21
0.2,-47,8.757653196769658e-21
0.2,-46,4.035537606499358e-21
0.2,-45,4.337983996807042e-20
0.2,-44,1.138022360521652e-19
0.2,-43,5.215801404427712e-19
0.2,-42,4.533109793347913e-18
0.2,-41,4.908057787233327e-19
0.2,-40,1.363577871474204e-17
0.2,-39,6.604520028448055e-17
0.2,-38,9.983810697679191e-17
0.2,-37,8.535559562207753e-16
0.2,-36,1.060380649600565e-15
0.2,-35,7.724917220876357e-15
0.2,-34,5.470304741141532e-14
0.2,-33,5.161314314435861e-15
0.2,-32,6.770068303383089e-14
0.2,-31,1.736454509473049e-13
0.2,-30,5.619156304977503e-13
0.2,-29,4.312798800479663e-12
0.2,-28,1.335458096655834e-12
0.2,-27,1.75291711761599e-11
0.2,-26,9.082268506107747e-11
0.2,-25,7.070029591635343e-11
0.2,-24,4.264529125513996e-10
0.2,-23,6.904509160229324e-10
0.2,-22,3.606662025557516e-09
0.2,-21,2.35483862736795e-08
0.2,-20,4.778018357246954e-10
0.2,-19,1.389969845156841e-08
0.2,-18,3.676231922703335e-08
0.2,-17,8.713258338016635e-08
0.2,-16,5.013428226708409e-07
0.2,-15,3.157057064866035e-07
0.2,-14,2.646926451370712e-06
0.2,-13,1.36564164744254e-05
0.2,-12,5.517334225034858e-06
0.2,-11,1.310649159001606e-05
0.2,-10,2.440633553621149e-05
0.2,-9,9.041605998467574e-05
0.2,-8,0.000531149100140783
0.2,-7,7.514207887524454e-05
0.2,-6,0.0008733684372011474
0.2,-5,0.003332715709691762
0.2,-4,0.004799802236151399
0.2,-3,0.01950474556188487
0.2,-2,0.02024389207416375
0.2,-1,0.1250177827043409
0.2,0,0.6509413375096617
0.2,1,0.1250177827043407
0.2,2,0.02024389207416374
0.2,3,0.01950474556188493
0.2,4,0.004799802236151438
0.2,5,0.003332715709691927
0.2,6,0.0008733684372011723
0.2,7,7.514207887525697e-05
0.2,8,0.0005311491001407857
0.2,9,9.041605998468577e-05
0.2,10,2.440633553621747e-05
0.2,11,1.310649159001643e-05
0.2,12,5.517334225030756e-06
0.2,13,1.365641647441097e-05
0.2,14,2.646926451368143e-06
0.2,15,3.157057064866231e-07
0.2,16,5.013428226699547e-07
0.2,17,8.713258337991275e-08
0.2,18,3.676231922695834e-08
0.2,19,1.389969845169941e-08
0.2,20,4.778018357421178e-10
0.2,21,2.354838627389403e-08
0.2,22,3.606662025599487e-09
0.2,23,6.904509160370924e-10
0.2,24,4.264529125470055e-10
0.2,25,7.070029591996961e-11
0.2,26,9.082268507441453e-11
0.2,27,1.752917117866307e-11
0.2,28,1.335458097108765e-12
0.2,29,4.31279879801165e-12
0.2,30,5.619156296527603e-13
0.2,31,1.736454506678745e-13
0.2,32,6.770068293377202e-14
0.2,33,5.16131426211933e-15
0.2,34,5.470304716971568e-14
0.2,35,7.724917162015829e-15
0.2,36,1.060380678666458e-15
0.2,37,8.535559262007847e-16
0.2,38,9.983810067939703e-17
0.2,39,6.604519682747587e-17
0.2,40,1.363577468128021e-17
0.2,41,4.908058256053894e-19
0.2,42,4.533107228837918e-18
