n,cutoff,instance,graph_seed,coupling_seed,coupling_sha256,edge_count,exact_energy,exact_mip_gap,qaoa_expected_energy,qaoa_beta,qaoa_gamma,qaoa_ratio,rqaoa_energy,rqaoa_ratio,exact_runtime_seconds,rqaoa_runtime_seconds,instance_runtime_seconds
100,30,1,607777568,1761961790,a2385164b31cc7d71b296d6f0b9e6026aadbd49481e2b40cef78072966bf6a8f,150,126.0,0.0,58.06964488465615,0.39414521628963256,0.30841992669216967,0.46087019749727104,124.0,0.9841269841269841,2.867189792043064,23.940696166013367,27.186712875030935
100,30,2,1058388004,1419036554,71dd91574a62f1d4b1da373153cee43e29184e21f41b0f4456cd3c8ddb8e9214,150,124.0,0.0,57.402974925954744,0.3912585023511519,0.3070591303838558,0.46292721714479634,122.0,0.9838709677419355,4.511816832993645,33.38506158295786,38.46613391698338
100,30,3,1597465539,128590071,d60d91928bb0cbb3eca169fd4f1eab1f3430f9a13c09e9822d9288614583e317,150,124.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.46560505579808514,118.0,0.9516129032258065,0.5076005829614587,31.627732624998316,32.63123779196758
100,30,4,667695726,1343555980,ce3da19d1ffcc4ab1d3f55ef20acf18dfa122500cfe8022d4a61a419e9b16e36,150,122.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.4732379255652669,122.0,1.0,4.301521291024983,31.679710166004952,36.46593466697959
100,30,5,1025280928,943267784,02a5a5b905a3b211ca2a76c9edb9abacd39eeae2ea73ed015608ad61deec7cc4,150,120.0,0.0,58.40683852633093,0.39559679209061976,0.3090992602423041,0.48672365438609105,116.0,0.9666666666666667,3.466581500018947,28.896221125032753,32.88094216695754
100,30,6,1197062274,1704813484,edc44717ac446af80136f96c1ab9cb82aa50a622f41eff35f624036b4431545e,150,124.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.46560505579808514,118.0,0.9516129032258065,2.291593915957492,22.941341208992526,25.621874999953434
100,30,7,968193565,1503421983,61088ef55973cf043111a006b65ae893e4c099298f1c7ca6ac92f13127d9dccb,150,126.0,0.0,58.06964488465615,0.39414521628963256,0.30841992669216967,0.46087019749727104,124.0,0.9841269841269841,1.5240078749484383,23.274484292021953,25.177792083006352
100,30,8,1586043977,2063361833,be8f0017e96305a434a3c08d41fba20702289d89668b2df557f8f3f0a23eb812,150,128.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.451054897804395,124.0,0.96875,1.9698832500143908,23.16566008294467,25.51181670796359
100,30,9,1999446862,332290813,728b418831445052a0270ce6dcc0be964c414d2cb290f54ec7962b243288c38c,150,122.0,0.0,57.402974925954744,0.3912585023511519,0.3070591303838558,0.47051618791766187,116.0,0.9508196721311475,3.326845165982377,24.152788959036116,27.847548833000474
100,30,10,854576371,1246608948,05318b5fc6d468b7b9e49a8b3606e7bac5e035004bf915dc9479c92c3caf8774,150,126.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.4582144993568457,118.0,0.9365079365079365,0.9195534170139581,23.649870875000488,24.981111958040856
100,30,11,832526779,1792269830,43ee0aaf3f28548e8e5ee609987bd836ef93d5d29b6b5b74728099885ed81123,150,122.0,0.0,57.07347886023041,0.389823588755409,1.2644184982964644,0.46781540049369186,122.0,1.0,2.5134759579668753,22.690542083000764,25.565504666010384
100,30,12,1959841236,1779899184,8e658101209e390bd600475255ed4805de7b0b04377ff4320e89994cfe1a090e,150,124.0,0.0,57.402974925954744,0.3912585023511519,0.3070591303838558,0.46292721714479634,118.0,0.9516129032258065,1.5510825419914909,32.820871707983315,34.745027958007995
100,30,13,1040356308,241835752,edcf8160a5afbbd3e31e11ba7a3a03c2602e0f70b444ec943c25e4c5ec8b22a9,150,124.0,0.0,57.73502691896256,0.39269908169872414,0.3077398588248035,0.46560505579808514,118.0,0.9516129032258065,3.5081261669984087,26.9151039160206,30.945787042030133
100,30,14,1863624234,1881614605,08c86cda388b344bd711201fb23d699bfe1b3ff60a978d6ce38df314fdc361d5,150,126.0,0.0,58.06964488465615,0.39414521628963256,0.30841992669216967,0.46087019749727104,122.0,0.9682539682539683,1.3895820830366574,23.52981820900459,25.281613375002053
100,30,15,1118821204,1784684901,219b0a7acce19bd796622d3c97b7ec42f80c37c817e38455272094eeb207eb8b,150,118.0,0.0,56.7465283431346,0.388394447739986,0.3056960413760082,0.48090278256893726,112.0,0.9491525423728814,2.797357750008814,23.51718541700393,26.68634287500754
100,30,16,1085796328,1496136561,6e4d58df4624177d597340d03dec018c5d258521ee63da077b867eb054bd2904,150,122.0,0.0,58.74661719648215,0.39705369149962666,0.30977777024139513,0.48152964915149304,116.0,0.9508196721311475,2.9086221670149826,22.98212187504396,26.259867540968116
