protocol,length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
qsd,32,0.0,2,0.19509032201612825,1.9466736573555246,0.0,1,60.0
qsd,32,0.0,3,0.29028467725446233,2.9046242060511105,0.0,1,60.0
qsd,32,0.0,4,0.3826834323650898,3.8517134139534077,0.0,1,60.0
qsd,32,0.0,5,0.47139673682599764,4.714992475248874,0.0,1,60.0
qsd,32,0.0,6,0.5555702330196022,5.553399993846133,0.0,1,60.0
qsd,32,0.0,7,0.6343932841636455,6.37986113287749,0.0,1,60.0
qsd,32,0.0,8,0.7071067811865475,7.178460879071633,0.0,1,60.0
qsd,32,0.0,9,0.773010453362737,7.807006950121753,0.0,1,60.0
qsd,32,0.0,10,0.8314696123025452,8.396516876945638,0.0,1,60.0
qsd,32,0.0,11,0.8819212643483549,8.965146690272805,0.0,1,60.0
qsd,32,0.0,13,0.9569403357322088,9.796239608374936,0.0,1,60.0
qsd,32,0.0,14,0.9807852804032304,10.040633255608418,0.0,1,60.0
qsd,32,0.0,16,1.0,10.49895262080479,0.0,1,60.0
qsd,32,0.05,2,0.19509032201612825,1.8383327036111967,0.16092899865894408,8,120.0
qsd,32,0.05,3,0.29028467725446233,2.6992998813098095,0.1949635328934952,8,120.0
qsd,32,0.05,4,0.3826834323650898,3.3973275358936315,0.26648386116870937,8,120.0
qsd,32,0.05,5,0.47139673682599764,4.178178085550805,0.27948964575039154,8,120.0
qsd,32,0.05,6,0.5555702330196022,4.811159601111065,0.4083758028525562,8,120.0
qsd,32,0.05,7,0.6343932841636455,5.369783802272373,0.4888340475435515,8,120.0
qsd,32,0.05,8,0.7071067811865475,5.875736156006892,0.6197393305896298,8,120.0
qsd,32,0.05,9,0.773010453362737,6.342356647681489,0.5400473512897365,8,120.0
qsd,32,0.05,10,0.8314696123025452,6.7742690179404645,0.49067949567930225,8,120.0
qsd,32,0.05,11,0.8819212643483549,7.214048098364782,0.5474387770474933,8,120.0
qsd,32,0.05,13,0.9569403357322088,7.73154810700775,0.46708857295819756,8,120.0
qsd,32,0.05,14,0.9807852804032304,7.869838694220494,0.461826905793427,8,120.0
qsd,32,0.05,16,1.0,8.070822855741355,0.8081524558221965,8,120.0
qsd,32,0.1,2,0.19509032201612825,1.7454316125799836,0.15325148844617972,8,60.0
qsd,32,0.1,3,0.29028467725446233,2.4423590025809556,0.18261417498128127,8,60.0
qsd,32,0.1,4,0.3826834323650898,3.12508729882834,0.26567426476190265,8,60.0
qsd,32,0.1,5,0.47139673682599764,3.796855890889927,0.32117338760382624,8,60.0
