x,ground_marginal,excited_marginal
-5.247190567286807,5.988902112687298e-18,8.59259592961015e-09
-5.23407259086859,7.055139757735774e-18,9.602644542216626e-09
-5.220954614450372,8.308345723400074e-18,1.072773035252867e-08
-5.2078366380321555,9.780792167212822e-18,1.1980511946219006e-08
-5.194718661613939,1.1510230836666538e-17,1.3374989089100543e-08
-5.181600685195722,1.3540807632821775e-17,1.492663895880575e-08
-5.168482708777504,1.5924127100345323e-17,1.6652565570023564e-08
-5.1553647323592875,1.8720490962724878e-17,1.8571663602621393e-08
-5.142246755941071,2.2000338625151962e-17,2.070479794581839e-08
-5.129128779522853,2.5845921958741657e-17,2.307500038363467e-08
-5.116010803104636,3.0353251747102643e-17,2.5707684967711127e-08
-5.1028928266864195,3.563435902159068e-17,2.8630883753900274e-08
-5.089774850268203,4.1819921251641604e-17,3.187550471940791e-08
-5.076656873849985,4.906231112530929e-17,3.547561382845394e-08
-5.063538897431768,5.75391346059599e-17,3.9468743377111425e-08
-5.050420921013552,6.74573352598043e-17,4.389622892299937e-08
-5.037302944595335,7.905795371687257e-17,4.880357729363221e-08
-5.024184968177117,9.262164478561529e-17,5.424086836937227e-08
-5.0110669917589,1.084750704521363e-16,6.026319355398149e-08
-4.997949015340684,1.2699830506071478e-16,6.693113407871604e-08
-4.984831038922466,1.4863340973736408e-16,7.43112825357343e-08
-4.971713062504249,1.7389435697674435e-16,8.247681130441565e-08
-4.958595086086032,2.0337851371456736e-16,9.15080918210959e-08
-4.945477109667816,2.3777992266653e-16,1.0149336894989916e-07
-4.932359133249598,2.7790465781706473e-16,1.1252949504105774e-07
-4.919241156831381,3.246885713555925e-16,1.2472272861460464e-07
-4.906123180413164,3.792177968473471e-16,1.3818960298299924e-07
-4.893005203994948,4.427524278593103e-16,1.5305787052747375e-07
-4.87988722757673,5.167538536303242e-16,1.6946752877119203e-07
-4.866769251158513,6.029163048055024e-16,1.8757193484918825e-07
-4.8536512747402965,7.032032440335372e-16,2.0753901546214855e-07
-4.840533298322079,8.198893298120435e-16,2.2955257992000513e-07
-4.827415321903862,9.556087890232648e-16,2.538137444338612e-07
-4.814297345485645,1.113411156020118e-15,2.805424764026833e-07
-4.8011793690674285,1.2968254760476237e-15,3.099792680663032e-07
-4.788061392649211,1.5099342306578308e-15,3.4238694956062467e-07
-4.774943416230994,1.7574584253668835e-15,3.7805265211632845e-07
-4.761825439812777,2.0448554882555314e-15,4.1728993289106317e-07
-4.74870746339456,2.3784318660956993e-15,4.6044107371892815e-07
-4.735589486976343,2.7654724759413378e-15,5.078795669024637e-07
-4.722471510558126,3.2143894795377944e-15,5.600128020633916e-07
-4.709353534139909,3.734893200573059e-15,6.172849690111526e-07
-4.696235557721692,4.338188406604977e-15,6.801801925855326e-07
-4.683117581303475,5.037199635107795e-15,7.49225916483296e-07
-4.669999604885258,5.846829764031034e-15,8.24996554191495e-07
-4.6568816284670405,6.7842566200749025e-15,9.081174263240597e-07
-4.643763652048824,7.869273092205431e-15,9.992690048962323e-07
-4.630645675630607,9.124676984645255e-15,1.0991914863756405e-06
-4.61752769921239,1.0576717714994425e-14,1.2086897167215814e-06
-4.6044097227941725,1.2255607953150071e-14,1.3286384930684884e-06
-4.591291746375956,1.4196109420989183e-14,1.4599882682273015e-06
-4.578173769957739,1.6438203349045312e-14,1.603771285772799e-06
-4.565055793539522,1.902785753459148e-14,1.7611081751573278e-06
-4.5519378171213045,2.2017903588138377e-14,1.9332150380454023e-06
-4.538819840703088,2.546903981768029e-14,2.1214110589003145e-06
-4.525701864284871,2.945097731062748e-14,2.327126674776846e-06
-4.512583887866654,3.404374916433356e-14,2.5519123412839363e-06
-4.4994659114484366,3.933920552363141e-14,2.7974479337817947e-06
-4.48634793503022,4.5442720148430726e-14,3.065552825069274e-06
-4.473229958612003,5.2475137701919755e-14,3.358196683103215e-06
-4.460111982193785,6.057499487155445e-14,3.6775110346713638e-06
-4.446994005775569,6.990105286848278e-14,4.025801643418145e-06
-4.433876029357352,8.063518386107783e-14,4.4055617531975944e-06
-4.420758052939135,9.298565955740211e-14,4.819486250401157e-06
-4.407640076520917,1.0719089654126927e-13,5.270486801682443e-06
-4.394522100102701,1.235237201783303e-13,5.761708026373748e-06
-4.381404123684484,1.4229621704473336e-13,6.296544765864402e-06
-4.368286147266266,1.6386525500594217e-13,6.87866051528335e-06
-4.355168170848049,1.886387604156927e-13,7.512007086003122e-06
-4.342050194429833,2.1708285355844247e-13,8.200845570754313e-06
-4.328932218011616,2.497299565836077e-13,8.949768686507426e-06
-4.315814241593398,2.871880029562578e-13,9.76372457374482e-06
-4.3026962651751814,3.3015089407726693e-13,1.0648042134300984e-05
-4.289578288756965,3.794103674307863e-13,1.1608457993597311e-05
-4.276460312338747,4.358694616483771e-13,1.2651145176828642e-05
-4.26334233592053,5.005577875170751e-13,1.3782743592474597e-05
-4.2502243595023135,5.746488405146541e-13,1.5010392420400926e-05
-4.237106383084097,6.594796202768637e-13,1.634176450577671e-05
-4.223988406665879,7.56572855876329e-13,1.778510286406423e-05
-4.210870430247662,8.676621733522161e-13,1.9349259406420786e-05
-4.1977524538294455,9.947205840546669e-13,2.1043735998991463e-05
-4.184634477411228,1.1399927195927672e-12,2.287872797374275e-05
-4.171516500993011,1.306031292094812e-12,2.4865170212698045e-05
-4.158398524574794,1.4957383177663985e-12,2.701478593166349e-05
-4.1452805481565775,1.712411708099707e-12,2.9340138293763174e-05
-4.132162571738361,1.9597979073645653e-12,3.185468498733929e-05
-4.119044595320143,2.242151338103561e-12,3.457283590697991e-05
-4.105926618901926,2.564301509266995e-12,3.751001408061607e-05
-4.092808642483709,2.9317287454749656e-12,4.068271998975837e-05
-4.079690666065492,3.3506496119200974e-12,4.4108599433996464e-05
-4.066572689647275,3.828113238998913e-12,4.7806515094864815e-05
-4.053454713229058,4.372109895398928e-12,5.1796621958032626e-05
-4.040336736810842,4.9916933197572546e-12,5.610044675651818e-05
-4.027218760392624,5.697118501003556e-12,6.074097160120858e-05
-4.014100783974407,6.499996798166053e-12,6.574272196836971e-05
-4.00098280755619,7.413470514028843e-12,7.113185921704562e-05
-3.987864831137973,8.452409286096479e-12,7.693627781220932e-05
-3.974746854719756,9.633630935626902e-12,8.31857074322567e-05
-3.961628878301539,1.0976149724099622e-11,8.991182014186226e-05
-3.948510901883322,1.2501455309779085e-11,9.714834281332513e-05
-3.9353929254651048,1.4233826078737808e-11,0.00010493117498129608
-3.922274949046888,1.6200680948942133e-11,0.0001132985123171499
-3.9091569726286712,1.843297421729337e-11,0.00012229097591021703
