kind,two_chi_over_kappa,time_kappa,alpha_g_real,alpha_g_imag,alpha_e_real,alpha_e_imag,integration_kappa_time,snr
trajectory,1.0,0.0,0.0,0.0,0.0,-0.0,,
trajectory,1.0,0.02,7.02404521013125e-05,-0.01407142611941739,-7.02404521013125e-05,-0.01407142611941739,,
trajectory,1.0,0.04,0.00027909033198918935,-0.02800144724082152,-0.00027909033198918935,-0.02800144724082152,,
trajectory,1.0,0.06,0.0006237636347433066,-0.041790105087754784,-0.0006237636347433066,-0.041790105087754784,,
trajectory,1.0,0.08,0.0011015026276459496,-0.05543746854891579,-0.0011015026276459496,-0.05543746854891579,,
trajectory,1.0,0.1,0.0017095778364123828,-0.06894363312661157,-0.0017095778364123828,-0.06894363312661157,,
trajectory,1.0,0.12,0.002445288026100727,-0.0823087203908636,-0.002445288026100727,-0.0823087203908636,,
trajectory,1.0,0.14,0.0033059601768059325,-0.09553287743915936,-0.0033059601768059325,-0.09553287743915936,,
trajectory,1.0,0.16,0.004288949454249803,-0.10861627636184852,-0.004288949454249803,-0.10861627636184852,,
trajectory,1.0,0.18,0.005391639175371446,-0.1215591137131752,-0.005391639175371446,-0.1215591137131752,,
trajectory,1.0,0.2,0.006611440769025208,-0.13436160998794083,-0.006611440769025208,-0.13436160998794083,,
trajectory,1.0,0.22,0.007945793731890399,-0.14702400910378902,-0.007945793731890399,-0.14702400910378902,,
trajectory,1.0,0.24,0.009392165579696358,-0.15954657788910442,-0.009392165579696358,-0.15954657788910442,,
trajectory,1.0,0.26,0.010948051793864958,-0.1719296055765146,-0.010948051793864958,-0.1719296055765146,,
trajectory,1.0,0.28,0.012610975763672837,-0.1841734033019857,-0.012610975763672837,-0.1841734033019857,,
trajectory,1.0,0.3,0.014378488724032003,-0.19627830360949886,-0.014378488724032003,-0.19627830360949886,,
trajectory,1.0,0.32,0.016248169688989476,-0.20824465996129646,-0.016248169688989476,-0.20824465996129646,,
trajectory,1.0,0.34,0.018217625381042983,-0.2200728462536837,-0.018217625381042983,-0.2200728462536837,,
trajectory,1.0,0.36,0.02028449015636944,-0.23176325633837155,-0.02028449015636944,-0.23176325633837155,,
trajectory,1.0,0.38,0.022446425926062656,-0.24331630354934713,-0.022446425926062656,-0.24331630354934713,,
trajectory,1.0,0.4,0.024701122073474198,-0.2547324202352541,-0.024701122073474198,-0.2547324202352541,,
trajectory,1.0,0.42,0.02704629536775134,-0.266012057297268,-0.02704629536775134,-0.266012057297268,,
trajectory,1.0,0.44,0.02947968987366486,-0.2771556837324491,-0.02947968987366486,-0.2771556837324491,,
trajectory,1.0,0.46,0.03199907685781665,-0.288163786182553,-0.03199907685781665,-0.288163786182553,,
trajectory,1.0,0.48,0.034602254691318994,-0.2990368684882828,-0.034602254691318994,-0.2990368684882828,,
trajectory,1.0,0.5,0.03728704874903369,-0.3097754512489616,-0.03728704874903369,-0.3097754512489616,,
trajectory,1.0,0.52,0.04005131130545944,-0.3203800713876055,-0.04005131130545944,-0.3203800713876055,,
trajectory,1.0,0.54,0.04289292142735469,-0.33085128172137707,-0.04289292142735469,-0.33085128172137707,,
trajectory,1.0,0.56,0.045809784863180714,-0.3411896505373965,-0.045809784863180714,-0.3411896505373965,,
trajectory,1.0,0.58,0.04879983392945178,-0.3513957611738897,-0.04879983392945178,-0.3513957611738897,,
trajectory,1.0,0.6,0.05186102739407411,-0.3614702116066496,-0.05186102739407411,-0.3614702116066496,,
trajectory,1.0,0.62,0.054991350356757084,-0.37141361404078743,-0.054991350356757084,-0.37141361404078743,,
trajectory,1.0,0.64,0.05818881412657989,-0.38122659450775104,-0.05818881412657989,-0.38122659450775104,,
trajectory,1.0,0.66,0.06145145609679102,-0.3909097924675843,-0.06145145609679102,-0.3909097924675843,,
trajectory,1.0,0.68,0.06477733961692356,-0.40046386041640397,-0.06477733961692356,-0.40046386041640397,,
trajectory,1.0,0.7000000000000001,0.06816455386230125,-0.409889463499067,-0.06816455386230125,-0.409889463499067,,
trajectory,1.0,0.72,0.07161121370101743,-0.4191872791270038,-0.07161121370101743,-0.4191872791270038,,
trajectory,1.0,0.74,0.07511545955845744,-0.42835799660118934,-0.07511545955845744,-0.42835799660118934,,
trajectory,1.0,0.76,0.07867545727944633,-0.43740231674022595,-0.07867545727944633,-0.43740231674022595,,
trajectory,1.0,0.78,0.0822893979880894,-0.4463209515135099,-0.0822893979880894,-0.4463209515135099,,
trajectory,1.0,0.8,0.08595549794538584,-0.45511462367945416,-0.08595549794538584,-0.45511462367945416,,
trajectory,1.0,0.8200000000000001,0.0896719984046825,-0.4637840664287378,-0.0896719984046825,-0.4637840664287378,,
trajectory,1.0,0.84,0.09343716546504131,-0.47233002303255456,-0.09343716546504131,-0.47233002303255456,,
