phase,cosine_potential,harmonic_comparator
-0.9,-31.08049841353322,-29.75
-0.89775,-31.168543944033054,-29.8511234375
-0.8955000000000001,-31.256431683845737,-29.951993749999996
-0.89325,-31.344161188039777,-30.052610937500003
-0.891,-31.431732012484748,-30.152974999999998
-0.88875,-31.51914371385353,-30.2530859375
-0.8865000000000001,-31.60639584962458,-30.352943749999998
-0.88425,-31.69348797808415,-30.452548437500003
-0.882,-31.780419658328512,-30.5519
-0.87975,-31.867190450266232,-30.6509984375
-0.8775000000000001,-31.953799914620358,-30.749843749999997
-0.87525,-32.04024761293066,-30.848435937500003
-0.873,-32.12653310755586,-30.946775000000002
-0.87075,-32.2126559616758,-31.044860937499998
-0.8685,-32.29861573929374,-31.142693749999996
-0.86625,-32.38441200523848,-31.2402734375
-0.864,-32.47004432516661,-31.337600000000002
-0.86175,-32.555512265564694,-31.4346734375
-0.8595,-32.64081539375146,-31.53149375
-0.8572500000000001,-32.72595327788001,-31.628060937499995
-0.855,-32.81092548693999,-31.724375000000002
-0.85275,-32.89573159075976,-31.8204359375
-0.8505,-32.98037116000861,-31.91624375
-0.8482500000000001,-33.0648437661989,-32.0117984375
-0.846,-33.14914898168824,-32.1071
-0.84375,-33.23328637968166,-32.2021484375
-0.8415,-33.317255534233766,-32.29694375
-0.83925,-33.40105602025088,-32.39148593749999
-0.837,-33.48468741349323,-32.485775000000004
-0.83475,-33.56814929057706,-32.5798109375
-0.8325,-33.6514412289768,-32.673593749999995
-0.83025,-33.73456280702719,-32.7671234375
-0.8280000000000001,-33.81751360392542,-32.8604
-0.82575,-33.90029319973326,-32.9534234375
-0.8235,-33.98290117537917,-33.04619375
-0.82125,-34.065337112660465,-33.138710937499994
-0.819,-34.14760059424538,-33.230975
-0.81675,-34.229691203675216,-33.3229859375
-0.8145,-34.31160852536644,-33.41474375
-0.81225,-34.393352144612784,-33.5062484375
-0.81,-34.47492164758735,-33.5975
-0.80775,-34.556316621344706,-33.6884984375
-0.8055,-34.63753665382297,-33.779243750000006
-0.80325,-34.7185813338459,-33.869735937499996
-0.801,-34.79945025112497,-33.959975
-0.7987500000000001,-34.88014299626148,-34.049960937499996
-0.7965,-34.96065916074856,-34.13969375
-0.79425,-35.04099833697331,-34.229173437499995
-0.792,-35.12116011821881,-34.3184
-0.78975,-35.201144098666234,-34.4073734375
