gamma,p,inverse_p,L,c_eff,fit_relative_rms,parameter_status
0.3,1.15,0.8695652173913044,96,19.84698260442275,0.002233426519186036,reduced_scale
0.3,1.25,0.8,96,17.466067779298736,0.0029258361481258807,reduced_scale
0.3,1.4,0.7142857142857143,96,17.55163926351196,0.003233414079692104,reduced_scale
0.3,1.6,0.625,96,14.43105373428286,0.0029179928136319777,reduced_scale
0.3,2.0,0.5,96,12.545264522616897,0.007690938669350381,reduced_scale
0.3,3.0,0.3333333333333333,96,10.058442802611495,0.009070712593337062,reduced_scale
0.3,5.0,0.2,96,9.500222561455562,0.0056905593746495045,reduced_scale
1.0,1.15,0.8695652173913044,96,10.788377981193577,0.004732599949983442,reduced_scale
1.0,1.25,0.8,96,9.360661725642384,0.003930704078898924,reduced_scale
1.0,1.4,0.7142857142857143,96,8.675433697596564,0.006091957671659946,reduced_scale
1.0,1.6,0.625,96,5.420030010285634,0.0076062920067717105,reduced_scale
1.0,2.0,0.5,96,3.2563249753977592,0.004739666559953271,reduced_scale
1.0,3.0,0.3333333333333333,96,2.6029842557850342,0.009272056466407422,reduced_scale
1.0,5.0,0.2,96,2.2881115752864103,0.006504449841942629,reduced_scale
1.5,1.15,0.8695652173913044,96,9.118551983870631,0.004190057772978082,reduced_scale
1.5,1.25,0.8,96,6.887965707880851,0.003488390145550222,reduced_scale
1.5,1.4,0.7142857142857143,96,5.427587648427,0.009006209305508894,reduced_scale
1.5,1.6,0.625,96,3.3522542726947604,0.01237617626277303,reduced_scale
1.5,2.0,0.5,96,2.60992149136756,0.008969016169152959,reduced_scale
1.5,3.0,0.3333333333333333,96,0.42809814059925844,0.021082774395465267,reduced_scale
1.5,5.0,0.2,96,1.6715555396618478,0.010506933233931119,reduced_scale
2.0,1.15,0.8695652173913044,96,7.359578087750606,0.004560108710352594,reduced_scale
2.0,1.25,0.8,96,3.9954485690731523,0.004995748694076549,reduced_scale
2.0,1.4,0.7142857142857143,96,3.7868396472872705,0.006812197948828296,reduced_scale
2.0,1.6,0.625,96,4.436726685690935,0.008184254956918387,reduced_scale
2.0,2.0,0.5,96,1.843750953037089,0.018955055891203745,reduced_scale
2.0,3.0,0.3333333333333333,96,0.4135216724436553,0.017971718261474135,reduced_scale
2.0,5.0,0.2,96,3.569171000465373,0.028689824970982117,reduced_scale
