physics_phase,caption_phase,gamma,p,L,correlation_positive,correlation_positive_sem,parameter_status
algebraic,CFT,0.3,1.25,24,0.00627558147657584,0.00047413527092183964,paper_subset_reconstructed_numerics
algebraic,CFT,0.3,1.25,32,0.0046779407796946545,0.00029401551784573104,paper_subset_reconstructed_numerics
algebraic,CFT,0.3,1.25,48,0.002995901236461154,0.0002359057778423709,paper_subset_reconstructed_numerics
algebraic,CFT,0.3,1.25,64,0.002008647711676199,0.00011198560206237976,paper_subset_reconstructed_numerics
algebraic,CFT,0.3,1.25,80,0.001375536717792219,9.281646316116063e-05,paper_subset_reconstructed_numerics
algebraic,CFT,0.3,1.25,96,0.001028777390965705,8.421212933787014e-05,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,24,0.006184295715638225,0.0003283909973878042,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,32,0.0031976007754077806,9.418048309239856e-05,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,48,0.0022092107885736097,4.1499852552586115e-05,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,64,0.001224469139819559,0.00010251241322792403,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,80,0.000796214317118171,1.5985863817511438e-05,paper_subset_reconstructed_numerics
CFT,algebraic,0.3,5.0,96,0.0005406504976670896,6.426259171151776e-05,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,24,0.00131505469655548,0.00014629964309648488,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,32,0.0006155374491511264,0.00014072826519029684,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,48,0.00025885148252218165,9.3238629021871e-05,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,64,0.00017450378356119746,5.7244855378483515e-05,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,80,0.0001168244053976469,4.198775716870573e-05,paper_subset_reconstructed_numerics
area_law,area_law,2.0,5.0,96,5.404178005900343e-05,1.5589856007092143e-05,paper_subset_reconstructed_numerics
