physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,entropy,entropy_sem
algebraic,CFT,0.3,1.25,24,1.0,0.9971466573496368,paper_subset_reconstructed_numerics,0.6307859688450287,0.020362189897036406
algebraic,CFT,0.3,1.25,24,2.0,1.9772318589307383,paper_subset_reconstructed_numerics,1.1855933707740332,0.022649754365138306
algebraic,CFT,0.3,1.25,24,3.0,2.923486075213298,paper_subset_reconstructed_numerics,1.653720218693457,0.025610504595580112
algebraic,CFT,0.3,1.25,24,4.0,3.8197186342054876,paper_subset_reconstructed_numerics,2.0766799087397563,0.03391895671505016
algebraic,CFT,0.3,1.25,24,5.0,4.650594748340343,paper_subset_reconstructed_numerics,2.44187550919739,0.05242608476362548
algebraic,CFT,0.3,1.25,24,6.0,5.401897896942636,paper_subset_reconstructed_numerics,2.737795142832182,0.05108760062369794
algebraic,CFT,0.3,1.25,24,7.0,6.060773074839197,paper_subset_reconstructed_numerics,3.0238239577617074,0.05867695117413712
algebraic,CFT,0.3,1.25,24,8.0,6.615946745061504,paper_subset_reconstructed_numerics,3.2263815256156176,0.07044282019721208
algebraic,CFT,0.3,1.25,24,9.0,7.057919732188834,paper_subset_reconstructed_numerics,3.385939438219787,0.05714350219197803
algebraic,CFT,0.3,1.25,24,10.0,7.379129755873375,paper_subset_reconstructed_numerics,3.4749016764226703,0.06201799114737326
algebraic,CFT,0.3,1.25,24,11.0,7.574080823553641,paper_subset_reconstructed_numerics,3.5166735584322613,0.058630746684979515
algebraic,CFT,0.3,1.25,24,12.0,7.639437268410976,paper_subset_reconstructed_numerics,3.516618885189467,0.08673704842119269
algebraic,CFT,0.3,1.25,32,1.0,0.9983943930356184,paper_subset_reconstructed_numerics,0.6258433115782668,0.014281189658198445
algebraic,CFT,0.3,1.25,32,2.0,1.9871737022884115,paper_subset_reconstructed_numerics,1.195694329439466,0.04550360686817833
algebraic,CFT,0.3,1.25,32,3.0,2.956815442488522,paper_subset_reconstructed_numerics,1.6741518891893343,0.07279796064146597
algebraic,CFT,0.3,1.25,32,4.0,3.8979814336177308,paper_subset_reconstructed_numerics,2.116116144356848,0.07656218302663342
algebraic,CFT,0.3,1.25,32,5.0,4.801607732687796,paper_subset_reconstructed_numerics,2.5073366510680994,0.07566678718239364
algebraic,CFT,0.3,1.25,32,6.0,5.658991924466292,paper_subset_reconstructed_numerics,2.8390038803075788,0.06007690159145784
algebraic,CFT,0.3,1.25,32,7.0,6.461876930492518,paper_subset_reconstructed_numerics,3.1305941654060554,0.035336609740807906
algebraic,CFT,0.3,1.25,32,8.0,7.2025305292568484,paper_subset_reconstructed_numerics,3.4077621351864424,0.054178150451278176
algebraic,CFT,0.3,1.25,32,9.0,7.873819821720744,paper_subset_reconstructed_numerics,3.6589282225780564,0.06610370982085437
algebraic,CFT,0.3,1.25,32,11.0,8.983176232889269,paper_subset_reconstructed_numerics,4.063910473495557,0.10505502397858832
algebraic,CFT,0.3,1.25,32,12.0,9.410559642918447,paper_subset_reconstructed_numerics,4.224787591207042,0.10925033794643817
algebraic,CFT,0.3,1.25,32,13.0,9.74731421925113,paper_subset_reconstructed_numerics,4.3702509736864465,0.10483970323698279
algebraic,CFT,0.3,1.25,32,15.0,10.136868386523963,paper_subset_reconstructed_numerics,4.551580918765559,0.10950676585464103
algebraic,CFT,0.3,1.25,32,16.0,10.185916357881302,paper_subset_reconstructed_numerics,4.591955691983425,0.10333997419254429
algebraic,CFT,0.3,1.25,48,1.0,0.9992862058229084,paper_subset_reconstructed_numerics,0.6211299396777369,0.009653479457430668
algebraic,CFT,0.3,1.25,48,2.0,1.9942933146992736,paper_subset_reconstructed_numerics,1.2037343830588734,0.01583244097050874
algebraic,CFT,0.3,1.25,48,3.0,2.980760553432617,paper_subset_reconstructed_numerics,1.7170924779674541,0.023438579001528584
algebraic,CFT,0.3,1.25,48,4.0,3.9544637178614765,paper_subset_reconstructed_numerics,2.195734193617615,0.05132014883538443
algebraic,CFT,0.3,1.25,48,5.0,4.911233261550139,paper_subset_reconstructed_numerics,2.6300637909782307,0.06433253821548375
algebraic,CFT,0.3,1.25,48,6.0,5.846972150426596,paper_subset_reconstructed_numerics,3.062387842474419,0.0833777724098371
algebraic,CFT,0.3,1.25,48,8.0,7.639437268410975,paper_subset_reconstructed_numerics,3.794553814646201,0.0904295851699191
algebraic,CFT,0.3,1.25,48,10.0,9.301189496680687,paper_subset_reconstructed_numerics,4.4235326059593145,0.07376479680037112
algebraic,CFT,0.3,1.25,48,12.0,10.803795793885271,paper_subset_reconstructed_numerics,4.948225875766115,0.06789952344673957
algebraic,CFT,0.3,1.25,48,14.0,12.121546149678394,paper_subset_reconstructed_numerics,5.399482066156976,0.09531956981021265
algebraic,CFT,0.3,1.25,48,15.0,12.703919887550578,paper_subset_reconstructed_numerics,5.602219291898297,0.08697045209669746
algebraic,CFT,0.3,1.25,48,16.0,13.231893490123008,paper_subset_reconstructed_numerics,5.752105930021868,0.08606287064356641
algebraic,CFT,0.3,1.25,48,18.0,14.115839464377668,paper_subset_reconstructed_numerics,6.039017659299319,0.08510368477002636
algebraic,CFT,0.3,1.25,48,19.0,14.468026643692282,paper_subset_reconstructed_numerics,6.166319627951896,0.09289922646049546
algebraic,CFT,0.3,1.25,48,20.0,14.75825951174675,paper_subset_reconstructed_numerics,6.29058235288037,0.10594147555954114
algebraic,CFT,0.3,1.25,48,22.0,15.148161647107282,paper_subset_reconstructed_numerics,6.379956158176588,0.12219920662690466
algebraic,CFT,0.3,1.25,48,24.0,15.278874536821952,paper_subset_reconstructed_numerics,6.380801186531986,0.12013668770362679
algebraic,CFT,0.3,1.25,64,1.0,0.9995984531496791,paper_subset_reconstructed_numerics,0.6420765352121196,0.010714554471599776
algebraic,CFT,0.3,1.25,64,2.0,1.9967887860712368,paper_subset_reconstructed_numerics,1.1989119795234384,0.02595865227478277
algebraic,CFT,0.3,1.25,64,3.0,2.9891686799091075,paper_subset_reconstructed_numerics,1.7134028408501312,0.02974864730704007
algebraic,CFT,0.3,1.25,64,4.0,3.974347404576823,paper_subset_reconstructed_numerics,2.187805260576214,0.030515704255326088
algebraic,CFT,0.3,1.25,64,6.0,5.913630884977044,paper_subset_reconstructed_numerics,3.0555536966012404,0.04189363922180013
algebraic,CFT,0.3,1.25,64,7.0,6.863063736944095,paper_subset_reconstructed_numerics,3.457390840290887,0.04898632032862284
algebraic,CFT,0.3,1.25,64,9.0,8.710080840133957,paper_subset_reconstructed_numerics,4.142565007586136,0.07670593501875698
algebraic,CFT,0.3,1.25,64,12.0,11.317983848932585,paper_subset_reconstructed_numerics,5.111733193220431,0.08779112705541704
algebraic,CFT,0.3,1.25,64,15.0,13.68088668691583,paper_subset_reconstructed_numerics,5.863260556847258,0.08615434524997191
algebraic,CFT,0.3,1.25,64,16.0,14.405061058513697,paper_subset_reconstructed_numerics,6.0841935252888275,0.07028162251884985
algebraic,CFT,0.3,1.25,64,19.0,16.362809467364322,paper_subset_reconstructed_numerics,6.669453874705445,0.11001360812105031
algebraic,CFT,0.3,1.25,64,20.0,16.93855985006744,paper_subset_reconstructed_numerics,6.850634950549192,0.1276552321727047
algebraic,CFT,0.3,1.25,64,21.0,17.473503758449127,paper_subset_reconstructed_numerics,6.978193381991907,0.1301448289474056
algebraic,CFT,0.3,1.25,64,24.0,18.821119285836893,paper_subset_reconstructed_numerics,7.293232050345957,0.15676208176290393
algebraic,CFT,0.3,1.25,64,25.0,19.18097819042758,paper_subset_reconstructed_numerics,7.361834570475299,0.1711870130353976
algebraic,CFT,0.3,1.25,64,27.0,19.76131441914081,paper_subset_reconstructed_numerics,7.543696347873936,0.1472053826789348
algebraic,CFT,0.3,1.25,64,29.0,20.1513383873644,paper_subset_reconstructed_numerics,7.6749019672037395,0.13971895488741068
algebraic,CFT,0.3,1.25,64,32.0,20.371832715762604,paper_subset_reconstructed_numerics,7.7678840303959,0.13535450683359737
algebraic,CFT,0.3,1.25,80,1.0,0.9997429988692578,paper_subset_reconstructed_numerics,0.6297380537226879,0.004210992648291883
algebraic,CFT,0.3,1.25,80,2.0,1.9979444664970771,paper_subset_reconstructed_numerics,1.2103465182332451,0.011463220525334888
algebraic,CFT,0.3,1.25,80,3.0,2.9930652485714617,paper_subset_reconstructed_numerics,1.766898452824146,0.016842707422211573
algebraic,CFT,0.3,1.25,80,4.0,3.983570940974246,paper_subset_reconstructed_numerics,2.249306149249241,0.013195443140572732
algebraic,CFT,0.3,1.25,80,5.0,4.967934255721029,paper_subset_reconstructed_numerics,2.707959187119462,0.023988918238937375
algebraic,CFT,0.3,1.25,80,6.0,5.944637375928548,paper_subset_reconstructed_numerics,3.1023086863722575,0.025642814433788422
algebraic,CFT,0.3,1.25,80,8.0,7.869053144667728,paper_subset_reconstructed_numerics,3.8952673299202902,0.05854596242247135
algebraic,CFT,0.3,1.25,80,11.0,10.661082672421951,paper_subset_reconstructed_numerics,4.890346939849394,0.03973219953648348
algebraic,CFT,0.3,1.25,80,14.0,13.305316693274213,paper_subset_reconstructed_numerics,5.722422143604662,0.07537864414642298
algebraic,CFT,0.3,1.25,80,18.0,16.53805874770126,paper_subset_reconstructed_numerics,6.7237750961874045,0.06891639933378071
algebraic,CFT,0.3,1.25,80,20.0,18.006326323142122,paper_subset_reconstructed_numerics,7.123369232914421,0.07955347994231468
algebraic,CFT,0.3,1.25,80,23.0,19.9979314309483,paper_subset_reconstructed_numerics,7.680708989190887,0.12154461836414016
algebraic,CFT,0.3,1.25,80,24.0,20.601448592019356,paper_subset_reconstructed_numerics,7.860844666800216,0.12300793515101982
algebraic,CFT,0.3,1.25,80,27.0,22.21792837657231,paper_subset_reconstructed_numerics,8.277069169023278,0.14543117854325774
