target_id,p0,activity,fitted_viscosity,fit_family
T020,3.65,0.0001,0.0008134637793923811,vft
T020,3.65,0.00012164839490258513,0.0027251027312696317,vft
T020,3.65,0.00014798331982375287,0.007361922694200778,vft
T020,3.65,0.00018001933328915445,0.016664456142328088,vft
T020,3.65,0.0002189906294605915,0.03261754689461194,vft
T020,3.65,0.0002663985857258773,0.05665105130231818,vft
T020,3.65,0.0003240696035787167,0.08918624021072835,vft
T020,3.65,0.00039422547112067947,0.12951315148722778,vft
T020,3.65,0.00047956895791546086,0.17599394284259823,vft
T020,3.65,0.0005833879397552116,0.2264541796420586,vft
T020,3.65,0.0007096820647674752,0.2785990118493806,vft
T020,3.65,0.0008633168407011584,0.33034113224678924,vft
T020,3.65,0.0010502110796366659,0.37999667670286563,vft
T020,3.65,0.0012775649214671154,0.42635759271880064,vft
T020,3.65,0.0015541372208032168,0.4686744723689141,vft
T020,3.65,0.0018905829836907586,0.5065880880749296,vft
T020,3.65,0.002299863853961211,0.5400407701116211,vft
T020,3.65,0.002797747463288545,0.5691882522809755,vft
T020,3.65,0.003403414882518307,0.5943231131660474,vft
T020,3.65,0.004140199576459225,0.6158140818303542,vft
T020,3.65,0.005036486330526269,0.6340612937363315,vft
T020,3.65,0.006126804780573316,0.6494654655252341,vft
T020,3.65,0.007453159674382292,0.6624081932802229,vft
T020,3.65,0.009066649113412789,0.6732405826070852,vft
T020,3.65,0.011029433117916125,0.682277786944315,vft
T020,3.65,0.013417128354799116,0.6897975186567566,vft
T020,3.65,0.016321721285632754,0.6960410755993804,vft
T020,3.65,0.019855111964445806,0.7012158361833173,vft
T020,3.65,0.024153425010859465,0.7054985018298722,vft
T020,3.65,0.02938225383971009,0.7090386109933133,vft
T020,3.65,0.035743040182210514,0.7119620261312094,vft
T020,3.65,0.04348083467104509,0.7143742185752696,vft
T020,3.65,0.05289373746757309,0.716363259594197,vft
T020,3.65,0.06434438263328994,0.7180024801707257,vft
T020,3.65,0.07827390868337487,0.7193527958151192,vft
T020,3.65,0.09521895354084076,0.7204647125859369,vft
T020,3.65,0.11583232862547103,0.721380041068941,vft
T020,3.65,0.14090816855117316,0.7221333496736765,vft
T020,3.65,0.17141252532913123,0.7227531895126219,vft
T020,3.65,0.20852058572487536,0.7232631218558774,vft
T020,3.65,0.2536619455757799,0.7236825767081217,vft
T020,3.65,0.30857568527160506,0.7240275680757284,vft
T020,3.65,0.37537736819256035,0.7243112883770757,vft
T020,3.65,0.45664054323381686,0.7245446014316977,vft
T020,3.65,0.5554958913183835,0.7247364506710235,vft
T020,3.65,0.6757518355386216,0.724894196704316,vft
T020,3.65,0.8220412614574901,0.725023896165529,vft
T020,3.65,1.0,0.7251305318530012,vft
T020,3.9,0.0,0.21261848393551602,spline
T020,3.9,0.00125,0.2126197012377674,spline
T020,3.9,0.0025,0.21262092013685502,spline
T020,3.9,0.00375,0.21262214046833613,spline
T020,3.9,0.005,0.21262336206776472,spline
T020,3.9,0.00625,0.2126245847706906,spline
T020,3.9,0.0075,0.21262580841265993,spline
T020,3.9,0.00875,0.2126270328292153,spline
T020,3.9,0.01,0.21262825785589518,spline
T020,3.9,0.01125,0.21262948332823448,spline
T020,3.9,0.0125,0.21263070908176432,spline
T020,3.9,0.01375,0.2126319349520121,spline
T020,3.9,0.015,0.2126331607745011,spline
T020,3.9,0.01625,0.21263438638475107,spline
T020,3.9,0.0175,0.212635611618278,spline
T020,3.9,0.01875,0.21263683631059394,spline
T020,3.9,0.02,0.21263806029720728,spline
T020,3.9,0.02125,0.2126392834136225,spline
T020,3.9,0.0225,0.21264050549534036,spline
T020,3.9,0.02375,0.21264172637785803,spline
T020,3.9,0.025,0.21264294589666866,spline
T020,3.9,0.02625,0.21264416388726165,spline
T020,3.9,0.0275,0.21264538018512297,spline
T020,3.9,0.02875,0.21264659462573446,spline
T020,3.9,0.03,0.21264780704457453,spline
T020,3.9,0.03125,0.21264901727711785,spline
T020,3.9,0.0325,0.21265022515883533,spline
T020,3.9,0.03375,0.21265143052519422,spline
T020,3.9,0.035,0.21265263321165828,spline
T020,3.9,0.03625,0.21265383305368737,spline
T020,3.9,0.0375,0.21265502988673798,spline
