p0,activity,shear_rate,stress,stress_sem,viscosity,maximum_slope,thickening_rate,thinning_rate
3.65,0.0,0.002,0.010879649754630436,0.0,0.7147744835119644,0.02678164501950485,,
3.65,0.0,0.006,0.010982446526224232,0.0,0.7147744835119644,0.02678164501950485,,
3.65,0.0,0.02,0.011342339703932901,0.0,0.7147744835119644,0.02678164501950485,,
3.65,0.04,0.002,0.010890113053335298,0.0,0.7154451771414172,0.026762193700364936,,
3.65,0.04,0.006,0.01099293206135058,0.0,0.7154451771414172,0.026762193700364936,,
3.65,0.04,0.02,0.011352902973372474,0.0,0.7154451771414172,0.026762193700364936,,
3.65,0.12,0.002,0.010911343362100003,0.0,0.7168062351986454,0.0267230745089717,,
3.65,0.12,0.006,0.011014208418405724,0.0,0.7168062351986454,0.0267230745089717,,
3.65,0.12,0.02,0.011374340312638481,0.0,0.7168062351986454,0.0267230745089717,,
3.65,0.25,0.002,0.010946702987537102,0.0,0.7190736833891135,0.026658911502705142,,
3.65,0.25,0.006,0.011049647354185376,0.0,0.7190736833891135,0.026658911502705142,,
3.65,0.25,0.02,0.011410056529551174,0.0,0.7190736833891135,0.026658911502705142,,
3.65,0.5,0.002,0.011017675223476842,0.0,0.7236267537453981,0.026533589527175248,,
3.65,0.5,0.006,0.011120787717265735,0.0,0.7236267537453981,0.026533589527175248,,
3.65,0.5,0.02,0.011481784744871354,0.0,0.7236267537453981,0.026533589527175248,,
3.65,1.0,0.002,0.011171198475843604,0.0,0.7334831848993817,0.02627633357171412,,
3.65,1.0,0.006,0.011274708917134854,0.0,0.7334831848993817,0.02627633357171412,,
3.65,1.0,0.02,0.011637097545061582,0.0,0.7334831848993817,0.02627633357171412,,
3.9,0.0,0.002,0.0033566060424332993,0.0,0.21261848393551602,-0.0017758484515871353,,
3.9,0.0,0.006,0.0033500637922670136,0.0,0.21261848393551602,-0.0017758484515871353,,
3.9,0.0,0.02,0.0033369269046579185,0.0,0.21261848393551602,-0.0017758484515871353,,
3.9,0.04,0.002,0.0033588049923256916,0.0,0.2126574138677116,-0.002037470073193457,,
3.9,0.04,0.006,0.003351295086144028,0.0,0.2126574138677116,-0.002037470073193457,,
3.9,0.04,0.02,0.003337194080013878,0.0,0.2126574138677116,-0.002037470073193457,,
3.9,0.12,0.002,0.0033632036369697616,0.0,0.21273259902518646,-0.00256678302621532,,
3.9,0.12,0.006,0.0033537331003918223,0.0,0.21273259902518646,-0.00256678302621532,,
3.9,0.12,0.02,0.0033376768847395793,0.0,0.21273259902518646,-0.00256678302621532,,
3.9,0.25,0.002,0.00337035395757085,0.0,0.21287409045998304,-0.0029098216978736377,,
3.9,0.25,0.006,0.0033595969280654273,0.0,0.21287409045998304,-0.0029098216978736377,,
3.9,0.25,0.02,0.003338315515942914,0.0,0.21287409045998304,-0.0029098216978736377,,
3.9,0.5,0.002,0.0033872212947714656,0.0,0.21333581633473314,-0.003742673206555077,,
3.9,0.5,0.006,0.003373322492288841,0.0,0.21333581633473314,-0.003742673206555077,,
3.9,0.5,0.02,0.0033426690822003302,0.0,0.21333581633473314,-0.003742673206555077,,
3.9,1.0,0.002,0.003437591082843707,0.0,0.21507564939182583,-0.005338577346276434,,
3.9,1.0,0.006,0.0034174885280743397,0.0,0.21507564939182583,-0.005338577346276434,,
3.9,1.0,0.02,0.0033626586199134952,0.0,0.21507564939182583,-0.005338577346276434,,
4.0,0.0,0.002,0.0036444045916138334,0.0,0.2510415402632602,0.06667672999653307,,
4.0,0.0,0.006,0.0037283328618044715,0.0,0.2510415402632602,0.06667672999653307,,
4.0,0.0,0.02,0.004039973568089,0.0,0.2510415402632602,0.06667672999653307,,
4.0,0.04,0.002,0.0036348119033532958,0.0,0.250392454893692,0.06667951172098024,,
4.0,0.04,0.006,0.0037186955182212586,0.0,0.250392454893692,0.06667951172098024,,
4.0,0.04,0.02,0.004029544161859517,0.0,0.250392454893692,0.06667951172098024,,
4.0,0.12,0.002,0.003615367761478318,0.0,0.249076757218555,0.06668549488524339,,
4.0,0.12,0.006,0.0036991595326973286,0.0,0.249076757218555,0.06668549488524339,,
4.0,0.12,0.02,0.004008404022851179,0.0,0.249076757218555,0.06668549488524339,,
4.0,0.25,0.002,0.0035830353145590785,0.0,0.24688891643800753,0.06669643573489269,,
4.0,0.25,0.006,0.0036666706371976028,0.0,0.24688891643800753,0.06669643573489269,,
4.0,0.25,0.02,0.003973251439020976,0.0,0.24688891643800753,0.06669643573489269,,
4.0,0.5,0.002,0.0035182984027199967,0.0,0.24250819515454897,0.06672188680319223,,
4.0,0.5,0.006,0.0036016078068758202,0.0,0.24250819515454897,0.06672188680319223,,
4.0,0.5,0.02,0.0039028681110653317,0.0,0.24250819515454897,0.06672188680319223,,
4.0,1.0,0.002,0.003384322208421145,0.0,0.23308864793073228,0.06679171560968614,,
4.0,1.0,0.006,0.0034612917413898367,0.0,0.23308864793073228,0.06679171560968614,,
4.0,1.0,0.02,0.003751130511217045,0.0,0.23308864793073228,0.06679171560968614,,
