theta,phi,probability
0,-3.1415926535897931,9.5367431640624979e-07
0,-3.115412714809878,9.5367431640624979e-07
0,-3.0892327760299634,9.5367431640624979e-07
0,-3.0630528372500483,9.5367431640624979e-07
0,-3.0368728984701332,9.5367431640624979e-07
0,-3.0106929596902186,9.5367431640624979e-07
0,-2.9845130209103035,9.5367431640624979e-07
0,-2.9583330821303884,9.5367431640624979e-07
0,-2.9321531433504737,9.5367431640624979e-07
0,-2.9059732045705586,9.5367431640624979e-07
0,-2.8797932657906435,9.5367431640624979e-07
0,-2.8536133270107289,9.5367431640624979e-07
0,-2.8274333882308138,9.5367431640624979e-07
0,-2.8012534494508987,9.5367431640624979e-07
0,-2.7750735106709841,9.5367431640624979e-07
0,-2.748893571891069,9.5367431640624979e-07
0,-2.7227136331111539,9.5367431640624979e-07
0,-2.6965336943312392,9.5367431640624979e-07
0,-2.6703537555513241,9.5367431640624979e-07
0,-2.6441738167714091,9.5367431640624979e-07
0,-2.6179938779914944,9.5367431640624979e-07
0,-2.5918139392115793,9.5367431640624979e-07
0,-2.5656340004316647,9.5367431640624979e-07
0,-2.5394540616517496,9.5367431640624979e-07
0,-2.5132741228718345,9.5367431640624979e-07
0,-2.4870941840919194,9.5367431640624979e-07
0,-2.4609142453120048,9.5367431640624979e-07
0,-2.4347343065320897,9.5367431640624979e-07
0,-2.408554367752175,9.5367431640624979e-07
0,-2.3823744289722599,9.5367431640624979e-07
0,-2.3561944901923448,9.5367431640624979e-07
0,-2.3300145514124297,9.5367431640624979e-07
0,-2.3038346126325151,9.5367431640624979e-07
0,-2.2776546738526,9.5367431640624979e-07
0,-2.2514747350726854,9.5367431640624979e-07
0,-2.2252947962927703,9.5367431640624979e-07
0,-2.1991148575128552,9.5367431640624979e-07
0,-2.1729349187329401,9.5367431640624979e-07
0,-2.1467549799530254,9.5367431640624979e-07
0,-2.1205750411731104,9.5367431640624979e-07
0,-2.0943951023931957,9.5367431640624979e-07
0,-2.0682151636132806,9.5367431640624979e-07
0,-2.0420352248333655,9.5367431640624979e-07
0,-2.0158552860534504,9.5367431640624979e-07
0,-1.9896753472735358,9.5367431640624979e-07
