gamma_initial_prime,a_minus,role,provenance
0.001,-1.8673826613794002,curve,supplement_eq_11
0.010999499999999999,-1.6176201264267451,curve,supplement_eq_11
0.020999,-1.3677871664853731,curve,supplement_eq_11
0.0309985,-1.1181651836899442,curve,supplement_eq_11
0.040998,-0.8690342198630747,curve,supplement_eq_11
0.0509975,-0.6206719154023521,curve,supplement_eq_11
0.060996999999999996,-0.3733524888458005,curve,supplement_eq_11
0.0709965,-0.12734574490263717,curve,supplement_eq_11
0.07619742787996348,-8.286612371970314e-15,strong_root,supplement_eq_11
0.080996,0.11708388165467828,curve,supplement_eq_11
0.09099549999999999,0.35967823932457443,curve,supplement_eq_11
0.100995,0.6001863240903359,curve,supplement_eq_11
0.1109945,0.8383650888054645,curve,supplement_eq_11
0.116,0.9566428757817564,cold_highlight,supplement_eq_11
0.12099399999999999,1.07398019273901,curve,supplement_eq_11
0.13099349999999998,1.3068066870125852,curve,supplement_eq_11
0.140993,1.5366296324363267,curve,supplement_eq_11
0.1509925,1.7632446470452479,curve,supplement_eq_11
0.160992,1.9864583814367565,curve,supplement_eq_11
0.1709915,2.206088920801437,curve,supplement_eq_11
0.18099099999999999,2.421966113310428,curve,supplement_eq_11
0.1909905,2.633931825262484,curve,supplement_eq_11
0.20099,2.8418401240922737,curve,supplement_eq_11
0.2109895,3.0455573909899276,curve,supplement_eq_11
0.220989,3.24496236547326,curve,supplement_eq_11
0.23098849999999999,3.4399461247828573,curve,supplement_eq_11
0.24098799999999998,3.630412001432425,curve,supplement_eq_11
0.2509875,3.816275442639691,curve,supplement_eq_11
0.26098699999999997,3.9974638156861415,curve,supplement_eq_11
0.2709865,4.173916163506771,curve,supplement_eq_11
0.280986,4.34558291499582,curve,supplement_eq_11
0.2909855,4.512425554633545,curve,supplement_eq_11
0.300985,4.674416256096082,curve,supplement_eq_11
0.3109845,4.831537484509714,curve,supplement_eq_11
0.320984,4.9837815719574,curve,supplement_eq_11
0.3309835,5.131150270744436,curve,supplement_eq_11
0.340983,5.273654288787434,curve,supplement_eq_11
0.3509825,5.411312811312174,curve,supplement_eq_11
0.36098199999999997,5.544153012836996,curve,supplement_eq_11
0.37098149999999996,5.6722095631852225,curve,supplement_eq_11
0.380981,5.795524131017744,curve,supplement_eq_11
0.3909805,5.914144888110975,curve,supplement_eq_11
0.40098,6.028126017330414,curve,supplement_eq_11
0.4109795,6.137527226970661,curve,supplement_eq_11
0.420979,6.242413273852922,curve,supplement_eq_11
0.4309785,6.342853497294252,curve,supplement_eq_11
0.440978,6.438921365792279,curve,supplement_eq_11
0.4509775,6.530694038007468,curve,supplement_eq_11
0.46097699999999997,6.618251939374187,curve,supplement_eq_11
0.47097649999999996,6.70167835543413,curve,supplement_eq_11
0.48097599999999996,6.781059042761681,curve,supplement_eq_11
0.4909755,6.856481858142374,curve,supplement_eq_11
0.500975,6.928036406472622,curve,supplement_eq_11
0.5109745,6.995813707672348,curve,supplement_eq_11
0.5209739999999999,7.059905882741548,curve,supplement_eq_11
0.5309735,7.120405858947588,curve,supplement_eq_11
0.540973,7.177407094001315,curve,supplement_eq_11
